threshold_meV_per_atom,coordinate_endpoint,metric,model_name,winner_replicate_n,winner_frequency,bootstrap_replicates
0,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_100,ALIGNN-FF,1000,1.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_100,CHGNet,1000,1.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_100,M3GNet,1000,1.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_100,MACE-MP,1000,1.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_300,ALIGNN-FF,706,0.706,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_300,CHGNet,585,0.585,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_300,M3GNet,383,0.383,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_300,MACE-MP,596,0.596,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_500,ALIGNN-FF,103,0.103,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_500,CHGNet,51,0.051,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_500,M3GNet,766,0.766,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_500,MACE-MP,904,0.904,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_1000,CHGNet,160,0.16,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_1000,M3GNet,723,0.723,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_1000,MACE-MP,288,0.288,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_5000,CHGNet,191,0.191,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
0,mp_matched_pool_coordinate,expected_stable_hits_at_5000,MACE-MP,831,0.831,1000
0,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,ap,CHGNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,ap,M3GNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,ALIGNN-FF,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,CHGNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,M3GNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,ALIGNN-FF,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,CHGNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,M3GNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,ALIGNN-FF,306,0.306,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,CHGNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,M3GNet,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,MACE-MP,1000,1.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,CHGNet,933,0.933,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,M3GNet,416,0.416,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,MACE-MP,31,0.031,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,CHGNet,9,0.009,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
0,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,MACE-MP,993,0.993,1000
10,mp_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
10,mp_source_coordinate,auroc,CHGNet,0,0.0,1000
10,mp_source_coordinate,auroc,M3GNet,0,0.0,1000
10,mp_source_coordinate,auroc,MACE-MP,1000,1.0,1000
10,mp_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
10,mp_source_coordinate,ap,CHGNet,0,0.0,1000
10,mp_source_coordinate,ap,M3GNet,0,0.0,1000
10,mp_source_coordinate,ap,MACE-MP,1000,1.0,1000
10,mp_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
10,mp_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
10,mp_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
10,mp_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
10,mp_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,306,0.306,1000
10,mp_source_coordinate,expected_stable_hits_at_100,CHGNet,306,0.306,1000
10,mp_source_coordinate,expected_stable_hits_at_100,M3GNet,552,0.552,1000
10,mp_source_coordinate,expected_stable_hits_at_100,MACE-MP,226,0.226,1000
10,mp_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,230,0.23,1000
10,mp_source_coordinate,expected_stable_hits_at_300,CHGNet,154,0.154,1000
10,mp_source_coordinate,expected_stable_hits_at_300,M3GNet,671,0.671,1000
10,mp_source_coordinate,expected_stable_hits_at_300,MACE-MP,119,0.119,1000
10,mp_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,375,0.375,1000
10,mp_source_coordinate,expected_stable_hits_at_500,CHGNet,161,0.161,1000
10,mp_source_coordinate,expected_stable_hits_at_500,M3GNet,404,0.404,1000
10,mp_source_coordinate,expected_stable_hits_at_500,MACE-MP,241,0.241,1000
10,mp_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
10,mp_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
10,mp_source_coordinate,expected_stable_hits_at_1000,M3GNet,193,0.193,1000
10,mp_source_coordinate,expected_stable_hits_at_1000,MACE-MP,849,0.849,1000
10,mp_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
10,mp_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
10,mp_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
10,mp_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
10,alexmp20_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
10,alexmp20_source_coordinate,auroc,CHGNet,0,0.0,1000
10,alexmp20_source_coordinate,auroc,M3GNet,0,0.0,1000
10,alexmp20_source_coordinate,auroc,MACE-MP,1000,1.0,1000
10,alexmp20_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
10,alexmp20_source_coordinate,ap,CHGNet,0,0.0,1000
10,alexmp20_source_coordinate,ap,M3GNet,0,0.0,1000
10,alexmp20_source_coordinate,ap,MACE-MP,1000,1.0,1000
10,alexmp20_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
10,alexmp20_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
10,alexmp20_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
10,alexmp20_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,476,0.476,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_100,CHGNet,189,0.189,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_100,M3GNet,419,0.419,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_100,MACE-MP,306,0.306,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,53,0.053,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_300,CHGNet,76,0.076,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_300,M3GNet,792,0.792,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_300,MACE-MP,171,0.171,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,337,0.337,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_500,CHGNet,166,0.166,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_500,M3GNet,509,0.509,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_500,MACE-MP,132,0.132,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_1000,M3GNet,694,0.694,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_1000,MACE-MP,351,0.351,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
10,alexmp20_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
10,alex_pbe_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
10,alex_pbe_source_coordinate,auroc,CHGNet,0,0.0,1000
10,alex_pbe_source_coordinate,auroc,M3GNet,0,0.0,1000
10,alex_pbe_source_coordinate,auroc,MACE-MP,1000,1.0,1000
10,alex_pbe_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
10,alex_pbe_source_coordinate,ap,CHGNet,0,0.0,1000
10,alex_pbe_source_coordinate,ap,M3GNet,0,0.0,1000
10,alex_pbe_source_coordinate,ap,MACE-MP,1000,1.0,1000
10,alex_pbe_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
10,alex_pbe_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
10,alex_pbe_source_coordinate,normalized_ap,M3GNet,0,0.0,1000
10,alex_pbe_source_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_100,ALIGNN-FF,252,0.252,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_100,CHGNet,193,0.193,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_100,M3GNet,529,0.529,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_100,MACE-MP,453,0.453,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_300,ALIGNN-FF,14,0.014,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_300,CHGNet,99,0.099,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_300,M3GNet,872,0.872,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_300,MACE-MP,72,0.072,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_500,ALIGNN-FF,257,0.257,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_500,CHGNet,175,0.175,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_500,M3GNet,642,0.642,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_500,MACE-MP,21,0.021,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_1000,CHGNet,0,0.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_1000,M3GNet,552,0.552,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_1000,MACE-MP,504,0.504,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_5000,CHGNet,0,0.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
10,alex_pbe_source_coordinate,expected_stable_hits_at_5000,MACE-MP,1000,1.0,1000
10,mp_matched_pool_coordinate,auroc,ALIGNN-FF,0,0.0,1000
10,mp_matched_pool_coordinate,auroc,CHGNet,0,0.0,1000
10,mp_matched_pool_coordinate,auroc,M3GNet,0,0.0,1000
10,mp_matched_pool_coordinate,auroc,MACE-MP,1000,1.0,1000
10,mp_matched_pool_coordinate,ap,ALIGNN-FF,0,0.0,1000
10,mp_matched_pool_coordinate,ap,CHGNet,0,0.0,1000
10,mp_matched_pool_coordinate,ap,M3GNet,0,0.0,1000
10,mp_matched_pool_coordinate,ap,MACE-MP,1000,1.0,1000
10,mp_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
10,mp_matched_pool_coordinate,normalized_ap,CHGNet,0,0.0,1000
10,mp_matched_pool_coordinate,normalized_ap,M3GNet,0,0.0,1000
10,mp_matched_pool_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_100,ALIGNN-FF,1000,1.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_100,CHGNet,1000,1.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_100,M3GNet,1000,1.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_100,MACE-MP,1000,1.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_300,ALIGNN-FF,905,0.905,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_300,CHGNet,436,0.436,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_300,M3GNet,442,0.442,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_300,MACE-MP,777,0.777,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_500,ALIGNN-FF,541,0.541,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_500,CHGNet,443,0.443,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_500,M3GNet,792,0.792,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_500,MACE-MP,805,0.805,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_1000,CHGNet,516,0.516,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_1000,M3GNet,727,0.727,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_1000,MACE-MP,105,0.105,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_5000,CHGNet,716,0.716,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
10,mp_matched_pool_coordinate,expected_stable_hits_at_5000,MACE-MP,329,0.329,1000
10,alex_pbe_matched_pool_coordinate,auroc,ALIGNN-FF,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,auroc,CHGNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,auroc,M3GNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,auroc,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,ap,ALIGNN-FF,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,ap,CHGNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,ap,M3GNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,ap,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,normalized_ap,CHGNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,normalized_ap,M3GNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,normalized_ap,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,ALIGNN-FF,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,CHGNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,M3GNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_100,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,ALIGNN-FF,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,CHGNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,M3GNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_300,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,ALIGNN-FF,730,0.73,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,CHGNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,M3GNet,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_500,MACE-MP,1000,1.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,ALIGNN-FF,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,CHGNet,933,0.933,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,M3GNet,416,0.416,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_1000,MACE-MP,31,0.031,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,ALIGNN-FF,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,CHGNet,22,0.022,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,M3GNet,0,0.0,1000
10,alex_pbe_matched_pool_coordinate,expected_stable_hits_at_5000,MACE-MP,985,0.985,1000
25,mp_source_coordinate,auroc,ALIGNN-FF,0,0.0,1000
25,mp_source_coordinate,auroc,CHGNet,0,0.0,1000
25,mp_source_coordinate,auroc,M3GNet,0,0.0,1000
25,mp_source_coordinate,auroc,MACE-MP,1000,1.0,1000
25,mp_source_coordinate,ap,ALIGNN-FF,0,0.0,1000
25,mp_source_coordinate,ap,CHGNet,0,0.0,1000
25,mp_source_coordinate,ap,M3GNet,0,0.0,1000
25,mp_source_coordinate,ap,MACE-MP,1000,1.0,1000
25,mp_source_coordinate,normalized_ap,ALIGNN-FF,0,0.0,1000
25,mp_source_coordinate,normalized_ap,CHGNet,0,0.0,1000
