threshold_meV_per_atom,coordinate_endpoint,model_name,metric,bootstrap_ci_low_95,bootstrap_median,bootstrap_ci_high_95
0,alexmp20_source_coordinate,ALIGNN-FF,expected_stable_hits_at_5000,2949.0,3017.0,3090.0
0,alexmp20_source_coordinate,ALIGNN-FF,normalized_ap,0.2532836140187156,0.26706736850328205,0.280171593129476
0,alexmp20_source_coordinate,CHGNet,ap,0.6361193086885045,0.645113017082789,0.6541684012599861
0,alexmp20_source_coordinate,CHGNet,auroc,0.8058275813975808,0.8120897831131337,0.8186327273689862
0,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_100,59.0,69.0,79.0
0,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_1000,615.0,645.0,675.0
0,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_300,173.0,190.0,207.0
0,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_500,292.0,315.0,336.0
0,alexmp20_source_coordinate,CHGNet,expected_stable_hits_at_5000,3479.0,3539.0,3601.0
0,alexmp20_source_coordinate,CHGNet,normalized_ap,0.4308717973258244,0.4435174506831414,0.45791143522674443
0,alexmp20_source_coordinate,M3GNet,ap,0.6208324709813018,0.629866311117995,0.6392422845467829
0,alexmp20_source_coordinate,M3GNet,auroc,0.7777140025848314,0.7843546064884206,0.79075286786644
0,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_100,60.0,70.0,79.02499999999998
0,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_1000,645.0,675.0,704.0
0,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_300,179.0,195.0,212.0
0,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_500,300.975,322.0,344.0
0,alexmp20_source_coordinate,M3GNet,expected_stable_hits_at_5000,3459.0,3520.0,3582.025
0,alexmp20_source_coordinate,M3GNet,normalized_ap,0.4068676479392372,0.41983700315725914,0.4343623644298453
0,alexmp20_source_coordinate,MACE-MP,ap,0.6782447223212128,0.6871975028706423,0.6961463328280633
0,alexmp20_source_coordinate,MACE-MP,auroc,0.8435540928728958,0.8490276660507907,0.8540832470822869
0,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_100,60.0,70.0,80.0
0,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_1000,637.0,668.0,696.0
0,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_300,173.0,191.0,207.02499999999998
0,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_500,299.0,321.0,342.025
0,alexmp20_source_coordinate,MACE-MP,expected_stable_hits_at_5000,3607.0,3667.5,3727.025
0,alexmp20_source_coordinate,MACE-MP,normalized_ap,0.4964310300129846,0.5098904542956333,0.5232095635570919
0,mp_matched_pool_coordinate,ALIGNN-FF,ap,0.7237884722332049,0.7320520996000366,0.7399140578022142
0,mp_matched_pool_coordinate,ALIGNN-FF,auroc,0.7198727840773052,0.7264141962885464,0.7326723879598849
