model,label_view,K,n_ranked,stable_n,stable_fraction,uncertain_fraction
CHGNet,consensus,500,24614,207,0.414,0.0
CHGNet,consensus,1000,24614,379,0.379,0.0
CHGNet,consensus,5000,24614,1635,0.327,0.0
CHGNet,consensus_stable,100,24614,54,0.54,0.0
CHGNet,consensus_stable,300,24614,128,0.4266666666666667,0.0
CHGNet,consensus_stable,500,24614,207,0.414,0.0
CHGNet,consensus_stable,1000,24614,379,0.379,0.0
CHGNet,consensus_stable,5000,24614,1635,0.327,0.0
CHGNet,mp_common_pool,100,36769,68,0.68,0.0
CHGNet,mp_common_pool,300,36769,179,0.5966666666666667,0.0
CHGNet,mp_common_pool,500,36769,270,0.54,0.0
CHGNet,mp_common_pool,1000,36769,511,0.511,0.0
CHGNet,mp_common_pool,5000,36769,2293,0.4586,0.0
CHGNet,mp_native,100,36801,62,0.62,0.0
CHGNet,mp_native,300,36801,162,0.54,0.0
CHGNet,mp_native,500,36801,242,0.484,0.0
CHGNet,mp_native,1000,36801,442,0.442,0.0
CHGNet,mp_native,5000,36801,1766,0.3532,0.0
M3GNet,alex_pbe_common_pool,100,36801,67,0.67,0.0
M3GNet,alex_pbe_common_pool,300,36801,192,0.64,0.0
M3GNet,alex_pbe_common_pool,500,36801,311,0.622,0.0
M3GNet,alex_pbe_common_pool,1000,36801,588,0.588,0.0
M3GNet,alex_pbe_common_pool,5000,36801,2706,0.5412,0.0
M3GNet,alex_pbe_native,100,36801,33,0.33,0.0
M3GNet,alex_pbe_native,300,36801,99,0.33,0.0
M3GNet,alex_pbe_native,500,36801,169,0.338,0.0
M3GNet,alex_pbe_native,1000,36801,338,0.338,0.0
M3GNet,alex_pbe_native,5000,36801,1557,0.3114,0.0
M3GNet,alexmp20_native,100,36801,35,0.35,0.0
M3GNet,alexmp20_native,300,36801,112,0.37333333333333335,0.0
M3GNet,alexmp20_native,500,36801,189,0.378,0.0
M3GNet,alexmp20_native,1000,36801,373,0.373,0.0
M3GNet,alexmp20_native,5000,36801,1692,0.3384,0.0
M3GNet,all_source_native,100,29915,44,0.44,0.0
M3GNet,all_source_native,300,29915,119,0.39666666666666667,0.0
M3GNet,all_source_native,500,29915,181,0.362,0.0
M3GNet,all_source_native,1000,29915,370,0.37,0.0
M3GNet,all_source_native,5000,29915,1539,0.3078,0.0
M3GNet,audit_view,100,36801,31,0.31,0.39
M3GNet,audit_view,300,36801,86,0.2866666666666667,0.37666666666666665
M3GNet,audit_view,500,36801,146,0.292,0.352
M3GNet,audit_view,1000,36801,279,0.279,0.342
M3GNet,audit_view,5000,36801,1245,0.249,0.3286
M3GNet,common_pool,100,31872,68,0.68,0.0
M3GNet,common_pool,300,31872,185,0.6166666666666667,0.0
M3GNet,common_pool,500,31872,299,0.598,0.0
M3GNet,common_pool,1000,31872,553,0.553,0.0
M3GNet,common_pool,5000,31872,2520,0.504,0.0
M3GNet,consensus,100,24614,50,0.5,0.0
M3GNet,consensus,300,24614,135,0.45,0.0
M3GNet,consensus,500,24614,212,0.424,0.0
M3GNet,consensus,1000,24614,413,0.413,0.0
M3GNet,consensus,5000,24614,1799,0.3598,0.0
M3GNet,consensus_stable,100,24614,50,0.5,0.0
M3GNet,consensus_stable,300,24614,135,0.45,0.0
M3GNet,consensus_stable,500,24614,212,0.424,0.0
M3GNet,consensus_stable,1000,24614,413,0.413,0.0
M3GNet,consensus_stable,5000,24614,1799,0.3598,0.0
M3GNet,mp_common_pool,100,36769,64,0.64,0.0
M3GNet,mp_common_pool,300,36769,172,0.5733333333333334,0.0
M3GNet,mp_common_pool,500,36769,277,0.554,0.0
M3GNet,mp_common_pool,1000,36769,520,0.52,0.0
M3GNet,mp_common_pool,5000,36769,2405,0.481,0.0
M3GNet,mp_native,100,36801,58,0.58,0.0
M3GNet,mp_native,300,36801,159,0.53,0.0
M3GNet,mp_native,500,36801,250,0.5,0.0
M3GNet,mp_native,1000,36801,461,0.461,0.0
M3GNet,mp_native,5000,36801,1911,0.3822,0.0
MACE-MP,alex_pbe_common_pool,100,36801,70,0.7,0.0
MACE-MP,alex_pbe_common_pool,300,36801,201,0.67,0.0
MACE-MP,alex_pbe_common_pool,500,36801,316,0.632,0.0
MACE-MP,alex_pbe_common_pool,1000,36801,590,0.59,0.0
MACE-MP,alex_pbe_common_pool,5000,36801,2754,0.5508,0.0
MACE-MP,alex_pbe_native,100,36801,37,0.37,0.0
MACE-MP,alex_pbe_native,300,36801,106,0.35333333333333333,0.0
MACE-MP,alex_pbe_native,500,36801,177,0.354,0.0
MACE-MP,alex_pbe_native,1000,36801,337,0.337,0.0
MACE-MP,alex_pbe_native,5000,36801,1653,0.3306,0.0
MACE-MP,alexmp20_native,100,36801,42,0.42,0.0
MACE-MP,alexmp20_native,300,36801,124,0.41333333333333333,0.0
MACE-MP,alexmp20_native,500,36801,205,0.41,0.0
MACE-MP,alexmp20_native,1000,36801,385,0.385,0.0
MACE-MP,alexmp20_native,5000,36801,1806,0.3612,0.0
MACE-MP,all_source_native,100,29915,50,0.5,0.0
MACE-MP,all_source_native,300,29915,125,0.4166666666666667,0.0
MACE-MP,all_source_native,500,29915,193,0.386,0.0
MACE-MP,all_source_native,1000,29915,365,0.365,0.0
MACE-MP,all_source_native,5000,29915,1681,0.3362,0.0
MACE-MP,audit_view,100,36801,34,0.34,0.39
MACE-MP,audit_view,300,36801,91,0.30333333333333334,0.3933333333333333
MACE-MP,audit_view,500,36801,152,0.304,0.356
MACE-MP,audit_view,1000,36801,277,0.277,0.354
MACE-MP,audit_view,5000,36801,1344,0.2688,0.3218
MACE-MP,common_pool,100,31872,71,0.71,0.0
MACE-MP,common_pool,300,31872,191,0.6366666666666667,0.0
MACE-MP,common_pool,500,31872,308,0.616,0.0
MACE-MP,common_pool,1000,31872,565,0.565,0.0
MACE-MP,common_pool,5000,31872,2631,0.5262,0.0
MACE-MP,consensus,100,24614,57,0.57,0.0
MACE-MP,consensus,300,24614,142,0.47333333333333333,0.0
MACE-MP,consensus,500,24614,221,0.442,0.0
MACE-MP,consensus,1000,24614,410,0.41,0.0
MACE-MP,consensus,5000,24614,1911,0.3822,0.0
MACE-MP,consensus_stable,100,24614,57,0.57,0.0
MACE-MP,consensus_stable,300,24614,142,0.47333333333333333,0.0
MACE-MP,consensus_stable,500,24614,221,0.442,0.0
MACE-MP,consensus_stable,1000,24614,410,0.41,0.0
MACE-MP,consensus_stable,5000,24614,1911,0.3822,0.0
MACE-MP,mp_common_pool,100,36769,66,0.66,0.0
MACE-MP,mp_common_pool,300,36769,184,0.6133333333333333,0.0
MACE-MP,mp_common_pool,500,36769,288,0.576,0.0
MACE-MP,mp_common_pool,1000,36769,529,0.529,0.0
MACE-MP,mp_common_pool,5000,36769,2492,0.4984,0.0
MACE-MP,mp_native,100,36801,61,0.61,0.0
MACE-MP,mp_native,300,36801,168,0.56,0.0
MACE-MP,mp_native,500,36801,265,0.53,0.0
MACE-MP,mp_native,1000,36801,465,0.465,0.0
MACE-MP,mp_native,5000,36801,2044,0.4088,0.0
