material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1009839,TbAl,0.041335158125001,0.0250328462499993,0.0163023118750017,False,False,False,both_unstable,False,False,True,203,0.7073170731707317,217,0.7560975609756098,216,0.7526132404181185
mp-101,Ir,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,30,0.10452961672473868,22,0.07665505226480836,19,0.06620209059233449
mp-1010,MnB4,0.012702824000001,0.0175609320000003,0.004858107999999299,False,False,False,both_unstable,False,True,True,31,0.10801393728222997,86,0.29965156794425085,65,0.2264808362369338
mp-1010136,Cu,0.03556281,0.0357083600000001,0.00014555000000009838,False,False,False,both_unstable,False,False,True,283,0.9860627177700348,244,0.8501742160278746,243,0.8466898954703833
mp-10106,Ca2As,0.04712873611111,0.0433263666666667,0.0038023694444433015,False,False,False,both_unstable,False,False,True,238,0.8292682926829268,250,0.8710801393728222,249,0.867595818815331
mp-1010953,MgNi,0.044288365763889,0.0382246983333334,0.0060636674305556,False,False,False,both_unstable,False,False,True,275,0.9581881533101045,255,0.8885017421602788,253,0.8815331010452961
mp-10112,LaB2Ir3,0.0,0.018227074999995,0.018227074999995,True,False,True,MP_stable_only,True,True,True,28,0.0975609756097561,43,0.14982578397212543,38,0.13240418118466898
mp-1011260,EuFeO3,0.162930053,0.0401953456666621,0.12273470733333788,False,False,False,both_unstable,False,False,True,41,0.14285714285714285,15,0.05226480836236934,31,0.10801393728222997
mp-10113,ScBIr3,0.0,0.0688408340000013,0.0688408340000013,True,False,True,MP_stable_only,True,True,True,24,0.08362369337979095,27,0.09407665505226481,27,0.09407665505226481
mp-10114,ScB4Ir3,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,19,0.06620209059233449,48,0.1672473867595819,42,0.14634146341463414
mp-1011695,Cs2Se,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,242,0.8432055749128919,278,0.9686411149825784,278,0.9686411149825784
