material_id,reduced_formula,chemical_system,num_sites,energy_above_hull
alex<agm003292864>,Sc5Te6,Sc-Te,11,0.0061531745454539
alex<agm003198728>,ScTe2,Sc-Te,6,0.0503411204761903
alex<agm003198727>,ScTe2,Sc-Te,6,0.0502620154761901
alex<agm003292079>,Sm5Ga4,Ga-Sm,9,0.0427823448611102
alex<agm002375015>,LaTl,La-Tl,2,0.0
alex<agm003188743>,LaTl,La-Tl,4,0.0656563874999998
alex<agm003188026>,La3Tl,La-Tl,4,0.0259418925000005
alex<agm002283369>,LaTl2,La-Tl,12,0.0392480587499997
alex<agm005448128>,LaTl2,La-Tl,6,0.0524970770833337
alex<agm003197868>,LaTl5,La-Tl,6,0.0657371855555548
alex<agm003261723>,LaTl7,La-Tl,8,0.0293220045833333
alex<agm003223415>,La4Tl5,La-Tl,18,0.0396204824999992
alex<agm003193662>,LaTl4,La-Tl,5,0.095077841333333
alex<agm002213545>,LuGa,Ga-Lu,2,0.0632192700000002
alex<agm003163087>,ZrSb,Sb-Zr,4,0.0752000762499998
alex<agm001194526>,EuHg5,Eu-Hg,6,0.0
alex<agm002147433>,Eu3Hg2,Eu-Hg,10,0.0098843960000012
alex<agm002094445>,LiMg,Li-Mg,4,0.0549639224999998
alex<agm002094440>,LiMg,Li-Mg,2,0.0755940199999998
alex<agm003187599>,Li3Mg,Li-Mg,4,0.0298936375
alex<agm003263570>,Li3Mg,Li-Mg,8,0.02727934875
alex<agm003218379>,Li5Mg3,Li-Mg,16,0.0668364537500001
alex<agm003281019>,Li5Mg3,Li-Mg,16,0.0942470725000002
alex<agm003293256>,Li7Mg5,Li-Mg,12,0.0406895275000003
alex<agm003197897>,Li2Mg,Li-Mg,6,0.0648908066666669
alex<agm003289108>,Li7Mg2,Li-Mg,9,0.0440067811111113
alex<agm005507585>,Li2Mg3,Li-Mg,10,0.0824881579999998
alex<agm002298734>,Ca3BiO6,Bi-Ca-O,10,0.0553411414999995
alex<agm003631044>,CuAgS2,Ag-Cu-S,4,0.0415788131250005
alex<agm003209332>,Te8MoW3,Mo-Te-W,12,0.0185400774999981
alex<agm003204494>,Te4MoW,Mo-Te-W,6,0.0120582883333311
alex<agm005104924>,Tb2CBr,Br-C-Tb,4,0.0221148637500006
alex<agm003709949>,CeYS3,Ce-S-Y,20,0.0508836026666665
alex<agm002201859>,ErFeC2,C-Er-Fe,8,0.0058148100000003
alex<agm002202120>,Er3FeC4,C-Er-Fe,8,0.0643898429166665
alex<agm003307857>,Na2Zn2Se3,Na-Se-Zn,7,0.0418028575
alex<agm003187847>,CaMgCd2,Ca-Cd-Mg,4,0.0877462150000001
alex<agm003479406>,Ca2MgCd5,Ca-Cd-Mg,8,0.0725767106249999
alex<agm003376040>,Ca3Mg3Cd8,Ca-Cd-Mg,14,0.03699742857143
alex<agm003173138>,Ca2MgCd,Ca-Cd-Mg,4,0.0758527859374997
alex<agm003177543>,LiMgCu2,Cu-Li-Mg,4,0.0897699191666667
alex<agm003177549>,LiMgCu2,Cu-Li-Mg,4,0.0650657016666667
alex<agm003401603>,Li2MgCu2,Cu-Li-Mg,5,0.0719677746666671
alex<agm003177561>,Li2MgCu,Cu-Li-Mg,4,0.0614413600000007
alex<agm003177564>,Li2MgCu,Cu-Li-Mg,4,0.0929095575000009
alex<agm003621829>,Li2MgCu,Cu-Li-Mg,8,0.0701990850000009
alex<agm003177556>,Li2MgCu,Cu-Li-Mg,4,0.0458510600000008
alex<agm003364009>,Li5(Mg2Cu)2,Cu-Li-Mg,11,0.0660444790909093
alex<agm003174317>,LiMg2Cu,Cu-Li-Mg,4,0.0709617043749997
alex<agm002158040>,LiMg2Cu,Cu-Li-Mg,4,0.0325545343749995
alex<agm003774699>,Li6MgCu,Cu-Li-Mg,8,0.0459376310416663
alex<agm003466399>,Li5MgCu2,Cu-Li-Mg,16,0.0573715685416664
alex<agm003466311>,Tb2Cd5Hg,Cd-Hg-Tb,16,0.0471913018749998
alex<agm003338608>,Tb3(Cd2Hg)2,Cd-Hg-Tb,9,0.0
alex<agm003567303>,Tb5CdHg3,Cd-Hg-Tb,18,0.0451405155555559
alex<agm001088754>,Tb2CdHg,Cd-Hg-Tb,4,0.0129476424999999
alex<agm001267967>,SmGaCo,Co-Ga-Sm,3,0.075990553333332
alex<agm003390113>,Sm(GaCo)2,Co-Ga-Sm,5,0.0354730059999992
alex<agm002262933>,SmGaCo2,Co-Ga-Sm,8,0.0771568633823438
alex<agm002264554>,SmGa3Co2,Co-Ga-Sm,12,0.0034886341666657
alex<agm001203643>,Er2CuPd,Cu-Er-Pd,4,0.0132154366666688
alex<agm003587872>,ErCu8Pd3,Cu-Er-Pd,12,0.0862599233333289
alex<agm003679603>,ErCu5Pd7,Cu-Er-Pd,13,0.031294645
alex<agm002371016>,ErCuPd2,Cu-Er-Pd,4,0.0118246070000003
alex<agm002173911>,TiBiO4,Bi-O-Ti,12,0.0659795745833333
alex<agm002217708>,KCd4As3,As-Cd-K,8,0.0322751249999999
alex<agm003534601>,Dy2MnAl8,Al-Dy-Mn,11,0.0495660971590954
alex<agm003056015>,CaSnHg,Ca-Hg-Sn,6,0.0913408116666665
alex<agm003437088>,Ca3Sn2Hg,Ca-Hg-Sn,6,0.061111895833334
alex<agm003553781>,Ca4Sn3Hg,Ca-Hg-Sn,8,0.0517970412500004
alex<agm003642538>,Ca5SnHg4,Ca-Hg-Sn,10,0.021224510000001
alex<agm002202178>,Lu3RhC4,C-Lu-Rh,8,0.06543481546875
alex<agm003399188>,Li2TbSn2,Li-Sn-Tb,5,0.063371941214287
alex<agm003425687>,Li3TbSn2,Li-Sn-Tb,12,0.0593366661011911
