material_id,chemical_system,formula,oqmd_match_status,oqmd_entry_id,oqmd_stability,oqmd_stable_exact,mp_stable_exact,alex_stable_exact,mp_vs_oqmd_discordant,alex_vs_oqmd_discordant
mp-1001615,Li-Se-Zr,LiZrSe2,no_strict_structure_match,,,,True,False,,
mp-1001780,Cu-Lu-S,LuCuS2,no_strict_structure_match,,,,True,True,,
mp-1001783,Li-S-Sn,LiSnS2,no_strict_structure_match,,,,False,False,,
mp-1001784,Li-S-Ti,LiTiS2,no_strict_structure_match,,,,False,False,,
mp-1001786,Li-S-Sc,LiScS2,no_strict_structure_match,,,,True,True,,
mp-1001787,Li-Rh,LiRh3,no_strict_structure_match,,,,True,True,,
mp-1001833,Bi-In,InBi,no_strict_structure_match,,,,True,False,,
mp-1001835,B-Li,LiB,no_strict_structure_match,,,,True,False,,
mp-1001836,Ga-Mn,MnGa,no_strict_structure_match,,,,True,True,,
mp-1002063,S-Sn,SnS2,no_strict_structure_match,,,,False,False,,
mp-10021,Ga,Ga,no_strict_structure_match,,,,False,False,,
mp-1002104,La-Pt,LaPt,no_strict_structure_match,,,,True,True,,
mp-1002106,Hf-Pd,HfPd,no_strict_structure_match,,,,False,False,,
mp-1002107,La-Rh,LaRh,no_strict_structure_match,,,,True,False,,
mp-1002109,Co-V,VCo,no_strict_structure_match,,,,True,False,,
mp-1002114,H-V,VH,no_strict_structure_match,,,,False,False,,
mp-1002115,La-Pd,LaPd,no_strict_structure_match,,,,True,True,,
mp-1002122,Hf-Ir,HfIr,no_strict_structure_match,,,,False,False,,
mp-1002123,K-S-Zr,KZrS2,no_strict_structure_match,,,,True,False,,
mp-1002133,Ga-La,LaGa,no_strict_structure_match,,,,True,True,,
mp-1002136,Au-La,LaAu,no_strict_structure_match,,,,True,True,,
mp-10025,Ru-Si,SiRu2,no_strict_structure_match,,,,False,False,,
mp-1002568,Mg-Mn-O,MgMn2O4,no_strict_structure_match,,,,False,False,,
mp-1002570,K-Mn-O,KMnO2,no_strict_structure_match,,,,False,False,,
mp-1002572,Li-Mn-O,LiMnO2,no_strict_structure_match,,,,False,False,,
mp-1002573,H-Mn-O,MnHO2,no_strict_structure_match,,,,False,False,,
mp-1002574,K-Mn-O,KMnO2,no_strict_structure_match,,,,False,False,,
mp-10026,Sc-Te,ScTe,no_strict_structure_match,,,,True,True,,
mp-10032,Ge-Os,Ge2Os,no_strict_structure_match,,,,True,True,,
mp-10033,Nb-S,NbS2,no_strict_structure_match,,,,True,True,,
mp-1003311,Ca-Mn-O,CaMn2O4,no_strict_structure_match,,,,False,False,,
mp-1003312,K-Mn-O,KMn4O8,no_strict_structure_match,,,,False,False,,
mp-1003313,Li-Mn-O,Li2Mn3O6,no_strict_structure_match,,,,False,False,,
mp-1003314,K-Mn-O,KMn2O4,no_strict_structure_match,,,,False,True,,
mp-1003316,K-Mn-O,KMn4O8,no_strict_structure_match,,,,False,False,,
mp-1003317,H-Mn-O,Mn3HO6,no_strict_structure_match,,,,False,False,,
mp-1003322,Ca-Mn-O,CaMnO2,no_strict_structure_match,,,,False,False,,
mp-1003402,Ca-Mn-O,CaMnO2,no_strict_structure_match,,,,False,False,,
mp-1003483,Ca-Mn-O,CaMn4O8,no_strict_structure_match,,,,False,False,,
mp-1003486,Ca-Mn-O,CaMnO2,no_strict_structure_match,,,,False,False,,
mp-10036,Al-C-Ce,Ce3AlC,no_strict_structure_match,,,,True,True,,
mp-1003637,Li-Mn-O,LiMn3O6,no_strict_structure_match,,,,False,False,,
mp-10037,Al-C-Co,AlCo3C,no_strict_structure_match,,,,False,False,,
mp-1003769,Li-Mn-O,Li3Mn4O8,no_strict_structure_match,,,,False,False,,
mp-1003856,Mg-Mn-O,MgMnO2,no_strict_structure_match,,,,False,False,,
mp-10039,Al-C-Pr,Pr3AlC,no_strict_structure_match,,,,False,False,,
mp-1004373,Li-Mn-O,LiMnO2,no_strict_structure_match,,,,False,False,,
mp-1004375,Mg-Mn-O,MgMn4O8,no_strict_structure_match,,,,False,False,,
mp-10044,As-B,BAs,no_strict_structure_match,,,,False,False,,
mp-10045,As-Ba,Ba5As3,no_strict_structure_match,,,,False,False,,
mp-1004525,B-Sm,SmB12,no_strict_structure_match,,,,False,False,,
mp-1004528,B-Cs-F-Pb,CsB3PbF12,no_strict_structure_match,,,,True,True,,
mp-10046,As-C-V,V2AsC,no_strict_structure_match,,,,True,True,,
mp-10047,As-Ca,Ca5As3,no_strict_structure_match,,,,True,True,,
mp-1004753,B-Pr,PrB12,no_strict_structure_match,,,,False,False,,
mp-1004756,B-Nd,NdB12,no_strict_structure_match,,,,False,False,,
mp-1004758,H-Mn-O,Mn3(HO3)2,no_strict_structure_match,,,,False,False,,
mp-10049,As-Mn-Ru,MnAsRu,no_strict_structure_match,,,,True,True,,
mp-1005,Fe-P,FeP,no_strict_structure_match,,,,True,True,,
mp-10051,As-Te,TeAs,no_strict_structure_match,,,,False,False,,
mp-10052,As-Ti,TiAs,no_strict_structure_match,,,,False,False,,
mp-10054,As-Zr,ZrAs,no_strict_structure_match,,,,False,False,,
mp-10055,B-Co-Mo,Co2B4Mo,no_strict_structure_match,,,,False,False,,
mp-1005689,Co-Ga-Sm,Sm6GaCo2,no_strict_structure_match,,,,True,True,,
mp-1005693,Hg-In-Sm,Sm2InHg,no_strict_structure_match,,,,True,True,,
mp-10057,B-Co-V,VCoB3,no_strict_structure_match,,,,True,True,,
mp-1005752,In-Sm,Sm3In,no_strict_structure_match,,,,False,False,,
mp-1005753,Al-Ge-Sm,Sm2AlGe6,no_strict_structure_match,,,,False,False,,
mp-1005755,Ge-Pt-Sm,SmGe2Pt,no_strict_structure_match,,,,True,True,,
mp-1005761,Gd-Sm,SmGd3,no_strict_structure_match,,,,False,False,,
mp-10058,B-Co-Yb,YbCo3B2,no_strict_structure_match,,,,True,True,,
mp-1005831,Co-Ge-Tb,Tb2Co3Ge5,no_strict_structure_match,,,,True,True,,
mp-1005895,Gd-Sm,Sm3Gd,no_strict_structure_match,,,,False,False,,
mp-10059,B-Co-Zr,ZrCo3B2,no_strict_structure_match,,,,False,False,,
mp-1006057,In-La-Pr,LaPrIn2,no_strict_structure_match,,,,False,False,,
mp-1006068,Ag-Gd-Rh,Gd2AgRh,strict_structure_match,548490,0.0284534835416671,False,False,False,False,False
mp-1006118,P-S,P2S7,no_strict_structure_match,,,,False,False,,
mp-1006132,Hf-Pb,Hf3Pb,no_strict_structure_match,,,,False,False,,
mp-1006146,Bi-Eu-Mg,Eu(MgBi)2,no_strict_structure_match,,,,True,True,,
mp-10062,Ba-Cu-Nb-Nd-O,Ba2NdNb(CuO4)2,no_strict_structure_match,,,,False,False,,
mp-1006223,B-Gd,GdB12,no_strict_structure_match,,,,False,False,,
mp-1006242,Eu-In-Ni,EuInNi5,no_strict_structure_match,,,,True,True,,
mp-1006246,Ce-Sm,CeSm3,no_strict_structure_match,,,,False,False,,
mp-1006256,Ce-Tl-Y,CeYTl2,no_strict_structure_match,,,,True,False,,
mp-1006282,Co-Nd,Nd7Co3,no_strict_structure_match,,,,False,False,,
mp-10063,Cd-Sb-Sn,CdSnSb2,no_strict_structure_match,,,,True,True,,
mp-1006322,B-Ce-Fe,Ce(FeB)4,no_strict_structure_match,,,,True,True,,
mp-1006323,Ce-Lu,CeLu3,no_strict_structure_match,,,,False,False,,
mp-1006324,Ce-S-Y,Ce(YS2)3,no_strict_structure_match,,,,True,True,,
mp-1006351,Ce-Y,CeY3,no_strict_structure_match,,,,False,False,,
mp-1006352,Co-Er-Ge,Er2Co3Ge5,no_strict_structure_match,,,,True,True,,
mp-1006372,Ag-O-S,AgSO4,no_strict_structure_match,,,,False,False,,
mp-1006399,Ce-In-Zn,CeZnIn,no_strict_structure_match,,,,True,True,,
mp-10068,Ce-Mn-N,Ce2MnN3,no_strict_structure_match,,,,True,True,,
mp-1006885,K-Nd-S,KNdS2,no_strict_structure_match,,,,True,True,,
mp-1006888,K-S-Y,KYS2,no_strict_structure_match,,,,True,True,,
mp-1006891,K-Se-Sm,KSmSe2,no_strict_structure_match,,,,True,True,,
mp-10069,Ce-P-Ru,Ce(P3Ru)4,no_strict_structure_match,,,,True,True,,
mp-1007,Dy-Sb,DySb,no_strict_structure_match,,,,True,True,,
mp-10074,Ge-Se,GeSe2,no_strict_structure_match,,,,False,False,,
mp-10076,Ge-Hf-Ni,Hf3(NiGe)4,no_strict_structure_match,,,,True,True,,
mp-1007636,K-Lu-S,KLuS2,no_strict_structure_match,,,,True,True,,
mp-1007637,H-K-Na,KNaH2,no_strict_structure_match,,,,False,False,,
mp-1007652,As-In,InAs,no_strict_structure_match,,,,False,False,,
mp-1007656,Hf-Pd,HfPd3,no_strict_structure_match,,,,False,False,,
mp-1007661,In-Sb,InSb,no_strict_structure_match,,,,False,False,,
mp-1007663,Ho-Te-Tl,HoTlTe2,no_strict_structure_match,,,,True,True,,
mp-1007664,In-Pd,InPd3,no_strict_structure_match,,,,False,False,,
mp-1007665,Ho-S-Tl,HoTlS2,no_strict_structure_match,,,,True,True,,
mp-1007666,Au-Ho,HoAu,no_strict_structure_match,,,,True,True,,
mp-1007691,Hf-Pt,HfPt,no_strict_structure_match,,,,True,True,,
mp-1007692,Hf-Pd,HfPd,no_strict_structure_match,,,,True,True,,
mp-1007730,Al-Hf,HfAl3,strict_structure_match,348702,0.028303505000001006,False,False,False,False,False
mp-1007755,Au-Hf,HfAu,no_strict_structure_match,,,,True,True,,
mp-1007758,Cd-Hf,HfCd,no_strict_structure_match,,,,True,True,,
mp-1007760,Ge,Ge,no_strict_structure_match,,,,False,False,,
mp-1007786,Hf-Ir,HfIr,no_strict_structure_match,,,,True,False,,
mp-10078,Ge-Tb-Ti,TbTiGe,no_strict_structure_match,,,,False,False,,
mp-1007821,Co-Ga-Ni,GaCo2Ni,no_strict_structure_match,,,,False,False,,
mp-1007852,Co-Fe,FeCo3,no_strict_structure_match,,,,False,False,,
mp-1007853,Fe-Ni,Fe3Ni,no_strict_structure_match,,,,False,False,,
mp-1007855,Fe-Ni,FeNi3,no_strict_structure_match,,,,False,False,,
mp-1007857,Ga,Ga,no_strict_structure_match,,,,False,False,,
mp-1007862,Fe-Ni,Fe3Ni,no_strict_structure_match,,,,False,False,,
mp-1007881,B-Fe,FeB,no_strict_structure_match,,,,True,False,,
mp-1007900,Eu-S-Tl,EuTlS2,no_strict_structure_match,,,,False,False,,
mp-1007907,Er-Te-Tl,ErTlTe2,no_strict_structure_match,,,,True,True,,
mp-1007908,Dy-Te-Tl,DyTlTe2,no_strict_structure_match,,,,True,True,,
mp-1007910,Eu-Na-S,NaEuS2,no_strict_structure_match,,,,True,True,,
mp-1007918,Au-Dy,DyAu,no_strict_structure_match,,,,True,True,,
mp-1007922,Cu-I,CuI,no_strict_structure_match,,,,False,False,,
mp-1007923,Cr-Ni,CrNi3,no_strict_structure_match,,,,False,True,,
mp-1007974,Cr-Ni,CrNi3,no_strict_structure_match,,,,False,False,,
mp-1007976,Cs,Cs,no_strict_structure_match,,,,False,False,,
mp-1008224,Co-Cr-Si,CrCo2Si,no_strict_structure_match,,,,False,False,,
mp-1008274,Co-W,Co3W,no_strict_structure_match,,,,False,False,,
mp-1008279,Co-Mo,Co3Mo,no_strict_structure_match,,,,False,False,,
mp-1008280,Co-Cr,CrCo3,no_strict_structure_match,,,,False,False,,
mp-1008349,Co-Ni,Co3Ni,no_strict_structure_match,,,,False,False,,
mp-1008376,Ce-H,CeH3,no_strict_structure_match,,,,False,True,,
mp-1008487,B-W,BW,no_strict_structure_match,,,,False,False,,
mp-1008488,Bi-Pd,BiPd,no_strict_structure_match,,,,True,True,,
mp-1008492,Br-Cl,BrCl,no_strict_structure_match,,,,False,True,,
mp-1008500,Ba-O,BaO,no_strict_structure_match,,,,False,False,,
mp-1008501,Be,Be,no_strict_structure_match,,,,False,False,,
mp-1008505,Ba-Pd,BaPd,no_strict_structure_match,,,,False,True,,
mp-1008506,Ba-Ga-H-Si,BaGaSiH,no_strict_structure_match,,,,True,True,,
mp-1008511,Ba-Cu-Ga,BaGaCu2,no_strict_structure_match,,,,True,True,,
mp-1008528,As-B-P,B2AsP,no_strict_structure_match,,,,False,False,,
mp-1008530,Al-Co-Fe-V,AlVFeCo,no_strict_structure_match,,,,False,False,,
mp-1008555,Al-Cu,AlCu3,no_strict_structure_match,,,,False,False,,
mp-1008556,Al-Ga-N,AlGaN2,no_strict_structure_match,,,,False,False,,
mp-1008559,B-P,BP,no_strict_structure_match,,,,False,False,,
mp-1008561,Te-Tl-Tm,TmTlTe2,no_strict_structure_match,,,,True,True,,
mp-1008568,Ti-Zr,ZrTi2,no_strict_structure_match,,,,False,False,,
mp-10086,F-S-Y,YSF,no_strict_structure_match,,,,True,True,,
mp-1008601,Ag-Zr,ZrAg2,strict_structure_match,27651,0.03218099791686957,False,False,False,False,False
mp-1008617,Ag-Yb,YbAg2,no_strict_structure_match,,,,True,False,,
mp-1008624,Bi-Pd-Y,YBiPd,no_strict_structure_match,,,,True,True,,
mp-1008626,Te-V,VTe2,no_strict_structure_match,,,,False,True,,
mp-1008632,C-V,V2C,no_strict_structure_match,,,,False,False,,
mp-1008634,Au,Au,no_strict_structure_match,,,,False,False,,
mp-1008680,Ge-Pt-Ti,TiGePt,no_strict_structure_match,,,,True,True,,
mp-10087,Ce-Sc-Si,CeScSi,no_strict_structure_match,,,,False,False,,
mp-1008728,Ni,Ni,no_strict_structure_match,,,,False,False,,
mp-1008786,Mg-Te,MgTe,no_strict_structure_match,,,,False,False,,
mp-1008858,Bi-Nd-Pd,NdBiPd,no_strict_structure_match,,,,True,True,,
mp-1008865,Cd-Nd,NdCd2,no_strict_structure_match,,,,True,True,,
mp-1008874,Co-Mn-Te,MnCoTe,no_strict_structure_match,,,,False,False,,
mp-1008881,H-Mg-Ni,MgNiH,no_strict_structure_match,,,,False,False,,
mp-10089,Ba-Sb,Ba5Sb4,no_strict_structure_match,,,,True,True,,
mp-1008903,Ag-Mg-Sb,MgAgSb,no_strict_structure_match,,,,True,True,,
mp-1009018,Ag-In,InAg,strict_structure_match,307195,0.0758250295000002,False,False,False,False,False
mp-1009077,Fe-H,FeH,no_strict_structure_match,,,,True,True,,
mp-1009082,As-Mg-Sn,MgSnAs2,no_strict_structure_match,,,,True,True,,
mp-1009083,Mg-P-Sn,MgSnP2,no_strict_structure_match,,,,False,False,,
mp-1009084,As-Be-Sn,BeSnAs2,no_strict_structure_match,,,,True,True,,
mp-1009085,Be-P-Si,BeSiP2,no_strict_structure_match,,,,True,True,,
mp-1009086,Be-P-Sn,BeSnP2,no_strict_structure_match,,,,False,False,,
mp-1009087,As-Be-Si,BeSiAs2,no_strict_structure_match,,,,True,True,,
mp-1009088,As-Be-Ge,BeGeAs2,no_strict_structure_match,,,,True,True,,
mp-10091,Cu-K-Se-V,KV(CuSe2)2,no_strict_structure_match,,,,False,True,,
mp-1009130,Mn-N,MnN,no_strict_structure_match,,,,False,True,,
mp-1009132,Bi-Ho-Pd,HoBiPd,no_strict_structure_match,,,,True,True,,
mp-1009133,Co-Mn,MnCo,no_strict_structure_match,,,,True,True,,
mp-1009134,Fe-Mn,MnFe,no_strict_structure_match,,,,False,False,,
mp-10092,Cu-K-Se,KCu4Se3,no_strict_structure_match,,,,False,False,,
mp-1009238,Hf-Tl,Hf2Tl,no_strict_structure_match,,,,True,False,,
mp-10094,O-Re-Tm,Tm5(ReO6)2,no_strict_structure_match,,,,True,True,,
mp-1009460,Hf,Hf,no_strict_structure_match,,,,False,False,,
mp-1009490,O,O2,no_strict_structure_match,,,,False,False,,
mp-1009504,Eu-Ge-Zn,EuZnGe,no_strict_structure_match,,,,False,False,,
mp-1009543,Bi-Dy-Pd,DyBiPd,no_strict_structure_match,,,,True,True,,
mp-1009581,Cr-Se,CrSe2,no_strict_structure_match,,,,True,False,,
mp-1009594,Pr,Pr,no_strict_structure_match,,,,False,False,,
mp-1009641,Co-Te,CoTe2,no_strict_structure_match,,,,False,False,,
mp-1009654,Ca-Ge,CaGe2,no_strict_structure_match,,,,False,False,,
mp-1009657,Ca-N,CaN2,no_strict_structure_match,,,,True,False,,
mp-1009730,Ca-Sn,Ca2Sn,no_strict_structure_match,,,,False,False,,
mp-1009733,Ca-Si,Ca2Si,no_strict_structure_match,,,,True,False,,
mp-1009755,Ca-Ge,Ca2Ge,no_strict_structure_match,,,,True,False,,
mp-1009756,Ca-Pb,Ca2Pb,no_strict_structure_match,,,,False,False,,
mp-1009770,N-Ru,RuN,no_strict_structure_match,,,,False,False,,
mp-10098,Au-Ge-Y,YGeAu,no_strict_structure_match,,,,True,True,,
mp-1009834,Al-Ru,Al2Ru,no_strict_structure_match,,,,False,False,,
mp-1009839,Al-Tb,TbAl,no_strict_structure_match,,,,False,False,,
mp-101,Ir,Ir,no_strict_structure_match,,,,True,True,,
mp-1010,B-Mn,MnB4,no_strict_structure_match,,,,False,False,,
mp-1010136,Cu,Cu,no_strict_structure_match,,,,False,False,,
mp-10106,As-Ca,Ca2As,no_strict_structure_match,,,,False,False,,
mp-1010953,Mg-Ni,MgNi,no_strict_structure_match,,,,False,False,,
mp-10112,B-Ir-La,LaB2Ir3,no_strict_structure_match,,,,True,False,,
mp-1011260,Eu-Fe-O,EuFeO3,no_strict_structure_match,,,,False,False,,
mp-10113,B-Ir-Sc,ScBIr3,no_strict_structure_match,,,,True,False,,
mp-10114,B-Ir-Sc,ScB4Ir3,no_strict_structure_match,,,,True,True,,
mp-1011695,Cs-Se,Cs2Se,no_strict_structure_match,,,,True,True,,
mp-1011696,Cs-Se,Cs2Se,no_strict_structure_match,,,,False,False,,
mp-1011709,Cs-Se,Cs2Se,no_strict_structure_match,,,,False,False,,
mp-10118,B-Mn,Mn3B4,no_strict_structure_match,,,,False,False,,
mp-1012110,Cs,Cs,no_strict_structure_match,,,,False,False,,
mp-1012435,Pb-S,PbS,no_strict_structure_match,,,,False,False,,
mp-10125,Ir-Sb,SbIr,no_strict_structure_match,,,,False,False,,
mp-10126,B-Si-V,V5SiB2,no_strict_structure_match,,,,True,True,,
mp-1012640,Co-Cr-Fe-Ni,CrFeCoNi,no_strict_structure_match,,,,False,False,,
mp-10129,B-Ni-Tm,TmNi4B,no_strict_structure_match,,,,True,True,,
mp-10133,B-Pb-Sc,Sc3BPb,no_strict_structure_match,,,,True,True,,
mp-1013525,S-V,VS2,no_strict_structure_match,,,,True,True,,
mp-1013526,S-V,VS2,no_strict_structure_match,,,,False,False,,
mp-1013527,Be-Ge-P,BeGeP2,no_strict_structure_match,,,,True,True,,
mp-1013545,As-Bi-Ca,Ca3BiAs,no_strict_structure_match,,,,False,False,,
mp-1013548,Ca-N-Sb,Ca3SbN,no_strict_structure_match,,,,True,True,,
mp-1013549,Ba-Bi-N,Ba3BiN,no_strict_structure_match,,,,False,False,,
mp-1013554,N-P-Sr,Sr3PN,no_strict_structure_match,,,,True,False,,
mp-1013555,As-N-Sr,Sr3AsN,no_strict_structure_match,,,,True,False,,
mp-1013557,Ba-N-Sb,Ba3SbN,no_strict_structure_match,,,,False,False,,
mp-1013558,Bi-Ca-P,Ca3BiP,no_strict_structure_match,,,,False,False,,
mp-10136,B-Re-Ti,Ti2ReB2,no_strict_structure_match,,,,True,True,,
mp-1013643,Bi-P-Sr,Sr3BiP,no_strict_structure_match,,,,False,False,,
mp-1013734,As-Ba-N,Ba3AsN,no_strict_structure_match,,,,False,False,,
mp-10139,B-Sc-Sn,Sc3SnB,no_strict_structure_match,,,,True,False,,
mp-1013900,Cl-S-Ti,TiSCl,no_strict_structure_match,,,,False,False,,
mp-1014,Mn-Zr,ZrMn2,no_strict_structure_match,,,,False,False,,
mp-10140,B-Sc-Tl,Sc3TlB,no_strict_structure_match,,,,False,False,,
mp-1014013,P,P,no_strict_structure_match,,,,False,False,,
mp-1014160,N-Zr,ZrN,no_strict_structure_match,,,,False,False,,
mp-1014168,Br-Cs-Pb,CsPbBr3,no_strict_structure_match,,,,False,False,,
mp-10142,B-Ta,Ta3B4,no_strict_structure_match,,,,True,True,,
mp-1014219,Hf-Zn,HfZn,no_strict_structure_match,,,,False,False,,
mp-1014226,N-Zn-Zr,Zr3ZnN,no_strict_structure_match,,,,True,True,,
mp-1014227,N-Ti-Zn,Ti2ZnN,no_strict_structure_match,,,,True,True,,
mp-1014229,Ti-Zn,Ti2Zn,no_strict_structure_match,,,,True,True,,
mp-1014230,Ti-Zn,TiZn,no_strict_structure_match,,,,True,False,,
mp-1014231,Hf-Zn,Hf2Zn,no_strict_structure_match,,,,True,True,,
mp-1014244,N-Zn-Zr,ZrZnN2,no_strict_structure_match,,,,True,True,,
mp-1014251,Hf-N-Zn,HfZnN2,no_strict_structure_match,,,,True,True,,
mp-1014252,Hf-N-Zn,Hf3ZnN,no_strict_structure_match,,,,True,True,,
mp-1014257,N-Ti-Zn,Ti3ZnN,no_strict_structure_match,,,,True,True,,
mp-1014265,N-Zr,Zr2N,no_strict_structure_match,,,,True,True,,
