model_name,label_view,K,K_effective,n_ranked,stable_n,stable_yield_at_k,recall_at_k,positive_rate
ALIGNN-FF,audit_view,10000,10000,31872,4041,0.4041,0.42595130178138507,0.2976593875502008
CHGNet,mp_native,100,100,31872,65,0.65,0.004922377887163953,0.41431350401606426
CHGNet,mp_native,300,300,31872,209,0.6966666666666667,0.015827338129496403,0.41431350401606426
CHGNet,mp_native,500,500,31872,353,0.706,0.026732298371828854,0.41431350401606426
CHGNet,mp_native,1000,1000,31872,731,0.731,0.05535781900795153,0.41431350401606426
CHGNet,mp_native,5000,5000,31872,3074,0.6148,0.23279060961756912,0.41431350401606426
CHGNet,mp_native,10000,10000,31872,5505,0.5505,0.41688754259750094,0.41431350401606426
CHGNet,alexmp20_native,100,100,31872,64,0.64,0.0054626152270399455,0.36759538152610444
CHGNet,alexmp20_native,300,300,31872,194,0.6466666666666666,0.016558552406964834,0.36759538152610444
CHGNet,alexmp20_native,500,500,31872,332,0.664,0.028337316490269715,0.36759538152610444
CHGNet,alexmp20_native,1000,1000,31872,692,0.692,0.05906452714236941,0.36759538152610444
CHGNet,alexmp20_native,5000,5000,31872,2757,0.5514,0.23531922157733015,0.36759538152610444
CHGNet,alexmp20_native,10000,10000,31872,4920,0.492,0.4199385455786958,0.36759538152610444
CHGNet,alex_pbe_native,100,100,31872,53,0.53,0.005103023300596958,0.3258659638554217
CHGNet,alex_pbe_native,300,300,31872,171,0.57,0.016464471403812825,0.3258659638554217
CHGNet,alex_pbe_native,500,500,31872,297,0.594,0.02859618717504333,0.3258659638554217
CHGNet,alex_pbe_native,1000,1000,31872,620,0.62,0.05969574427113422,0.3258659638554217
CHGNet,alex_pbe_native,5000,5000,31872,2465,0.493,0.23733872520700944,0.3258659638554217
CHGNet,alex_pbe_native,10000,10000,31872,4291,0.4291,0.4131523204313499,0.3258659638554217
CHGNet,common_pool,100,100,31872,75,0.75,0.004549314569938129,0.5172565261044176
CHGNet,common_pool,300,300,31872,242,0.8066666666666666,0.014679121679000364,0.5172565261044176
CHGNet,common_pool,500,500,31872,399,0.798,0.024202353512070847,0.5172565261044176
CHGNet,common_pool,1000,1000,31872,823,0.823,0.049921145214121075,0.5172565261044176
CHGNet,common_pool,5000,5000,31872,3927,0.7854,0.23820211088196044,0.5172565261044176
CHGNet,common_pool,10000,10000,31872,7329,0.7329,0.444559019774354,0.5172565261044176
CHGNet,audit_view,100,100,31872,51,0.51,0.005375777379572046,0.2976593875502008
CHGNet,audit_view,300,300,31872,163,0.5433333333333333,0.017181406134710656,0.2976593875502008
CHGNet,audit_view,500,500,31872,285,0.57,0.030041108885843788,0.2976593875502008
CHGNet,audit_view,1000,1000,31872,589,0.589,0.06208495836407716,0.2976593875502008
CHGNet,audit_view,5000,5000,31872,2261,0.4522,0.23832613049436072,0.2976593875502008
CHGNet,audit_view,10000,10000,31872,3903,0.3903,0.4114050806366607,0.2976593875502008
M3GNet,mp_native,100,100,31872,62,0.62,0.004695191215448694,0.41431350401606426
M3GNet,mp_native,300,300,31872,208,0.6933333333333334,0.01575160923892465,0.41431350401606426
M3GNet,mp_native,500,500,31872,357,0.714,0.027035213934115867,0.41431350401606426
M3GNet,mp_native,1000,1000,31872,736,0.736,0.0557364634608103,0.41431350401606426
M3GNet,mp_native,5000,5000,31872,3200,0.64,0.24233244982961,0.41431350401606426
M3GNet,mp_native,10000,10000,31872,5996,0.5996,0.4540704278682317,0.41431350401606426
M3GNet,alexmp20_native,100,100,31872,62,0.62,0.005291908501194947,0.36759538152610444
M3GNet,alexmp20_native,300,300,31872,192,0.64,0.016387845681119836,0.36759538152610444
M3GNet,alexmp20_native,500,500,31872,331,0.662,0.028251963127347218,0.36759538152610444
M3GNet,alexmp20_native,1000,1000,31872,690,0.69,0.05889382041652441,0.36759538152610444
M3GNet,alexmp20_native,5000,5000,31872,2867,0.5734,0.24470809149880504,0.36759538152610444
M3GNet,alexmp20_native,10000,10000,31872,5393,0.5393,0.4603106862410379,0.36759538152610444
M3GNet,alex_pbe_native,100,100,31872,50,0.5,0.004814172925091469,0.3258659638554217
M3GNet,alex_pbe_native,300,300,31872,174,0.58,0.016753321779318313,0.3258659638554217
M3GNet,alex_pbe_native,500,500,31872,298,0.596,0.02869247063354516,0.3258659638554217
M3GNet,alex_pbe_native,1000,1000,31872,624,0.624,0.06008087810514154,0.3258659638554217
M3GNet,alex_pbe_native,5000,5000,31872,2585,0.517,0.24889274022722896,0.3258659638554217
M3GNet,alex_pbe_native,10000,10000,31872,4771,0.4771,0.459368380512228,0.3258659638554217
M3GNet,common_pool,100,100,31872,72,0.72,0.004367341987140604,0.5172565261044176
M3GNet,common_pool,300,300,31872,242,0.8066666666666666,0.014679121679000364,0.5172565261044176
M3GNet,common_pool,500,500,31872,400,0.8,0.02426301103967002,0.5172565261044176
M3GNet,common_pool,1000,1000,31872,818,0.818,0.0496178575761252,0.5172565261044176
M3GNet,common_pool,5000,5000,31872,4029,0.8058,0.2443891786970763,0.5172565261044176
M3GNet,common_pool,10000,10000,31872,7785,0.7785,0.47221885235957783,0.5172565261044176
M3GNet,audit_view,100,100,31872,49,0.49,0.005164962580373142,0.2976593875502008
M3GNet,audit_view,300,300,31872,167,0.5566666666666666,0.017603035733108466,0.2976593875502008
M3GNet,audit_view,500,500,31872,288,0.576,0.030357331084642142,0.2976593875502008
M3GNet,audit_view,1000,1000,31872,595,0.595,0.06271740276167387,0.2976593875502008
M3GNet,audit_view,5000,5000,31872,2385,0.477,0.25139664804469275,0.2976593875502008
M3GNet,audit_view,10000,10000,31872,4372,0.4372,0.46084115104880363,0.2976593875502008
MACE-MP,mp_native,100,100,31872,70,0.7,0.005301022340022719,0.41431350401606426
MACE-MP,mp_native,300,300,31872,229,0.7633333333333333,0.017341915940931464,0.41431350401606426
MACE-MP,mp_native,500,500,31872,392,0.784,0.029685725104127224,0.41431350401606426
MACE-MP,mp_native,1000,1000,31872,802,0.802,0.060734570238546004,0.41431350401606426
MACE-MP,mp_native,5000,5000,31872,3496,0.6992,0.2647482014388489,0.41431350401606426
MACE-MP,mp_native,10000,10000,31872,6576,0.6576,0.4979931843998485,0.41431350401606426
MACE-MP,alexmp20_native,100,100,31872,70,0.7,0.0059747354045749405,0.36759538152610444
MACE-MP,alexmp20_native,300,300,31872,211,0.7033333333333334,0.01800955957664732,0.36759538152610444
MACE-MP,alexmp20_native,500,500,31872,369,0.738,0.031495390918402186,0.36759538152610444
MACE-MP,alexmp20_native,1000,1000,31872,761,0.761,0.06495390918402184,0.36759538152610444
MACE-MP,alexmp20_native,5000,5000,31872,3148,0.6296,0.2686923864800273,0.36759538152610444
MACE-MP,alexmp20_native,10000,10000,31872,5950,0.595,0.5078525093888699,0.36759538152610444
MACE-MP,alex_pbe_native,100,100,31872,58,0.58,0.005584440593106105,0.3258659638554217
MACE-MP,alex_pbe_native,300,300,31872,186,0.62,0.017908723281340265,0.3258659638554217
MACE-MP,alex_pbe_native,500,500,31872,328,0.656,0.03158097438860004,0.3258659638554217
MACE-MP,alex_pbe_native,1000,1000,31872,683,0.683,0.06576160215674948,0.3258659638554217
MACE-MP,alex_pbe_native,5000,5000,31872,2827,0.5654,0.27219333718467165,0.3258659638554217
MACE-MP,alex_pbe_native,10000,10000,31872,5256,0.5256,0.5060658578856152,0.3258659638554217
MACE-MP,common_pool,100,100,31872,81,0.81,0.00491325973553318,0.5172565261044176
MACE-MP,common_pool,300,300,31872,260,0.8666666666666667,0.015770957175785513,0.5172565261044176
MACE-MP,common_pool,500,500,31872,438,0.876,0.026567997088438676,0.5172565261044176
MACE-MP,common_pool,1000,1000,31872,890,0.89,0.0539851995632658,0.5172565261044176
MACE-MP,common_pool,5000,5000,31872,4369,0.8738,0.26501273808079584,0.5172565261044176
MACE-MP,common_pool,10000,10000,31872,8447,0.8447,0.5123741356302317,0.5172565261044176
MACE-MP,audit_view,100,100,31872,56,0.56,0.005902814377569305,0.2976593875502008
MACE-MP,audit_view,300,300,31872,179,0.5966666666666667,0.018867924528301886,0.2976593875502008
MACE-MP,audit_view,500,500,31872,318,0.636,0.0335195530726257,0.2976593875502008
MACE-MP,audit_view,1000,1000,31872,654,0.654,0.06893643933804153,0.2976593875502008
MACE-MP,audit_view,5000,5000,31872,2608,0.5216,0.2749024981553705,0.2976593875502008
MACE-MP,audit_view,10000,10000,31872,4826,0.4826,0.5086961104669547,0.2976593875502008
