element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Yb,-1.350108981132507,minimum_predicted_energy_among_D2_elemental_entries,,
Be,-3.726207971572876,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-87,3.726207971572876
Br,-1.598740816116333,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-23154,1.598740816116333
Cd,-0.9075890183448792,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-94,0.9075890183448792
Cu,-4.077049255371094,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-30,4.077049255371094
Dy,-4.576786041259766,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-88,4.576786041259766
In,-2.6935391426086426,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-85,2.6935391426086426
Ir,-8.837793350219727,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-101,8.837793350219727
Nb,-10.025182723999023,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-75,10.025182723999023
Pt,-6.085574150085449,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-126,6.085574150085449
Sb,-4.06074857711792,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-104,4.06074857711792
Ta,-11.805527687072754,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-569794,11.805527687072754
Ti,-7.784756660461426,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-72,7.784756660461426
V,-9.075879096984863,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-146,9.075879096984863
Zn,-1.249842882156372,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-79,1.249842882156372
Zr,-8.509100914001465,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-131,8.509100914001465
