element,predicted_raw_energy_per_atom,reference_source,mp_id,stored_score_convention
Sr,-1.634299397468567,minimum_predicted_energy_among_D2_elemental_entries,,
Tb,-9.487303415934244,minimum_predicted_energy_among_D2_elemental_entries,,
Te,-3.031148910522461,minimum_predicted_energy_among_D2_elemental_entries,,
Tl,-2.2172164916992188,minimum_predicted_energy_among_D2_elemental_entries,,
Tm,-3.997135798136393,minimum_predicted_energy_among_D2_elemental_entries,,
W,-12.926719665527344,minimum_predicted_energy_among_D2_elemental_entries,,
Y,-6.413485527038574,minimum_predicted_energy_among_D2_elemental_entries,,
Yb,-3.5514962673187256,minimum_predicted_energy_among_D2_elemental_entries,,
Be,-3.6889705657958984,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-87,3.6889705657958984
Br,-1.4155573844909668,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-23154,1.4155573844909668
Cd,-0.6855056285858154,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-94,0.6855056285858154
Cu,-3.7286691665649414,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-30,3.7286691665649414
Dy,-7.875969886779785,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-88,7.875969886779785
In,-2.55464506149292,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-85,2.55464506149292
Ir,-8.831328392028809,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-101,8.831328392028809
Nb,-10.067716598510742,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-75,10.067716598510742
Pt,-6.073678016662598,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-126,6.073678016662598
Sb,-3.8902854919433594,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-104,3.8902854919433594
Ta,-11.722983805338542,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-569794,11.722983805338542
Ti,-7.727864583333333,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-72,7.727864583333333
V,-8.989696502685547,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-146,8.989696502685547
Zn,-1.0853431224822998,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-79,1.0853431224822998
Zr,-8.47744369506836,MP_stable_elemental_structure_retrieved_for_missing_D2_reference,mp-131,8.47744369506836
