model,row_id,mp_id,membership_status
ALIGNN-FF,SAS36K-00116,mp-10076,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00117,mp-1007636,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00118,mp-1007637,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00119,mp-1007652,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00120,mp-1007656,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00121,mp-1007661,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00122,mp-1007663,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00123,mp-1007664,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00124,mp-1007665,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00125,mp-1007666,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00126,mp-1007691,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00127,mp-1007692,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00128,mp-1007730,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00129,mp-1007758,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00130,mp-1007760,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00131,mp-1007786,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00132,mp-10078,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00133,mp-1007821,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00134,mp-1007852,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00135,mp-1007853,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00136,mp-1007855,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00137,mp-1007862,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00140,mp-1007907,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00141,mp-1007908,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00142,mp-1007910,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00143,mp-1007918,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00144,mp-1007922,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00145,mp-1007923,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00146,mp-1007974,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00147,mp-1008224,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00148,mp-1008274,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00149,mp-1008279,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00150,mp-1008280,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00151,mp-1008349,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00152,mp-1008487,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00153,mp-1008488,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00154,mp-1008492,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00155,mp-1008500,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00156,mp-1008505,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00157,mp-1008506,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00158,mp-1008511,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00159,mp-1008528,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00160,mp-1008530,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00161,mp-1008556,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00162,mp-1008559,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00163,mp-1008561,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00164,mp-1008568,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00165,mp-10086,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00167,mp-1008624,membership_identifiers_unavailable
ALIGNN-FF,SAS36K-00168,mp-1008632,membership_identifiers_unavailable
