denominator,metric,label_view_a,label_view_b,common_model_n,rank_inversion_count,top_model_a,top_model_b,top_model_inversion,example_inversions
D5_family_complete,auprc,alexmp20_native,uncertain,12,20,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,auprc,audit_view,common_pool,12,15,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auprc,audit_view,consensus,12,2,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;prevalence_dummy<->random_baseline
D5_family_complete,auprc,audit_view,mp_native,12,9,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auprc,audit_view,uncertain,12,26,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MACE-MP<->prevalence_dummy
D5_family_complete,auprc,common_pool,consensus,12,4,official_Alexandria_PBE_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auprc,common_pool,mp_native,12,12,official_Alexandria_PBE_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,auprc,consensus,uncertain,12,14,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MACE-MP<->prevalence_dummy
D5_family_complete,auprc,mp_native,uncertain,12,17,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,auroc,alex_pbe_native,alexmp20_native,12,4,official_Alexandria_PBE_source_native_public_hull_rank,MatterGen_alex_mp20_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auroc,alex_pbe_native,audit_view,12,6,official_Alexandria_PBE_source_native_public_hull_rank,consensus_oracle_proxy,True,MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;consensus_oracle_proxy<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,auroc,alex_pbe_native,common_pool,12,11,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auroc,alex_pbe_native,consensus,12,2,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->random_baseline
D5_family_complete,auroc,alex_pbe_native,mp_native,12,7,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,auroc,alex_pbe_native,uncertain,12,18,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy
D5_family_complete,auroc,alexmp20_native,audit_view,12,10,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,ALIGNN-FF<->CHGNet;MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,auroc,alexmp20_native,common_pool,12,9,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,auroc,alexmp20_native,consensus,12,0,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,
D5_family_complete,auroc,alexmp20_native,mp_native,12,3,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,auroc,alexmp20_native,uncertain,12,14,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,auroc,audit_view,common_pool,12,16,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,auroc,audit_view,consensus,12,3,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline
D5_family_complete,auroc,audit_view,mp_native,12,11,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MACE-MP<->prevalence_dummy;MACE-MP<->random_baseline;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,auroc,audit_view,uncertain,12,24,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy
D5_family_complete,auroc,common_pool,mp_native,12,7,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,auroc,common_pool,uncertain,12,7,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy
D5_family_complete,auroc,consensus,mp_native,12,0,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,
D5_family_complete,auroc,consensus,uncertain,12,6,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;consensus_oracle_proxy<->prevalence_dummy
D5_family_complete,auroc,mp_native,uncertain,12,13,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->consensus_oracle_proxy;CHGNet<->consensus_oracle_proxy;M3GNet<->consensus_oracle_proxy;MACE-MP<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,alex_pbe_native,alexmp20_native,12,5,official_Alexandria_PBE_source_native_public_hull_rank,MatterGen_alex_mp20_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;prevalence_dummy<->random_baseline
D5_family_complete,balanced_accuracy,alex_pbe_native,audit_view,12,6,official_Alexandria_PBE_source_native_public_hull_rank,consensus_oracle_proxy,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,alex_pbe_native,common_pool,12,18,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,balanced_accuracy,alex_pbe_native,consensus,12,4,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;prevalence_dummy<->random_baseline
D5_family_complete,balanced_accuracy,alex_pbe_native,mp_native,12,11,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,balanced_accuracy,alex_pbe_native,uncertain,12,31,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,alexmp20_native,audit_view,12,7,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,balanced_accuracy,alexmp20_native,common_pool,12,14,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,alexmp20_native,consensus,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,balanced_accuracy,alexmp20_native,mp_native,12,6,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,alexmp20_native,uncertain,12,30,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,balanced_accuracy,audit_view,common_pool,12,17,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,audit_view,consensus,12,1,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet
D5_family_complete,balanced_accuracy,audit_view,mp_native,12,9,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,audit_view,uncertain,12,37,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,common_pool,mp_native,12,8,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,common_pool,uncertain,12,23,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;ALIGNN-FF<->prevalence_dummy;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,balanced_accuracy,consensus,mp_native,12,0,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,
D5_family_complete,balanced_accuracy,consensus,uncertain,12,21,MP_common_pool_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,balanced_accuracy,mp_native,uncertain,12,28,MP_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,f1,alex_pbe_native,alexmp20_native,12,5,official_Alexandria_PBE_source_native_public_hull_rank,MatterGen_alex_mp20_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank;prevalence_dummy<->random_baseline
D5_family_complete,f1,alex_pbe_native,audit_view,12,6,official_Alexandria_PBE_source_native_public_hull_rank,consensus_oracle_proxy,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy;consensus_oracle_proxy<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,f1,alex_pbe_native,common_pool,12,18,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,f1,alex_pbe_native,consensus,12,4,official_Alexandria_PBE_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;prevalence_dummy<->random_baseline
D5_family_complete,f1,alex_pbe_native,mp_native,12,11,official_Alexandria_PBE_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_common_pool_public_hull_rank
D5_family_complete,f1,alex_pbe_native,uncertain,12,31,official_Alexandria_PBE_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,f1,alexmp20_native,audit_view,12,7,MatterGen_alex_mp20_source_native_public_hull_rank,consensus_oracle_proxy,True,ALIGNN-FF<->CHGNet;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MatterGen_alex_mp20_source_native_public_hull_rank<->consensus_oracle_proxy
D5_family_complete,f1,alexmp20_native,common_pool,12,14,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank
D5_family_complete,f1,alexmp20_native,consensus,12,2,MatterGen_alex_mp20_source_native_public_hull_rank,MP_common_pool_public_hull_rank,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy
D5_family_complete,f1,alexmp20_native,mp_native,12,6,MatterGen_alex_mp20_source_native_public_hull_rank,MP_source_native_public_hull_rank,True,M3GNet<->prevalence_dummy;MACE-MP<->prevalence_dummy;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,f1,alexmp20_native,uncertain,12,30,MatterGen_alex_mp20_source_native_public_hull_rank,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank;CHGNet<->consensus_oracle_proxy
D5_family_complete,f1,audit_view,common_pool,12,17,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,f1,audit_view,consensus,12,1,consensus_oracle_proxy,MP_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet
D5_family_complete,f1,audit_view,mp_native,12,9,consensus_oracle_proxy,MP_source_native_public_hull_rank,True,ALIGNN-FF<->CHGNet;MP_common_pool_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_source_native_public_hull_rank<->consensus_oracle_proxy;MP_source_native_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
D5_family_complete,f1,audit_view,uncertain,12,37,consensus_oracle_proxy,official_Alexandria_PBE_common_pool_public_hull_rank,True,ALIGNN-FF<->CHGNet;ALIGNN-FF<->MatterGen_alex_mp20_source_native_public_hull_rank;ALIGNN-FF<->consensus_oracle_proxy;ALIGNN-FF<->official_Alexandria_PBE_source_native_public_hull_rank;CHGNet<->MatterGen_alex_mp20_source_native_public_hull_rank
D5_family_complete,f1,common_pool,mp_native,12,8,MP_common_pool_public_hull_rank,MP_source_native_public_hull_rank,True,ALIGNN-FF<->prevalence_dummy;CHGNet<->prevalence_dummy;MP_common_pool_public_hull_rank<->MP_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->MatterGen_alex_mp20_source_native_public_hull_rank;MP_common_pool_public_hull_rank<->official_Alexandria_PBE_source_native_public_hull_rank
