denominator,metric,label_view_a,label_view_b,family_rank_inversion_count,common_family_n
D5_family_complete,balanced_accuracy,alexmp20_native,mp_native,1,6
D5_family_complete,balanced_accuracy,alexmp20_native,uncertain,5,6
D5_family_complete,balanced_accuracy,audit_view,common_pool,2,6
D5_family_complete,balanced_accuracy,audit_view,consensus,0,6
D5_family_complete,balanced_accuracy,audit_view,mp_native,1,6
D5_family_complete,balanced_accuracy,audit_view,uncertain,7,6
D5_family_complete,balanced_accuracy,common_pool,consensus,1,6
D5_family_complete,balanced_accuracy,common_pool,mp_native,1,6
D5_family_complete,balanced_accuracy,common_pool,uncertain,7,6
D5_family_complete,balanced_accuracy,consensus,mp_native,0,6
D5_family_complete,balanced_accuracy,consensus,uncertain,6,6
D5_family_complete,balanced_accuracy,mp_native,uncertain,6,6
D5_family_complete,f1,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,f1,alex_pbe_native,audit_view,3,6
D5_family_complete,f1,alex_pbe_native,common_pool,3,6
D5_family_complete,f1,alex_pbe_native,consensus,2,6
D5_family_complete,f1,alex_pbe_native,mp_native,2,6
D5_family_complete,f1,alex_pbe_native,uncertain,4,6
D5_family_complete,f1,alexmp20_native,audit_view,2,6
D5_family_complete,f1,alexmp20_native,common_pool,2,6
D5_family_complete,f1,alexmp20_native,consensus,1,6
D5_family_complete,f1,alexmp20_native,mp_native,1,6
D5_family_complete,f1,alexmp20_native,uncertain,5,6
D5_family_complete,f1,audit_view,common_pool,2,6
D5_family_complete,f1,audit_view,consensus,0,6
D5_family_complete,f1,audit_view,mp_native,1,6
D5_family_complete,f1,audit_view,uncertain,7,6
D5_family_complete,f1,common_pool,consensus,1,6
D5_family_complete,f1,common_pool,mp_native,1,6
D5_family_complete,f1,common_pool,uncertain,7,6
D5_family_complete,f1,consensus,mp_native,0,6
D5_family_complete,f1,consensus,uncertain,6,6
D5_family_complete,f1,mp_native,uncertain,6,6
D5_family_complete,precision,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,precision,alex_pbe_native,audit_view,3,6
D5_family_complete,precision,alex_pbe_native,common_pool,3,6
D5_family_complete,precision,alex_pbe_native,consensus,2,6
D5_family_complete,precision,alex_pbe_native,mp_native,2,6
D5_family_complete,precision,alex_pbe_native,uncertain,4,6
D5_family_complete,precision,alexmp20_native,audit_view,2,6
D5_family_complete,precision,alexmp20_native,common_pool,2,6
D5_family_complete,precision,alexmp20_native,consensus,1,6
D5_family_complete,precision,alexmp20_native,mp_native,1,6
D5_family_complete,precision,alexmp20_native,uncertain,5,6
D5_family_complete,precision,audit_view,common_pool,2,6
D5_family_complete,precision,audit_view,consensus,0,6
D5_family_complete,precision,audit_view,mp_native,1,6
D5_family_complete,precision,audit_view,uncertain,7,6
D5_family_complete,precision,common_pool,consensus,1,6
D5_family_complete,precision,common_pool,mp_native,1,6
D5_family_complete,precision,common_pool,uncertain,7,6
D5_family_complete,precision,consensus,mp_native,0,6
D5_family_complete,precision,consensus,uncertain,6,6
D5_family_complete,precision,mp_native,uncertain,6,6
D5_family_complete,recall,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,recall,alex_pbe_native,audit_view,3,6
D5_family_complete,recall,alex_pbe_native,common_pool,3,6
D5_family_complete,recall,alex_pbe_native,consensus,2,6
D5_family_complete,recall,alex_pbe_native,mp_native,2,6
D5_family_complete,recall,alex_pbe_native,uncertain,4,6
D5_family_complete,recall,alexmp20_native,audit_view,2,6
D5_family_complete,recall,alexmp20_native,common_pool,2,6
D5_family_complete,recall,alexmp20_native,consensus,1,6
D5_family_complete,recall,alexmp20_native,mp_native,1,6
D5_family_complete,recall,alexmp20_native,uncertain,5,6
D5_family_complete,recall,audit_view,common_pool,2,6
D5_family_complete,recall,audit_view,consensus,0,6
D5_family_complete,recall,audit_view,mp_native,1,6
D5_family_complete,recall,audit_view,uncertain,7,6
D5_family_complete,recall,common_pool,consensus,1,6
D5_family_complete,recall,common_pool,mp_native,1,6
D5_family_complete,recall,common_pool,uncertain,7,6
D5_family_complete,recall,consensus,mp_native,0,6
D5_family_complete,recall,consensus,uncertain,6,6
D5_family_complete,recall,mp_native,uncertain,6,6
D5_family_complete,stable_yield@100,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,stable_yield@100,alex_pbe_native,audit_view,0,6
D5_family_complete,stable_yield@100,alex_pbe_native,common_pool,2,6
D5_family_complete,stable_yield@100,alex_pbe_native,consensus,1,6
D5_family_complete,stable_yield@100,alex_pbe_native,mp_native,1,6
D5_family_complete,stable_yield@100,alex_pbe_native,uncertain,6,6
D5_family_complete,stable_yield@100,alexmp20_native,audit_view,1,6
D5_family_complete,stable_yield@100,alexmp20_native,common_pool,2,6
D5_family_complete,stable_yield@100,alexmp20_native,consensus,0,6
D5_family_complete,stable_yield@100,alexmp20_native,mp_native,2,6
D5_family_complete,stable_yield@100,alexmp20_native,uncertain,6,6
D5_family_complete,stable_yield@100,audit_view,common_pool,2,6
D5_family_complete,stable_yield@100,audit_view,consensus,1,6
D5_family_complete,stable_yield@100,audit_view,mp_native,1,6
D5_family_complete,stable_yield@100,audit_view,uncertain,7,6
D5_family_complete,stable_yield@100,common_pool,consensus,2,6
D5_family_complete,stable_yield@100,common_pool,mp_native,0,6
D5_family_complete,stable_yield@100,common_pool,uncertain,4,6
D5_family_complete,stable_yield@100,consensus,mp_native,2,6
D5_family_complete,stable_yield@100,consensus,uncertain,6,6
D5_family_complete,stable_yield@100,mp_native,uncertain,4,6
D5_family_complete,stable_yield@1000,alex_pbe_native,alexmp20_native,0,6
D5_family_complete,stable_yield@1000,alex_pbe_native,audit_view,0,6
D5_family_complete,stable_yield@1000,alex_pbe_native,common_pool,4,6
D5_family_complete,stable_yield@1000,alex_pbe_native,consensus,3,6
D5_family_complete,stable_yield@1000,alex_pbe_native,mp_native,2,6
D5_family_complete,stable_yield@1000,alex_pbe_native,uncertain,7,6
D5_family_complete,stable_yield@1000,alexmp20_native,audit_view,0,6
D5_family_complete,stable_yield@1000,alexmp20_native,common_pool,4,6
D5_family_complete,stable_yield@1000,alexmp20_native,consensus,3,6
D5_family_complete,stable_yield@1000,alexmp20_native,mp_native,2,6
D5_family_complete,stable_yield@1000,alexmp20_native,uncertain,7,6
D5_family_complete,stable_yield@1000,audit_view,common_pool,4,6
D5_family_complete,stable_yield@1000,audit_view,consensus,3,6
D5_family_complete,stable_yield@1000,audit_view,mp_native,2,6
D5_family_complete,stable_yield@1000,audit_view,uncertain,8,6
D5_family_complete,stable_yield@1000,common_pool,consensus,1,6
D5_family_complete,stable_yield@1000,common_pool,mp_native,2,6
D5_family_complete,stable_yield@1000,common_pool,uncertain,5,6
D5_family_complete,stable_yield@1000,consensus,mp_native,3,6
D5_family_complete,stable_yield@1000,consensus,uncertain,4,6
D5_family_complete,stable_yield@1000,mp_native,uncertain,7,6
D5_family_complete,stable_yield@10000,alex_pbe_native,alexmp20_native,0,6
D5_family_complete,stable_yield@10000,alex_pbe_native,audit_view,1,6
D5_family_complete,stable_yield@10000,alex_pbe_native,common_pool,1,6
D5_family_complete,stable_yield@10000,alex_pbe_native,consensus,0,6
D5_family_complete,stable_yield@10000,alex_pbe_native,mp_native,0,6
D5_family_complete,stable_yield@10000,alex_pbe_native,uncertain,5,6
D5_family_complete,stable_yield@10000,alexmp20_native,audit_view,1,6
D5_family_complete,stable_yield@10000,alexmp20_native,common_pool,1,6
D5_family_complete,stable_yield@10000,alexmp20_native,consensus,0,6
D5_family_complete,stable_yield@10000,alexmp20_native,mp_native,0,6
D5_family_complete,stable_yield@10000,alexmp20_native,uncertain,5,6
D5_family_complete,stable_yield@10000,audit_view,common_pool,2,6
D5_family_complete,stable_yield@10000,audit_view,consensus,0,6
D5_family_complete,stable_yield@10000,audit_view,mp_native,1,6
D5_family_complete,stable_yield@10000,audit_view,uncertain,6,6
D5_family_complete,stable_yield@10000,common_pool,consensus,1,6
D5_family_complete,stable_yield@10000,common_pool,mp_native,1,6
D5_family_complete,stable_yield@10000,common_pool,uncertain,4,6
D5_family_complete,stable_yield@10000,consensus,mp_native,0,6
D5_family_complete,stable_yield@10000,consensus,uncertain,5,6
D5_family_complete,stable_yield@10000,mp_native,uncertain,5,6
D5_family_complete,stable_yield@300,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,stable_yield@300,alex_pbe_native,audit_view,1,6
D5_family_complete,stable_yield@300,alex_pbe_native,common_pool,1,6
D5_family_complete,stable_yield@300,alex_pbe_native,consensus,1,6
D5_family_complete,stable_yield@300,alex_pbe_native,mp_native,3,6
D5_family_complete,stable_yield@300,alex_pbe_native,uncertain,6,6
D5_family_complete,stable_yield@300,alexmp20_native,audit_view,0,6
D5_family_complete,stable_yield@300,alexmp20_native,common_pool,0,6
D5_family_complete,stable_yield@300,alexmp20_native,consensus,0,6
D5_family_complete,stable_yield@300,alexmp20_native,mp_native,2,6
D5_family_complete,stable_yield@300,alexmp20_native,uncertain,7,6
D5_family_complete,stable_yield@300,audit_view,common_pool,0,6
D5_family_complete,stable_yield@300,audit_view,consensus,0,6
D5_family_complete,stable_yield@300,audit_view,mp_native,2,6
D5_family_complete,stable_yield@300,audit_view,uncertain,8,6
D5_family_complete,stable_yield@300,common_pool,consensus,0,6
D5_family_complete,stable_yield@300,common_pool,mp_native,2,6
D5_family_complete,stable_yield@300,common_pool,uncertain,7,6
D5_family_complete,stable_yield@300,consensus,mp_native,2,6
D5_family_complete,stable_yield@300,consensus,uncertain,7,6
D5_family_complete,stable_yield@300,mp_native,uncertain,5,6
D5_family_complete,stable_yield@500,alex_pbe_native,alexmp20_native,0,6
D5_family_complete,stable_yield@500,alex_pbe_native,audit_view,0,6
D5_family_complete,stable_yield@500,alex_pbe_native,common_pool,2,6
D5_family_complete,stable_yield@500,alex_pbe_native,consensus,1,6
D5_family_complete,stable_yield@500,alex_pbe_native,mp_native,2,6
D5_family_complete,stable_yield@500,alex_pbe_native,uncertain,8,6
D5_family_complete,stable_yield@500,alexmp20_native,audit_view,0,6
D5_family_complete,stable_yield@500,alexmp20_native,common_pool,2,6
D5_family_complete,stable_yield@500,alexmp20_native,consensus,1,6
D5_family_complete,stable_yield@500,alexmp20_native,mp_native,2,6
D5_family_complete,stable_yield@500,alexmp20_native,uncertain,8,6
D5_family_complete,stable_yield@500,audit_view,common_pool,2,6
D5_family_complete,stable_yield@500,audit_view,consensus,1,6
D5_family_complete,stable_yield@500,audit_view,mp_native,2,6
D5_family_complete,stable_yield@500,audit_view,uncertain,9,6
D5_family_complete,stable_yield@500,common_pool,consensus,1,6
D5_family_complete,stable_yield@500,common_pool,mp_native,0,6
D5_family_complete,stable_yield@500,common_pool,uncertain,6,6
D5_family_complete,stable_yield@500,consensus,mp_native,1,6
D5_family_complete,stable_yield@500,consensus,uncertain,7,6
D5_family_complete,stable_yield@500,mp_native,uncertain,6,6
D5_family_complete,stable_yield@5000,alex_pbe_native,alexmp20_native,1,6
D5_family_complete,stable_yield@5000,alex_pbe_native,audit_view,0,6
D5_family_complete,stable_yield@5000,alex_pbe_native,common_pool,2,6
D5_family_complete,stable_yield@5000,alex_pbe_native,consensus,1,6
D5_family_complete,stable_yield@5000,alex_pbe_native,mp_native,0,6
D5_family_complete,stable_yield@5000,alex_pbe_native,uncertain,7,6
D5_family_complete,stable_yield@5000,alexmp20_native,audit_view,1,6
D5_family_complete,stable_yield@5000,alexmp20_native,common_pool,3,6
D5_family_complete,stable_yield@5000,alexmp20_native,consensus,0,6
D5_family_complete,stable_yield@5000,alexmp20_native,mp_native,1,6
D5_family_complete,stable_yield@5000,alexmp20_native,uncertain,8,6
D5_family_complete,stable_yield@5000,audit_view,common_pool,2,6
D5_family_complete,stable_yield@5000,audit_view,consensus,1,6
D5_family_complete,stable_yield@5000,audit_view,mp_native,0,6
D5_family_complete,stable_yield@5000,audit_view,uncertain,8,6
D5_family_complete,stable_yield@5000,common_pool,consensus,3,6
D5_family_complete,stable_yield@5000,common_pool,mp_native,2,6
D5_family_complete,stable_yield@5000,common_pool,uncertain,5,6
D5_family_complete,stable_yield@5000,consensus,mp_native,1,6
D5_family_complete,stable_yield@5000,consensus,uncertain,8,6
D5_family_complete,stable_yield@5000,mp_native,uncertain,7,6
D5_full_complete,auprc,alex_pbe_native,alexmp20_native,0,6
D5_full_complete,auprc,alex_pbe_native,audit_view,4,6
D5_full_complete,auprc,alex_pbe_native,common_pool,2,6
D5_full_complete,auprc,alex_pbe_native,consensus,2,6
D5_full_complete,auprc,alex_pbe_native,mp_native,0,6
D5_full_complete,auprc,alex_pbe_native,uncertain,4,6
D5_full_complete,auprc,alexmp20_native,audit_view,4,6
D5_full_complete,auprc,alexmp20_native,common_pool,2,6
D5_full_complete,auprc,alexmp20_native,consensus,2,6
D5_full_complete,auprc,alexmp20_native,mp_native,0,6
D5_full_complete,auprc,alexmp20_native,uncertain,4,6
D5_full_complete,auprc,audit_view,common_pool,2,6
D5_full_complete,auprc,audit_view,consensus,1,6
D5_full_complete,auprc,audit_view,mp_native,4,6
D5_full_complete,auprc,audit_view,uncertain,8,6
D5_full_complete,auprc,common_pool,consensus,0,6
D5_full_complete,auprc,common_pool,mp_native,2,6
D5_full_complete,auprc,common_pool,uncertain,6,6
D5_full_complete,auprc,consensus,mp_native,2,6
D5_full_complete,auprc,consensus,uncertain,6,6
D5_full_complete,auprc,mp_native,uncertain,4,6
D5_full_complete,auroc,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,auroc,alex_pbe_native,audit_view,2,6
D5_full_complete,auroc,alex_pbe_native,common_pool,1,6
D5_full_complete,auroc,alex_pbe_native,consensus,1,6
D5_full_complete,auroc,alex_pbe_native,mp_native,1,6
D5_full_complete,auroc,alex_pbe_native,uncertain,5,6
D5_full_complete,auroc,alexmp20_native,audit_view,3,6
D5_full_complete,auroc,alexmp20_native,common_pool,0,6
D5_full_complete,auroc,alexmp20_native,consensus,0,6
D5_full_complete,auroc,alexmp20_native,mp_native,0,6
D5_full_complete,auroc,alexmp20_native,uncertain,4,6
D5_full_complete,auroc,audit_view,common_pool,3,6
D5_full_complete,auroc,audit_view,consensus,2,6
D5_full_complete,auroc,audit_view,mp_native,3,6
D5_full_complete,auroc,audit_view,uncertain,7,6
D5_full_complete,auroc,common_pool,consensus,0,6
D5_full_complete,auroc,common_pool,mp_native,0,6
D5_full_complete,auroc,common_pool,uncertain,4,6
D5_full_complete,auroc,consensus,mp_native,0,6
D5_full_complete,auroc,consensus,uncertain,4,6
D5_full_complete,auroc,mp_native,uncertain,4,6
D5_full_complete,balanced_accuracy,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,balanced_accuracy,alex_pbe_native,audit_view,3,6
D5_full_complete,balanced_accuracy,alex_pbe_native,common_pool,3,6
D5_full_complete,balanced_accuracy,alex_pbe_native,consensus,2,6
D5_full_complete,balanced_accuracy,alex_pbe_native,mp_native,2,6
D5_full_complete,balanced_accuracy,alex_pbe_native,uncertain,4,6
D5_full_complete,balanced_accuracy,alexmp20_native,audit_view,2,6
D5_full_complete,balanced_accuracy,alexmp20_native,common_pool,2,6
D5_full_complete,balanced_accuracy,alexmp20_native,consensus,1,6
D5_full_complete,balanced_accuracy,alexmp20_native,mp_native,1,6
D5_full_complete,balanced_accuracy,alexmp20_native,uncertain,5,6
D5_full_complete,balanced_accuracy,audit_view,common_pool,2,6
D5_full_complete,balanced_accuracy,audit_view,consensus,0,6
D5_full_complete,balanced_accuracy,audit_view,mp_native,1,6
D5_full_complete,balanced_accuracy,audit_view,uncertain,7,6
D5_full_complete,balanced_accuracy,common_pool,consensus,1,6
D5_full_complete,balanced_accuracy,common_pool,mp_native,1,6
D5_full_complete,balanced_accuracy,common_pool,uncertain,7,6
D5_full_complete,balanced_accuracy,consensus,mp_native,0,6
D5_full_complete,balanced_accuracy,consensus,uncertain,6,6
D5_full_complete,balanced_accuracy,mp_native,uncertain,6,6
D5_full_complete,f1,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,f1,alex_pbe_native,audit_view,3,6
D5_full_complete,f1,alex_pbe_native,common_pool,3,6
D5_full_complete,f1,alex_pbe_native,consensus,2,6
D5_full_complete,f1,alex_pbe_native,mp_native,2,6
D5_full_complete,f1,alex_pbe_native,uncertain,4,6
D5_full_complete,f1,alexmp20_native,audit_view,2,6
D5_full_complete,f1,alexmp20_native,common_pool,2,6
D5_full_complete,f1,alexmp20_native,consensus,1,6
D5_full_complete,f1,alexmp20_native,mp_native,1,6
D5_full_complete,f1,alexmp20_native,uncertain,5,6
D5_full_complete,f1,audit_view,common_pool,2,6
D5_full_complete,f1,audit_view,consensus,0,6
D5_full_complete,f1,audit_view,mp_native,1,6
D5_full_complete,f1,audit_view,uncertain,7,6
D5_full_complete,f1,common_pool,consensus,1,6
D5_full_complete,f1,common_pool,mp_native,1,6
D5_full_complete,f1,common_pool,uncertain,7,6
D5_full_complete,f1,consensus,mp_native,0,6
D5_full_complete,f1,consensus,uncertain,6,6
D5_full_complete,f1,mp_native,uncertain,6,6
D5_full_complete,precision,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,precision,alex_pbe_native,audit_view,3,6
D5_full_complete,precision,alex_pbe_native,common_pool,3,6
D5_full_complete,precision,alex_pbe_native,consensus,2,6
D5_full_complete,precision,alex_pbe_native,mp_native,2,6
D5_full_complete,precision,alex_pbe_native,uncertain,4,6
D5_full_complete,precision,alexmp20_native,audit_view,2,6
D5_full_complete,precision,alexmp20_native,common_pool,2,6
D5_full_complete,precision,alexmp20_native,consensus,1,6
D5_full_complete,precision,alexmp20_native,mp_native,1,6
D5_full_complete,precision,alexmp20_native,uncertain,5,6
D5_full_complete,precision,audit_view,common_pool,2,6
D5_full_complete,precision,audit_view,consensus,0,6
D5_full_complete,precision,audit_view,mp_native,1,6
D5_full_complete,precision,audit_view,uncertain,7,6
D5_full_complete,precision,common_pool,consensus,1,6
D5_full_complete,precision,common_pool,mp_native,1,6
D5_full_complete,precision,common_pool,uncertain,7,6
D5_full_complete,precision,consensus,mp_native,0,6
D5_full_complete,precision,consensus,uncertain,6,6
D5_full_complete,precision,mp_native,uncertain,6,6
D5_full_complete,recall,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,recall,alex_pbe_native,audit_view,3,6
D5_full_complete,recall,alex_pbe_native,common_pool,3,6
D5_full_complete,recall,alex_pbe_native,consensus,2,6
D5_full_complete,recall,alex_pbe_native,mp_native,2,6
D5_full_complete,recall,alex_pbe_native,uncertain,4,6
D5_full_complete,recall,alexmp20_native,audit_view,2,6
D5_full_complete,recall,alexmp20_native,common_pool,2,6
D5_full_complete,recall,alexmp20_native,consensus,1,6
D5_full_complete,recall,alexmp20_native,mp_native,1,6
D5_full_complete,recall,alexmp20_native,uncertain,5,6
D5_full_complete,recall,audit_view,common_pool,2,6
D5_full_complete,recall,audit_view,consensus,0,6
D5_full_complete,recall,audit_view,mp_native,1,6
D5_full_complete,recall,audit_view,uncertain,7,6
D5_full_complete,recall,common_pool,consensus,1,6
D5_full_complete,recall,common_pool,mp_native,1,6
D5_full_complete,recall,common_pool,uncertain,7,6
D5_full_complete,recall,consensus,mp_native,0,6
D5_full_complete,recall,consensus,uncertain,6,6
D5_full_complete,recall,mp_native,uncertain,6,6
D5_full_complete,stable_yield@100,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,stable_yield@100,alex_pbe_native,audit_view,0,6
D5_full_complete,stable_yield@100,alex_pbe_native,common_pool,2,6
D5_full_complete,stable_yield@100,alex_pbe_native,consensus,1,6
D5_full_complete,stable_yield@100,alex_pbe_native,mp_native,1,6
D5_full_complete,stable_yield@100,alex_pbe_native,uncertain,6,6
D5_full_complete,stable_yield@100,alexmp20_native,audit_view,1,6
D5_full_complete,stable_yield@100,alexmp20_native,common_pool,2,6
D5_full_complete,stable_yield@100,alexmp20_native,consensus,0,6
D5_full_complete,stable_yield@100,alexmp20_native,mp_native,2,6
D5_full_complete,stable_yield@100,alexmp20_native,uncertain,6,6
D5_full_complete,stable_yield@100,audit_view,common_pool,2,6
D5_full_complete,stable_yield@100,audit_view,consensus,1,6
D5_full_complete,stable_yield@100,audit_view,mp_native,1,6
D5_full_complete,stable_yield@100,audit_view,uncertain,7,6
D5_full_complete,stable_yield@100,common_pool,consensus,2,6
D5_full_complete,stable_yield@100,common_pool,mp_native,0,6
D5_full_complete,stable_yield@100,common_pool,uncertain,4,6
D5_full_complete,stable_yield@100,consensus,mp_native,2,6
D5_full_complete,stable_yield@100,consensus,uncertain,6,6
D5_full_complete,stable_yield@100,mp_native,uncertain,4,6
D5_full_complete,stable_yield@1000,alex_pbe_native,alexmp20_native,0,6
D5_full_complete,stable_yield@1000,alex_pbe_native,audit_view,0,6
D5_full_complete,stable_yield@1000,alex_pbe_native,common_pool,4,6
D5_full_complete,stable_yield@1000,alex_pbe_native,consensus,3,6
D5_full_complete,stable_yield@1000,alex_pbe_native,mp_native,2,6
D5_full_complete,stable_yield@1000,alex_pbe_native,uncertain,7,6
D5_full_complete,stable_yield@1000,alexmp20_native,audit_view,0,6
D5_full_complete,stable_yield@1000,alexmp20_native,common_pool,4,6
D5_full_complete,stable_yield@1000,alexmp20_native,consensus,3,6
D5_full_complete,stable_yield@1000,alexmp20_native,mp_native,2,6
D5_full_complete,stable_yield@1000,alexmp20_native,uncertain,7,6
D5_full_complete,stable_yield@1000,audit_view,common_pool,4,6
D5_full_complete,stable_yield@1000,audit_view,consensus,3,6
D5_full_complete,stable_yield@1000,audit_view,mp_native,2,6
D5_full_complete,stable_yield@1000,audit_view,uncertain,8,6
D5_full_complete,stable_yield@1000,common_pool,consensus,1,6
D5_full_complete,stable_yield@1000,common_pool,mp_native,2,6
D5_full_complete,stable_yield@1000,common_pool,uncertain,5,6
D5_full_complete,stable_yield@1000,consensus,mp_native,3,6
D5_full_complete,stable_yield@1000,consensus,uncertain,4,6
D5_full_complete,stable_yield@1000,mp_native,uncertain,7,6
D5_full_complete,stable_yield@10000,alex_pbe_native,alexmp20_native,0,6
D5_full_complete,stable_yield@10000,alex_pbe_native,audit_view,1,6
D5_full_complete,stable_yield@10000,alex_pbe_native,common_pool,1,6
D5_full_complete,stable_yield@10000,alex_pbe_native,consensus,0,6
D5_full_complete,stable_yield@10000,alex_pbe_native,mp_native,0,6
D5_full_complete,stable_yield@10000,alex_pbe_native,uncertain,5,6
D5_full_complete,stable_yield@10000,alexmp20_native,audit_view,1,6
D5_full_complete,stable_yield@10000,alexmp20_native,common_pool,1,6
D5_full_complete,stable_yield@10000,alexmp20_native,consensus,0,6
D5_full_complete,stable_yield@10000,alexmp20_native,mp_native,0,6
D5_full_complete,stable_yield@10000,alexmp20_native,uncertain,5,6
D5_full_complete,stable_yield@10000,audit_view,common_pool,2,6
D5_full_complete,stable_yield@10000,audit_view,consensus,0,6
D5_full_complete,stable_yield@10000,audit_view,mp_native,1,6
D5_full_complete,stable_yield@10000,audit_view,uncertain,6,6
D5_full_complete,stable_yield@10000,common_pool,consensus,1,6
D5_full_complete,stable_yield@10000,common_pool,mp_native,1,6
D5_full_complete,stable_yield@10000,common_pool,uncertain,4,6
D5_full_complete,stable_yield@10000,consensus,mp_native,0,6
D5_full_complete,stable_yield@10000,consensus,uncertain,5,6
D5_full_complete,stable_yield@10000,mp_native,uncertain,5,6
D5_full_complete,stable_yield@300,alex_pbe_native,alexmp20_native,1,6
D5_full_complete,stable_yield@300,alex_pbe_native,audit_view,1,6
D5_full_complete,stable_yield@300,alex_pbe_native,common_pool,1,6
D5_full_complete,stable_yield@300,alex_pbe_native,consensus,1,6
D5_full_complete,stable_yield@300,alex_pbe_native,mp_native,3,6
D5_full_complete,stable_yield@300,alex_pbe_native,uncertain,6,6
D5_full_complete,stable_yield@300,alexmp20_native,audit_view,0,6
D5_full_complete,stable_yield@300,alexmp20_native,common_pool,0,6
D5_full_complete,stable_yield@300,alexmp20_native,consensus,0,6
D5_full_complete,stable_yield@300,alexmp20_native,mp_native,2,6
D5_full_complete,stable_yield@300,alexmp20_native,uncertain,7,6
D5_full_complete,stable_yield@300,audit_view,common_pool,0,6
D5_full_complete,stable_yield@300,audit_view,consensus,0,6
D5_full_complete,stable_yield@300,audit_view,mp_native,2,6
D5_full_complete,stable_yield@300,audit_view,uncertain,8,6
D5_full_complete,stable_yield@300,common_pool,consensus,0,6
D5_full_complete,stable_yield@300,common_pool,mp_native,2,6
D5_full_complete,stable_yield@300,common_pool,uncertain,7,6
D5_full_complete,stable_yield@300,consensus,mp_native,2,6
D5_full_complete,stable_yield@300,consensus,uncertain,7,6
D5_full_complete,stable_yield@300,mp_native,uncertain,5,6
D5_full_complete,stable_yield@500,alex_pbe_native,alexmp20_native,0,6
D5_full_complete,stable_yield@500,alex_pbe_native,audit_view,0,6
