support,indeterminate_width_meV_per_atom,endpoint_a,endpoint_b,any_indeterminate_fraction_ci_low_95,any_indeterminate_fraction_median,any_indeterminate_fraction_ci_high_95,robust_conflict_rate_full_support_ci_low_95,robust_conflict_rate_full_support_median,robust_conflict_rate_full_support_ci_high_95,robust_conflict_rate_decisive_support_ci_low_95,robust_conflict_rate_decisive_support_median,robust_conflict_rate_decisive_support_ci_high_95
D2_native_full,30,mp_source_coordinate,alex_pbe_source_coordinate,0.3999976890242245,0.4078387283129736,0.4152646421864032,0.024345780178499466,0.025927048432360343,0.027501873426055905,0.040972013487180735,0.04383100301801608,0.04661396555435368
D2_native_full,30,mp_source_coordinate,alexmp20_source_coordinate,0.3588673995424918,0.3663595907723441,0.37358699486799735,0.0227571687902722,0.024428609158099468,0.026161893258607145,0.03590735289536803,0.03853804476867071,0.04133650810438493
D2_native_full,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.5109305198739775,0.5181804291852959,0.5251843953154675,0.00706452184723332,0.008023133752931814,0.009086697328724393,0.014696530885256888,0.016623929101549265,0.01886059048561822
D2_native_full,50,mp_source_coordinate,alex_pbe_source_coordinate,0.5165455629957242,0.5237817958094357,0.5307860588056675,0.01282268507623449,0.013941164370279127,0.015149153448533336,0.026940719564971113,0.029318176229944308,0.031805404514581914
D2_native_full,50,mp_source_coordinate,alexmp20_source_coordinate,0.47054897719784433,0.4781564177383326,0.4851471554748895,0.013066037386580166,0.01421705863438089,0.015465079810005968,0.024935690425717104,0.027281243962932734,0.029702210053709058
D2_reconstructable,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.19912982778499683,0.2043966822186336,0.20949319104610506,0.03375204877463675,0.035880052754251435,0.0379352198964504,0.04241534061626303,0.04508437112021582,0.04772553820178456
D2_reconstructable,10,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.15208135157871674,0.15674880383403067,0.16204903206645094,0.07194565123827514,0.07526370546947367,0.07866778017808947,0.08546930684111625,0.08933516322583603,0.09329424815757974
D2_reconstructable,10,mp_source_coordinate,alex_pbe_source_coordinate,0.20340804825963557,0.2090769056160489,0.21429245160848784,0.06464154455263418,0.06764678231618364,0.07058395394339648,0.0817727723536898,0.08555040974475922,0.0891698944743242
D2_reconstructable,10,mp_source_coordinate,alexmp20_source_coordinate,0.1733725409999782,0.17862253625458435,0.18380814653961455,0.05434339239743168,0.05711816967855391,0.059667624653462537,0.06598847501777409,0.06954020832164123,0.07274687697482146
D2_reconstructable,20,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.312947412823318,0.3201174508179264,0.32667356780025103,0.020157523255936314,0.021689099367141976,0.023322974230669154,0.029599027303561527,0.031857850116861076,0.03435215800390934
D2_reconstructable,20,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.2428996915520791,0.2492914386084608,0.2555785153815423,0.0491597537657554,0.05170058118765618,0.054420909608246644,0.06539078795177322,0.06884827156499564,0.07248763793789331
D2_reconstructable,20,mp_source_coordinate,alex_pbe_source_coordinate,0.31945224086875273,0.32614467809793435,0.33282040675933394,0.03736850772901624,0.03960908694084536,0.041911881197336416,0.05538078456922017,0.058781660530998134,0.0622843487516668
D2_reconstructable,20,mp_source_coordinate,alexmp20_source_coordinate,0.28246452039437564,0.2894483740444065,0.295946076651449,0.03285329585499568,0.03478555588003704,0.03680535010694322,0.046110247561825954,0.04899235538003098,0.05182548298582162
D2_reconstructable,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.35502585308754564,0.36231072585536656,0.36954959317077496,0.016396885381708845,0.01782480259973561,0.01929086369245907,0.02569870834399946,0.027924109551524315,0.030283621454969833
D2_reconstructable,25,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,0.27738573601792005,0.28422146546107874,0.2911715456061866,0.04249163689722835,0.04476701484383494,0.04717391567205856,0.05928572776113243,0.06248932579708046,0.06585732086682243
