matching_tolerance,direction,chemical_system,row_n,rank_within_direction,total_changed_rows
tight,lost_vs_default,Cs-H-Li-O,1,571,925
tight,lost_vs_default,Cs-H-O-V,1,572,925
tight,lost_vs_default,Cr-Li-O-P,1,573,925
tight,lost_vs_default,Cl-O-Re,1,574,925
tight,lost_vs_default,Cl-S-W,1,575,925
tight,lost_vs_default,Cl-Sc,1,576,925
tight,lost_vs_default,Cl-Yb,1,577,925
tight,lost_vs_default,Co-Cs-Cu-F,1,578,925
tight,lost_vs_default,Co-Dy-Si,1,579,925
tight,lost_vs_default,Co-Er-Ga,1,580,925
tight,lost_vs_default,Co-F,1,581,925
tight,lost_vs_default,Co-F-K,1,582,925
tight,lost_vs_default,Co-F-K-Tl,1,583,925
tight,lost_vs_default,Cr-F-Li-O-P-V,1,584,925
tight,lost_vs_default,Co-Ga-Nd,1,585,925
tight,lost_vs_default,Co-Ga-Y,1,586,925
tight,lost_vs_default,Co-Lu-Si,1,587,925
tight,lost_vs_default,Co-Ni-Se,1,588,925
tight,lost_vs_default,Co-Sc-Si,1,589,925
tight,lost_vs_default,Co-Se,1,590,925
tight,lost_vs_default,Cr-Cu-Hf-S,1,591,925
tight,lost_vs_default,Cr-Cu-S-Zr,1,592,925
tight,lost_vs_default,Cr-F-K-Tl,1,593,925
tight,lost_vs_default,Cr-F-Li-O-P,1,594,925
tight,lost_vs_default,Co-F-Na,1,595,925
tight,lost_vs_default,Cu-Li-O-Ta,1,596,925
tight,lost_vs_default,Cu-Mg-O,1,597,925
tight,lost_vs_default,Cu-Mn-Pd,1,598,925
tight,lost_vs_default,Cu-Mo-Se,1,599,925
tight,lost_vs_default,Cu-Na-Te,1,600,925
tight,lost_vs_default,Ag-Au-S,1,601,925
tight,lost_vs_default,Cu-O-P,1,602,925
tight,lost_vs_default,Cu-O-Pb-S,1,603,925
tight,lost_vs_default,Cu-O-Re,1,604,925
tight,lost_vs_default,Cs-I-In,1,605,925
tight,lost_vs_default,Cu-Pd-Yb,1,606,925
tight,lost_vs_default,Cu-S,1,607,925
tight,lost_vs_default,Cu-Se,1,608,925
tight,lost_vs_default,Dy-S-Sm,1,609,925
tight,lost_vs_default,Er-Ga-Rh,1,610,925
tight,lost_vs_default,Er-La-Se,1,611,925
tight,lost_vs_default,Er-Mg,1,612,925
tight,lost_vs_default,Er-Mn,1,613,925
tight,lost_vs_default,Er-Nb-O,1,614,925
tight,lost_vs_default,Er-Pb-Rh,1,615,925
tight,lost_vs_default,Cu-O-V,1,616,925
tight,lost_vs_default,Cs-K,1,617,925
tight,lost_vs_default,Cs-O,1,618,925
tight,lost_vs_default,Cs-O-S-Sc,1,619,925
tight,lost_vs_default,Cs-O-Se,1,620,925
tight,lost_vs_default,Cs-O-Te,1,621,925
tight,lost_vs_default,Cs-O-V,1,622,925
tight,lost_vs_default,Cs-S-Sn,1,623,925
tight,lost_vs_default,Cs-Se,1,624,925
tight,lost_vs_default,Cs-Se-Sn,1,625,925
tight,lost_vs_default,Cu-F-Ti,1,626,925
tight,lost_vs_default,Cu-Li-Ni-O,1,627,925
tight,lost_vs_default,Cu-Fe-Li-O,1,628,925
tight,lost_vs_default,Cu-Ge-Mg-O,1,629,925
tight,lost_vs_default,Cu-H-Li-O-Rb-S,1,630,925
tight,lost_vs_default,Cu-H-O-S,1,631,925
tight,lost_vs_default,Cu-Ho-Li-O-Si,1,632,925
tight,lost_vs_default,Cu-Ir-Mg-O,1,633,925
tight,lost_vs_default,Cu-Ir-O-Zn,1,634,925
tight,lost_vs_default,Cu-Li-Mn-O,1,635,925
tight,lost_vs_default,Cu-Li-Mn-O-V,1,636,925
tight,lost_vs_default,Cu-Li-Nb-O,1,637,925
tight,lost_vs_default,Cu-F-Zn,1,638,925
tight,lost_vs_default,C-Na-O,1,639,925
tight,lost_vs_default,C-O,1,640,925
tight,lost_vs_default,C-O-V,1,641,925
tight,lost_vs_default,Ca-Cd-Pd,1,642,925
tight,lost_vs_default,Ca-Ce-Rh,1,643,925
tight,lost_vs_default,Ca-Cr-F,1,644,925
tight,lost_vs_default,Ca-F-Mn,1,645,925
tight,lost_vs_default,Ca-F-Ni,1,646,925
tight,lost_vs_default,Ca-F-V,1,647,925
tight,lost_vs_default,Cl-Mg,1,648,925
tight,lost_vs_default,Ca-Ge,1,649,925
tight,lost_vs_default,Ca-Ge-O-Sn,1,650,925
tight,lost_vs_default,Ca-La-Mn-O,1,651,925
tight,lost_vs_default,Ca-La-O-Sn,1,652,925
tight,lost_vs_default,Ca-Li,1,653,925
tight,lost_vs_default,Ca-Mg-O-Si,1,654,925
tight,lost_vs_default,Ca-Mn-O,1,655,925
tight,lost_vs_default,Ca-Mo-N,1,656,925
tight,lost_vs_default,Ca-N-W,1,657,925
tight,lost_vs_default,Ca-Ni-O-V,1,658,925
tight,lost_vs_default,Ca-Fe-O-W,1,659,925
tight,lost_vs_default,Br-K-Nd,1,660,925
tight,lost_vs_default,Br-K-Sc,1,661,925
tight,lost_vs_default,Br-K-Sc-Tl,1,662,925
tight,lost_vs_default,Br-Lu-S,1,663,925
tight,lost_vs_default,Br-Nb,1,664,925
tight,lost_vs_default,Br-O-Pr,1,665,925
tight,lost_vs_default,Br-Pd-Se,1,666,925
tight,lost_vs_default,Br-Pr,1,667,925
tight,lost_vs_default,Br-S-Sn,1,668,925
tight,lost_vs_default,Br-Sb,1,669,925
tight,lost_vs_default,C-Li-O,1,670,925
tight,lost_vs_default,Br-Te-Zr,1,671,925
tight,lost_vs_default,Br-Tl-Yb,1,672,925
tight,lost_vs_default,Br-Zr,1,673,925
tight,lost_vs_default,C-Ca,1,674,925
tight,lost_vs_default,C-H-N-Yb,1,675,925
tight,lost_vs_default,C-H-O,1,676,925
tight,lost_vs_default,C-I-O-Os,1,677,925
tight,lost_vs_default,C-K-N-S,1,678,925
tight,lost_vs_default,C-Li-Mn-O,1,679,925
tight,lost_vs_default,C-Li-Ni-O,1,680,925
tight,lost_vs_default,Br-Te,1,681,925
tight,lost_vs_default,Cl-Cs-O,1,682,925
tight,lost_vs_default,Cl-Eu-K,1,683,925
tight,lost_vs_default,Cl-F-Os,1,684,925
tight,lost_vs_default,Cl-Fe-Se,1,685,925
tight,lost_vs_default,Cl-Ga-In-K,1,686,925
tight,lost_vs_default,Cl-Gd-K,1,687,925
tight,lost_vs_default,Cl-H-Mg-O,1,688,925
tight,lost_vs_default,Cl-H-O,1,689,925
tight,lost_vs_default,Cl-H-O-Tb,1,690,925
tight,lost_vs_default,Cl-Hg,1,691,925
tight,lost_vs_default,Ca-O-Pb-Ti,1,692,925
tight,lost_vs_default,Cl-Hg-Na,1,693,925
tight,lost_vs_default,Cl-Hg-O,1,694,925
tight,lost_vs_default,Cl-Hg-Rb-Sb,1,695,925
tight,lost_vs_default,Cl-Hg-S,1,696,925
tight,lost_vs_default,Cl-In-Rb-Sb,1,697,925
tight,lost_vs_default,Cl-K-Nd,1,698,925
tight,lost_vs_default,Cl-K-Rb-Sc,1,699,925
tight,lost_vs_default,Cl-K-Sc-Tl,1,700,925
tight,lost_vs_default,Cl-K-Sm,1,701,925
tight,lost_vs_default,Cl-K-Sr,1,702,925
tight,lost_vs_default,Cl-Hg-K-Tl,1,703,925
tight,lost_vs_default,Ca-Pd-Sb,1,704,925
tight,lost_vs_default,Ca-Sr,1,705,925
tight,lost_vs_default,Cd-Cl-S,1,706,925
tight,lost_vs_default,Cd-Cu-S-Sn,1,707,925
tight,lost_vs_default,Cd-F-Ti,1,708,925
tight,lost_vs_default,Cd-H-O,1,709,925
tight,lost_vs_default,Cd-Hf,1,710,925
tight,lost_vs_default,Cd-Hg-O,1,711,925
tight,lost_vs_default,Cd-Mg-Zn,1,712,925
tight,lost_vs_default,Cd-Na,1,713,925
tight,lost_vs_default,Cl-Cs-La,1,714,925
tight,lost_vs_default,Cd-Sb-Yb,1,715,925
tight,lost_vs_default,Cd-Sm,1,716,925
tight,lost_vs_default,Ce,1,717,925
tight,lost_vs_default,Ce-Cl-Cs,1,718,925
tight,lost_vs_default,Ce-Cu,1,719,925
tight,lost_vs_default,Ce-F-La,1,720,925
tight,lost_vs_default,Cl,1,721,925
tight,lost_vs_default,Cl-Co,1,722,925
tight,lost_vs_default,Cl-Cr-H-I-N,1,723,925
tight,lost_vs_default,Cl-Cs-Hg,1,724,925
tight,lost_vs_default,Cd-Nd-Si,1,725,925
