matching_tolerance,direction,chemical_system,row_n,rank_within_direction,total_changed_rows
tight,lost_vs_default,F-Nb-V,1,198,925
tight,lost_vs_default,F-Ni-Rb,1,199,925
tight,lost_vs_default,F-O-P-V,1,200,925
tight,lost_vs_default,F-O-Sc,1,201,925
tight,lost_vs_default,F-Sb-Zn,1,202,925
tight,lost_vs_default,F-O-Te,1,203,925
tight,lost_vs_default,F-O-W,1,204,925
tight,lost_vs_default,F-Pb-Sb,1,205,925
tight,lost_vs_default,F-Rb-Sb,1,206,925
tight,lost_vs_default,F-Rb-Sb-Tl,1,207,925
tight,lost_vs_default,F-Rb-Sc,1,208,925
tight,lost_vs_default,F-Rb-Sm,1,209,925
tight,lost_vs_default,F-Rb-Sn,1,210,925
tight,lost_vs_default,F-Sb,1,211,925
tight,lost_vs_default,F-O-Sc-Se,1,212,925
tight,lost_vs_default,Na,1,213,925
tight,lost_vs_default,Na-O-V,1,214,925
tight,lost_vs_default,Na-Se-Zn,1,215,925
tight,lost_vs_default,Na-Si,1,216,925
tight,lost_vs_default,Na-Sn,1,217,925
tight,lost_vs_default,Nb-Nd-O,1,218,925
tight,lost_vs_default,Nb-O-Pr,1,219,925
tight,lost_vs_default,Nb-O-Sm,1,220,925
tight,lost_vs_default,Nb-O-Tb,1,221,925
tight,lost_vs_default,I-In-Rb-Sb,1,222,925
tight,lost_vs_default,Nb-O-Y,1,223,925
tight,lost_vs_default,Nd-Pt-Si,1,224,925
tight,lost_vs_default,Nd-Tl,1,225,925
tight,lost_vs_default,Ni-O-Os-Sr,1,226,925
tight,lost_vs_default,O-Pb,1,227,925
tight,lost_vs_default,O-Pb-Ti-Zr,1,228,925
tight,lost_vs_default,O-Pb-V,1,229,925
tight,lost_vs_default,O-Pd-Se,1,230,925
tight,lost_vs_default,O-Pr-Re,1,231,925
tight,lost_vs_default,O-Rb-Ti,1,232,925
tight,lost_vs_default,Nb-O-Tm,1,233,925
tight,lost_vs_default,Mg-Si-Sn,1,234,925
tight,lost_vs_default,Mg-Tb,1,235,925
tight,lost_vs_default,Mg-Tm,1,236,925
tight,lost_vs_default,Mn-Ni-Rh-Sn,1,237,925
tight,lost_vs_default,Mn-Ni-Sb,1,238,925
tight,lost_vs_default,Mn-Ni-Se,1,239,925
tight,lost_vs_default,Mn-O-Sc,1,240,925
tight,lost_vs_default,Mn-O-Sr,1,241,925
tight,lost_vs_default,Mn-O-Ti,1,242,925
tight,lost_vs_default,N-W,1,243,925
tight,lost_vs_default,Mn-Sb-Te,1,244,925
tight,lost_vs_default,Mn-Zn,1,245,925
tight,lost_vs_default,Mo-N-Zn,1,246,925
tight,lost_vs_default,Mo-O,1,247,925
tight,lost_vs_default,Mo-O-Tl,1,248,925
tight,lost_vs_default,Mo-O-V,1,249,925
tight,lost_vs_default,Mo-S-Te,1,250,925
tight,lost_vs_default,Mo-Te-W,1,251,925
tight,lost_vs_default,N-Na,1,252,925
tight,lost_vs_default,N-Pd,1,253,925
tight,lost_vs_default,Mn-O-Ti-V,1,254,925
tight,lost_vs_default,Pr-Pt-Sb,1,255,925
tight,lost_vs_default,Pr-Rh-Si,1,256,925
tight,lost_vs_default,Pr-Tl,1,257,925
tight,lost_vs_default,Rb,1,258,925
tight,lost_vs_default,Ag-As-F-K,1,259,925
tight,lost_vs_default,Ag-Al-La,1,260,925
tight,lost_vs_default,Rh-Sn-Zr,1,261,925
tight,lost_vs_default,S-Si,1,262,925
tight,lost_vs_default,S-Sm-Tb,1,263,925
tight,lost_vs_default,O-Rh-Sr,1,264,925
tight,lost_vs_default,S-Te-W,1,265,925
tight,lost_vs_default,S-V,1,266,925
tight,lost_vs_default,Sb-Se,1,267,925
tight,lost_vs_default,Se,1,268,925
tight,lost_vs_default,Se-V,1,269,925
tight,lost_vs_default,Si-Yb,1,270,925
tight,lost_vs_default,Sm-Tl,1,271,925
tight,lost_vs_default,Sn,1,272,925
tight,lost_vs_default,Sn-Tl,1,273,925
tight,lost_vs_default,Te-Ti-V,1,274,925
tight,lost_vs_default,S-Ta,1,275,925
tight,lost_vs_default,O-S-Tl-V,1,276,925
tight,lost_vs_default,O-S-Zn,1,277,925
tight,lost_vs_default,O-Sb,1,278,925
tight,lost_vs_default,O-Sn,1,279,925
tight,lost_vs_default,O-Sr-Ti,1,280,925
tight,lost_vs_default,O-Ta,1,281,925
tight,lost_vs_default,O-Ta-Zn,1,282,925
tight,lost_vs_default,O-Te,1,283,925
tight,lost_vs_default,O-V-Zn,1,284,925
tight,lost_vs_default,Pd-Zn,1,285,925
tight,lost_vs_default,Ag-Ba,1,286,925
