matching_tolerance,support_n,model_name,coordinate_endpoint,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
loose,36650,ALIGNN-FF,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.400606203079,999,601,1,0,1,601.0,0.601,601,601,0.601,0.601,601,601,0.601,0.601,0.95,12
loose,36650,ALIGNN-FF,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.400606203079,999,541,1,0,1,541.0,0.541,541,541,0.541,0.541,541,541,0.541,0.541,0.95,12
loose,36650,ALIGNN-FF,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.400606203079,999,916,1,1,1,917.0,0.917,917,917,0.917,0.917,917,917,0.917,0.917,0.95,12
loose,36650,ALIGNN-FF,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.400606203079,999,960,1,1,1,961.0,0.961,961,961,0.961,0.961,961,961,0.961,0.961,0.95,12
loose,36650,CHGNet,mp_source_coordinate,15001,0.4093042291950887,1000,0.340055902799,999,706,1,1,1,707.0,0.707,707,707,0.707,0.707,707,707,0.707,0.707,0.95,12
loose,36650,CHGNet,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.340055902799,999,627,1,1,1,628.0,0.628,628,628,0.628,0.628,628,628,0.628,0.628,0.95,12
loose,36650,CHGNet,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.340055902799,999,561,1,1,1,562.0,0.562,562,562,0.562,0.562,562,562,0.562,0.562,0.95,12
loose,36650,CHGNet,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.340055902799,999,951,1,1,1,952.0,0.952,952,952,0.952,0.952,952,952,0.952,0.952,0.95,12
loose,36650,CHGNet,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.340055902799,999,983,1,1,1,984.0,0.984,984,984,0.984,0.984,984,984,0.984,0.984,0.95,12
loose,36650,M3GNet,mp_source_coordinate,15001,0.4093042291950887,1000,0.324778318405,999,735,1,1,1,736.0,0.736,736,736,0.736,0.736,736,736,0.736,0.736,0.95,12
loose,36650,M3GNet,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.324778318405,999,657,1,1,1,658.0,0.658,658,658,0.658,0.658,658,658,0.658,0.658,0.95,12
loose,36650,M3GNet,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.324778318405,999,588,1,1,1,589.0,0.589,589,589,0.589,0.589,589,589,0.589,0.589,0.95,12
loose,36650,M3GNet,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.324778318405,999,957,1,1,1,958.0,0.958,958,958,0.958,0.958,958,958,0.958,0.958,0.95,12
loose,36650,M3GNet,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.324778318405,999,985,1,1,1,986.0,0.986,986,986,0.986,0.986,986,986,0.986,0.986,0.95,12
loose,36650,MACE-MP,mp_source_coordinate,15001,0.4093042291950887,1000,0.299654878889,999,735,1,0,1,735.0,0.735,735,735,0.735,0.735,735,735,0.735,0.735,0.95,12
loose,36650,MACE-MP,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.299654878889,999,647,1,0,1,647.0,0.647,647,647,0.647,0.647,647,647,0.647,0.647,0.95,12
loose,36650,MACE-MP,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.299654878889,999,581,1,0,1,581.0,0.581,581,581,0.581,0.581,581,581,0.581,0.581,0.95,12
loose,36650,MACE-MP,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.299654878889,999,952,1,1,1,953.0,0.953,953,953,0.953,0.953,953,953,0.953,0.953,0.95,12
loose,36650,MACE-MP,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.299654878889,999,980,1,1,1,981.0,0.981,981,981,0.981,0.981,981,981,0.981,0.981,0.95,12
