formula,mid_i,mid_j,e_form_i,e_form_j,mp_ehull_i,mp_ehull_j,alex_ehull_i,alex_ehull_j,delta_e_form,delta_mp_ehull,delta_alex_ehull,mp_agreement,alex_agreement
Ba(AlGe)2,mp-31059,mp-570482,-0.390856129,-0.396577814,0.005721685,0.0,0.0,0.0370172745000001,0.005721684999999976,0.005721685,-0.0370172745000001,-2.3418766925686896e-17,0.042738959500000076
Ba2LaTaO6,mp-13055,mp-557713,-3.506661578233334,-3.506657073733334,0.0,4.504500001445422e-06,0.0004028125000008,0.0,-4.504500000113154e-06,-4.504500001445422e-06,0.0004028125000008,1.3322676295501878e-15,-0.00040731700000091315
BaF3,mp-1080821,mp-1523886,-3.19318655375,-3.078845863749999,0.0,0.0007897275,0.0074529574999999,0.0,-0.11434069000000102,-0.0007897275,0.0074529574999999,-0.11355096250000102,-0.12179364750000092
BaMnO3,mp-1205336,mp-18840,-2.482318499586207,-2.489944874252874,0.007626374666666,0.0,0.0,0.014897840333333,0.007626374666667157,0.007626374666666,-0.014897840333333,1.1570605584765303e-15,0.02252421500000016
BaNiO3,mp-19138,mp-19241,-1.8200224730000008,-1.819941576,0.0,8.089700000013522e-05,3.674000000231104e-06,0.0,-8.089700000080136e-05,-8.089700000013522e-05,3.674000000231104e-06,-6.661338147750939e-16,-8.457100000103246e-05
BaPd,mp-1008505,mp-1064367,-0.5436276374999991,-0.549201019999999,0.005573382499999,0.0,0.0,0.0043277225000011,0.005573382499999946,0.005573382499999,-0.0043277225000011,9.462916561453483e-16,0.009901105000001046
BaRuO3,mp-3597,mp-5773,-2.1901550725,-2.188219010333334,0.0,0.001936062166667,0.0066173323333282,0.0,-0.001936062166666197,-0.001936062166667,0.0066173323333282,8.029601289427646e-16,-0.008553394499994397
BaTiO3,mp-5020,mp-5777,-3.492236987666666,-3.492277977666666,4.098999996848818e-05,0.0,0.0,0.0004476780000004,4.099000000001851e-05,4.098999996848818e-05,-0.0004476780000004,3.1530333899354446e-14,0.0004886680000004185
BaZrO3,mp-1019544,mp-3834,-3.639240691,-3.639168969000001,0.0,7.172199999949669e-05,0.0001757229999999,0.0,-7.17219999990526e-05,-7.172199999949669e-05,0.0001757229999999,4.440892098500626e-16,-0.0002474449999989526
BiOF,mp-2767589,mp-753594,-2.230428690833333,-2.215164298333333,0.0,0.0152643925,0.003674960833333,0.0,-0.015264392500000223,-0.0152643925,0.003674960833333,-2.237793284010081e-16,-0.018939353333333225
BrCl,mp-1008492,mp-1066781,-0.3588863175,-0.359564575,0.0006782575,0.0,0.0,0.0009789425000001,0.0006782575000000013,0.0006782575,-0.0009789425000001,1.3010426069826053e-18,0.0016572000000001012
Ca2CoN2,mp-1029532,mp-1400520,-0.8337875895000011,-0.7795358645,0.0,0.054251725,0.0087131919999992,0.0,-0.05425172500000108,-0.054251725,0.0087131919999992,-1.0824674490095276e-15,-0.06296491700000029
Ca2Ge,mp-1009755,mp-304,-0.7149471366666661,-0.7131978508333331,0.0,0.001749285833334,0.0158432116666666,0.0,-0.001749285833333003,-0.001749285833334,0.0158432116666666,9.970323178176699e-16,-0.017592497499999603
Ca2Si,mp-1009733,mp-2517,-0.534257671666667,-0.5331682466666681,0.0,0.001089424999999,0.0134636925000002,0.0,-0.001089424999998978,-0.001089424999999,0.0134636925000002,2.190088388420719e-17,-0.014553117499999178
Ca2TlIn,mp-1183531,mp-1227698,-0.5482594699999971,-0.533947884999996,0.0,0.014311585000001,0.0140054499999999,0.0,-0.01431158500000107,-0.014311585000001,0.0140054499999999,-6.938893903907228e-17,-0.02831703500000097
Ca3GeO,mp-17193,mp-9721,-1.7076779870000012,-1.70465207,0.0,0.003025917,8.230499999939411e-05,0.0,-0.0030259170000010993,-0.003025917,8.230499999939411e-05,-1.0993810029003015e-15,-0.0031082220000004934
CaAlSi,mp-567191,mp-570150,-0.445902588333333,-0.445396452777777,0.0,0.000506135555556,0.0028000532222218,0.0,-0.0005061355555560088,-0.000506135555556,0.0028000532222218,-8.782037597132586e-18,-0.0033061887777778086
CaCl2,mp-22904,mp-571642,-2.645431978333333,-2.647301069166667,0.001869090833332,0.0,0.0,0.0010945400000004,0.0018690908333343081,0.001869090833332,-0.0010945400000004,2.308049584787142e-15,0.002963630833334708
CaIn,mp-20263,mp-21187,-0.5627682299999991,-0.5830892187499981,0.020320988749999,0.0,0.0,0.0127157962500001,0.02032098874999899,0.020320988749999,-0.0127157962500001,-6.938893903907228e-18,0.03303678499999909
CaMg2,mp-1183430,mp-2432,-0.117498366666666,-0.116317428333333,0.0,0.001180938333333,0.0022939433333333,0.0,-0.0011809383333329926,-0.001180938333333,0.0022939433333333,7.37257477290143e-18,-0.0034748816666662925
CaMgAsO4F,mp-558016,mp-7035,-2.8850425253125,-2.885291694687499,0.000249169374999,0.0,0.0,0.0123895075000026,0.00024916937499908087,0.000249169374999,-0.0123895075000026,8.088148206741863e-17,0.01263867687500168
CaSnF6,mp-4782,mp-8224,-3.402839576875,-3.401542958125,0.0,0.001296618749999,0.0014265875000001,0.0,-0.0012966187500000892,-0.001296618749999,0.0014265875000001,-1.0891895024789378e-15,-0.002723206250000189
CaSnO3,mp-4190,mp-4438,-2.679684276000007,-2.694555046500007,0.0148707705,0.0,0.0,0.0140191064999992,0.014870770500000408,0.0148707705,-0.0140191064999992,4.0766001685454967e-16,0.028889876999999606
Cd,mp-1096861,mp-94,0.037120430000001,0.0,0.037120430000001,0.0,0.0,0.01360791,0.037120430000001,0.037120430000001,-0.01360791,0.0,0.050728340000001
CdAg3,mp-1183627,mp-1183647,-0.038884366249998,-0.046257173749996,0.007372807499997,0.0,0.0,0.0026433974999999,0.007372807499998003,0.007372807499997,-0.0026433974999999,1.003537530852583e-15,0.010016204999997903
CdAu,mp-1404,mp-16886,-0.203186414999997,-0.211002030555549,0.007815615555557,0.0,0.0,0.0128523880555553,0.007815615555551991,0.007815615555557,-0.0128523880555553,-5.008146675145042e-15,0.02066800361110729
CdAu3,mp-1264,mp-865144,-0.142866265000002,-0.153912301249995,0.011046036249993,0.0,0.0,0.0048318862500003,0.011046036249993008,0.011046036249993,-0.0048318862500003,6.938893903907228e-18,0.015877922499993306
CdBr2,mp-27934,mp-568722,-1.226167165,-1.226469973333333,0.000302808333332,0.0,0.0,0.0009849466666667,0.00030280833333318213,0.000302808333332,-0.0009849466666667,1.1821598387695698e-15,0.001287754999999882
CdSe,mp-1070,mp-2691,-0.837606193671875,-0.8370525111718741,0.0,0.000553682500001,0.0011513899999995,0.0,-0.0005536825000009848,-0.000553682500001,0.0011513899999995,1.5178830414797062e-17,-0.0017050725000004848
Ce,mp-28,mp-567332,0.0,0.003860715000001,0.0,0.003860715000001,0.0015399099999999,0.0,-0.003860715000001,-0.003860715000001,0.0015399099999999,0.0,-0.0054006250000008995
CeAsS,mp-1095675,mp-5908,-1.8266350009374968,-1.801925272604165,0.0,0.024709728333331,0.0113625258333343,0.0,-0.024709728333331737,-0.024709728333331,0.0113625258333343,-7.389922007661198e-16,-0.03607225416666604
CeAu,mp-1018087,mp-1025468,-0.6405005124999991,-0.655926381249999,0.01542586875,0.0,0.0,0.0009833337499998,0.01542586874999996,0.01542586875,-0.0009833337499998,-3.9898639947466563e-17,0.01640920249999976
CeOF,mp-755007,mp-755074,-4.082741916666667,-4.084567068333334,0.001825151666668,0.0,0.0,0.0022164316666675,0.0018251516666669687,0.001825151666668,-0.0022164316666675,-1.0312931064682118e-15,0.004041583333334469
CeZnPd,mp-13381,mp-13382,-0.6525053522222201,-0.638481753333331,0.0,0.014023598888889,0.0029180149999996,0.0,-0.014023598888889044,-0.014023598888889,0.0029180149999996,-4.336808689942018e-17,-0.016941613888888644
Co,mp-102,mp-54,0.0,0.025098924999999,0.0,0.025098924999999,0.0161139949999995,0.0,-0.025098924999999,-0.025098924999999,0.0161139949999995,0.0,-0.0412129199999985
Cs2HgI4,mp-28421,mp-567594,-1.261049519544335,-1.260320411687192,0.0,0.000729107857141,0.0006497878571427,0.0,-0.0007291078571429743,-0.000729107857141,0.0006497878571427,-1.9743321560961036e-15,-0.0013788957142856742
Cs2In3,mp-2049132,mp-567752,-0.298604841000002,-0.296690023000002,0.0,0.001914818000003,0.0137902749999998,0.0,-0.0019148179999999848,-0.001914818000003,0.0137902749999998,3.015166241682188e-15,-0.015705092999999785
Cs2PbO3,mp-21283,mp-21521,-1.536935591551725,-1.536663919885058,0.0,0.000271671666666,0.0004277641666652,0.0,-0.00027167166666708376,-0.000271671666666,0.0004277641666652,-1.0837684916165102e-15,-0.0006994358333322838
Cs2PtF6,mp-8191,mp-9262,-2.358812694444446,-2.35794224,0.0,0.00087045444444,0.011632158888891,0.0,-0.0008704544444460005,-0.00087045444444,0.011632158888891,-6.000516923621024e-15,-0.012502613333337001
CsBr,mp-22906,mp-571222,-2.051713427327584,-2.046601577327585,0.0,0.005111849999998,0.0403642300000002,0.0,-0.005111849999998697,-0.005111849999998,0.0403642300000002,-6.96491475604688e-16,-0.0454760799999989
CsCaCl3,mp-1097916,mp-1206863,-2.534308367499997,-2.5344200994999992,0.000111732,0.0,0.0,0.0003285049999961,0.0001117320000023625,0.000111732,-0.0003285049999961,2.3625036389002263e-15,0.0004402369999984625
CsCl,mp-22865,mp-573697,-2.171597246249998,-2.164455996249998,0.0,0.00714125,0.0477388950000001,0.0,-0.007141250000000099,-0.00714125,0.0477388950000001,-9.8879238130678e-17,-0.0548801450000002
CsPbBr3,mp-567629,mp-567681,-1.629785204431034,-1.634369591431033,0.004584386999999,0.0,0.0,0.0011619739999968,0.004584386999999079,0.004584386999999,-0.0011619739999968,7.979727989493313e-17,0.005746360999995879
CsSnBr3,mp-1247749,mp-27214,-1.572084271431037,-1.560889131931036,0.0,0.0111951395,0.0070906270000001,0.0,-0.01119513950000095,-0.0111951395,0.0070906270000001,-9.506284648352903e-16,-0.01828576650000105
Cu(IO3)2,mp-27234,mp-556582,-0.8261393838888881,-0.829651572777775,0.003512188888887,0.0,0.0,0.0010647127777776,0.0035121888888869357,0.003512188888887,-0.0010647127777776,-6.418476861114186e-17,0.004576901666664536
Dy3Ge5,mp-1181500,mp-505577,-0.7773433324999991,-0.7794576968749991,0.002114364375,0.0,0.0,0.0006964993749996,0.0021143643750000107,0.002114364375,-0.0006964993749996,1.0842021724855044e-17,0.002810863749999611
DyAl3,mp-1103088,mp-864995,-0.472297928749997,-0.480560818749998,0.008262890000001,0.0,0.0,0.0004168125000001,0.008262890000001022,0.008262890000001,-0.0004168125000001,2.2551405187698492e-17,0.008679702500001121
DyGa3,mp-570291,mp-865103,-0.550739958749999,-0.5916981787500001,0.04095822,0.0,0.0,0.0054355687500002,0.040958220000001044,0.04095822,-0.0054355687500002,1.0477729794899915e-15,0.04639378875000125
DyNiGe2,mp-1078577,mp-638084,-0.7143618835416641,-0.703420376666664,0.0,0.010941506874999,0.0089697750000006,0.0,-0.010941506875000062,-0.010941506874999,0.0089697750000006,-1.061650767297806e-15,-0.01991128187500066
DySi,mp-1182,mp-2620,-0.9016268125000012,-0.898450372500001,0.0,0.00317644,0.00229233625,0.0,-0.003176440000000169,-0.00317644,0.00229233625,-1.691355389077387e-16,-0.00546877625000017
Er2SbO2,mp-1225518,mp-2045437,-3.051055223999999,-3.035733224833333,0.0,0.0,0.0136986246666648,0.0112775906666655,-0.01532199916666599,0.0,0.0024210339999993,-0.01532199916666599,-0.01774303316666529
ErAl3,mp-1184171,mp-2134,-0.460332894583331,-0.452357825833331,0.0,0.007975068749999,0.0079967812500001,0.0,-0.00797506874999998,-0.007975068749999,0.0079967812500001,-9.80118763926896e-16,-0.01597185000000008
ErGa3,mp-1184195,mp-398,-0.558429037083332,-0.5382812583333341,0.0,0.020147778749997,0.0200426412500003,0.0,-0.020147778749997958,-0.020147778749997,0.0200426412500003,-9.575673587391975e-16,-0.040190419999998256
ErSi,mp-1079295,mp-378,-0.887121011666668,-0.884979544166668,0.0,0.002141467499999,0.0031031399999994,0.0,-0.002141467499999994,-0.002141467499999,0.0031031399999994,-9.939965517347105e-16,-0.005244607499999394
Eu,mp-21462,mp-623532,0.0,0.031110114999997,0.0,0.031110114999997,0.0530462299999996,0.0,-0.031110114999997,-0.031110114999997,0.0530462299999996,0.0,-0.0841563449999966
Eu2O3,mp-1017564,mp-647924,-3.445172557,-3.4334678050000003,0.0,0.011704752000001,0.0174546273333131,0.0,-0.01170475199999954,-0.011704752000001,0.0174546273333131,1.4589024432964948e-15,-0.02915937933331264
EuAs,mp-1101926,mp-1102993,-1.143880177916669,-1.142826987083334,0.0,0.001053190833335,0.0284243583333321,0.0,-0.0010531908333348827,-0.001053190833335,0.0284243583333321,1.1731067506293158e-16,-0.02947754916666698
EuMg2,mp-1101792,mp-1184321,-0.085892347500002,-0.084302820000002,0.0,0.001589527499999,0.0006929816666669,0.0,-0.001589527500000007,-0.001589527499999,0.0006929816666669,-1.0070069778045365e-15,-0.002282509166666907
EuSb2,mp-1546120,mp-611062,-0.8404125666666691,-0.8430464066666701,0.002633840000001,0.0,0.0,0.0090082000000002,0.0026338400000009976,0.002633840000001,-0.0090082000000002,-2.6020852139652106e-18,0.011642040000001198
Fe3Ge,mp-20344,mp-20711,-0.156686391249999,-0.104919066249999,0.0,0.051767325,0.0053451899999998,0.0,-0.051767325,-0.051767325,0.0053451899999998,0.0,-0.0571125149999998
FeB,mp-1007881,mp-1080525,-0.387946513333332,-0.379546867083332,0.0,0.00839964625,0.0056426325000016,0.0,-0.008399646250000004,-0.00839964625,0.0056426325000016,-3.469446951953614e-18,-0.014042278750001604
FeCl2,mp-23229,mp-571096,-1.125788739999999,-1.147622136666666,0.021833396666667,0.0,0.0,0.0031608700000003,0.021833396666666838,0.021833396666667,-0.0031608700000003,-1.6306400674181987e-16,0.02499426666666714
GaCuO2,mp-11019,mp-4280,-1.6750175293749892,-1.6747150606249912,0.0,0.000302468749987,9.39175000000958e-05,0.0,-0.0003024687499979528,-0.000302468749987,9.39175000000958e-05,-1.0952827186883063e-14,-0.0003963862499980486
GaPO4,mp-4122,mp-677335,-2.59967003924603,-2.591907708690476,0.0,0.007762330555554,0.0109024566666517,0.0,-0.007762330555554087,-0.007762330555554,0.0109024566666517,-8.673617379884035e-17,-0.018664787222205787
GaSe,mp-11342,mp-568263,-0.688569757031249,-0.69001870828125,0.001448951250001,0.0,0.0,0.0002655612499999,0.001448951250000996,0.001448951250001,-0.0002655612499999,-3.903127820947816e-18,0.001714512500000896
Gd2S3,mp-608146,mp-669509,-2.192290453687496,-2.334843926187497,0.142553472500001,0.0,0.0,0.0037671995000021,0.14255347250000128,0.142553472500001,-0.0037671995000021,2.7755575615628914e-16,0.14632067200000337
GdTe,mp-1184509,mp-574283,-1.601623279999998,-1.537004795000001,0.0,0.064618484999996,0.0310282749999988,0.0,-0.06461848499999712,-0.064618484999996,0.0310282749999988,-1.1102230246251565e-15,-0.09564675999999592
GeI2,mp-1540935,mp-27922,-0.594223698333331,-0.594992870555555,0.000769172222223,0.0,0.0,0.0004452577777778,0.0007691722222240571,0.000769172222223,-0.0004452577777778,1.0570971181733668e-15,0.001214430000001857
GeO2,mp-470,mp-733,-2.156655663333334,-2.077072867222222,0.0,0.079582796111111,0.0037918238888901,0.0,-0.07958279611111196,-0.079582796111111,0.0037918238888901,-9.575673587391975e-16,-0.08337462000000206
HBr,mp-2020987,mp-632229,-0.5169105043750011,-0.517332130624999,0.000421626249998,0.0,0.0,1.3229999999975206e-05,0.00042162624999797504,0.000421626249998,-1.3229999999975206e-05,-2.4936649967166602e-17,0.00043485624999795025
HfSb,mp-1079914,mp-13450,-0.601496041250001,-0.6129251225000011,0.011429081249999,0.0,0.0,0.0038595475000002,0.011429081250000084,0.011429081249999,-0.0038595475000002,1.0842021724855044e-15,0.015288628750000284
HgSe,mp-1018722,mp-820,-0.23692071328125,-0.23550632828125,0.0,0.001414384999996,0.0333510750000001,0.0,-0.0014143849999999902,-0.001414384999996,0.0333510750000001,-3.9902976756156505e-15,-0.03476546000000009
HgSeO3,mp-557224,mp-9228,-1.047778544968753,-1.048512630968753,0.000734085999999,0.0,0.0,0.0031864099999978,0.0007340860000000227,0.000734085999999,-0.0031864099999978,1.0226194890883278e-15,0.003920495999997823
Ho,mp-10659,mp-144,0.015270595000004,0.0,0.015270595000004,0.0,0.0,0.0103339599999996,0.015270595000004,0.015270595000004,-0.0103339599999996,0.0,0.025604555000003602
Ho3(CuSn)4,mp-1101850,mp-1103249,-0.49406506318182,-0.494896148636363,0.000831085454543,0.0,0.0,0.0005199618181821,0.0008310854545430235,0.000831085454543,-0.0005199618181821,2.3527187142935446e-17,0.0013510472727251235
HoAl3,mp-1102065,mp-1184638,-0.465663479583331,-0.4712367875,0.005573307916668,0.0,0.0,0.0033774524999996,0.00557330791666899,0.005573307916668,-0.0033774524999996,9.905271047827569e-16,0.00895076041666859
HoAsSe,mp-1103217,mp-1212091,-1.6413704471875,-1.6418201305208342,0.000449683333332,0.0,0.0,0.0041464841666662,0.0004496833333342831,0.000449683333332,-0.0041464841666662,2.2831129348199752e-15,0.004596167500000483
HoGa3,mp-2688,mp-982557,-0.528708859374999,-0.559429653124998,0.030720793749999,0.0,0.0,0.0135587624999997,0.03072079374999903,0.030720793749999,-0.0135587624999997,3.122502256758253e-17,0.04427955624999873
HoNiSn,mp-1079003,mp-31176,-0.6660646977777751,-0.6765381811111051,0.010473483333331,0.0,0.0,0.0058325291666667,0.01047348333332998,0.010473483333331,-0.0058325291666667,-1.0200174038743626e-15,0.01630601249999668
HoSi,mp-12899,mp-12900,-0.893756724999995,-0.8964365874999981,0.002679862500002,0.0,0.0,0.0026741062499997,0.002679862500003072,0.002679862500002,-0.0026741062499997,1.0716254272846726e-15,0.005353968750002772
In,mp-1184502,mp-85,0.007490013333333,0.0,0.007490013333335,0.0,0.0,0.03681058,0.007490013333333,0.007490013333335,-0.03681058,-1.99926880606327e-15,0.044300593333333
InAgO2,mp-20329,mp-22660,-1.392417060833322,-1.392166444583322,0.0,0.00025061624999,0.0001023625000007,0.0,-0.000250616250000002,-0.00025061624999,0.0001023625000007,-1.0001981881613276e-14,-0.000352978750000702
InBi,mp-1001833,mp-23313,-0.071587387499995,-0.027260852499999,0.0,0.044326534999996,0.0259400624999996,0.0,-0.044326534999996,-0.044326534999996,0.0259400624999996,0.0,-0.0702665974999956
InSe,mp-20485,mp-22691,-0.676726512031248,-0.6763020120312461,0.0,0.000424500000001,0.0023444749999992,0.0,-0.0004245000000019372,-0.000424500000001,0.0023444749999992,-9.372385680050943e-16,-0.002768975000001137
Ir2S3,mp-1188655,mp-861979,-0.488082574187501,-0.487247338687501,0.0,0.000835235500002,0.0004971869999996,0.0,-0.0008352355000000311,-0.000835235500002,0.0004971869999996,1.968911145233676e-15,-0.001332422499999631
IrCl3,mp-27666,mp-568208,-0.623958485624999,-0.624767009999999,0.000808524374999,0.0,0.0,0.0024598193749998,0.0008085243750000082,0.000808524374999,-0.0024598193749998,1.0081996001942706e-15,0.0032683437499998083
K,mp-1184804,mp-1184905,0.0,0.02097077575,0.0,0.02097077575,0.01770834875,0.0,-0.02097077575,-0.02097077575,0.01770834875,0.0,-0.038679124499999995
K2GeF6,mp-14168,mp-7825,-3.031289993277775,-3.034860290499997,0.00357029722222,0.0,0.0,0.0035157944444472,0.0035702972222222407,0.00357029722222,-0.0035157944444472,2.2408290500930406e-15,0.007086091666669441
K2Mg(CO3)2,mp-1095215,mp-8127,-2.261678266318182,-2.263282359954545,0.001604093636363,0.0,0.0,0.00773274909091,0.0016040936363630465,0.001604093636363,-0.00773274909091,4.640385298237959e-17,0.009336842727273045
K2MnF6,mp-557397,mp-560127,-2.888768716936781,-2.894356403047892,0.005587686111111,0.0,0.0,0.0007803183333336,0.0055876861111112675,0.005587686111111,-0.0007803183333336,2.671474153004283e-16,0.006368004444444867
K2SiF6,mp-13002,mp-3042,-3.428395247722219,-3.425675350499996,0.0,0.002719897222219,0.0048175311111133,0.0,-0.002719897222222656,-0.002719897222219,0.0048175311111133,-3.655929725621121e-15,-0.007537428333335956
KCO3,mp-1106094,mp-1545405,-1.810488648949999,-1.479827735499998,0.0,0.051536653375002,0.0375567970000005,0.0,-0.3306609134500009,-0.051536653375002,0.0375567970000005,-0.2791242600749989,-0.3682177104500014
KMnF3,mp-1205353,mp-558046,-3.016103159036205,-3.015730156536206,0.0,0.000373002499999,0.000273249499993,0.0,-0.00037300249999905333,-0.000373002499999,0.000273249499993,-5.334274688628682e-17,-0.0006462519999920534
KNO2,mp-1067154,mp-29200,-1.2868555130625,-1.287441688062499,0.000586174999999,0.0,0.0,0.0027699906249996,0.0005861749999991339,0.000586174999999,-0.0027699906249996,1.338989683019598e-16,0.003356165624998734
La,mp-156,mp-26,0.019361705000001,0.0,0.019361705000001,0.0,0.0,0.0014906825,0.019361705000001,0.019361705000001,-0.0014906825,0.0,0.020852387500001
La2GeI2,mp-570597,mp-637213,-1.445252525000001,-1.448424991000002,0.003172466,0.0,0.0,0.0049375160000009,0.003172466000000984,0.003172466,-0.0049375160000009,9.840218917478438e-16,0.008109982000001884
La2Ni2I,mp-1070264,mp-1206895,-0.806970057000001,-0.8066588959999991,0.0,0.000311161,0.0027829010000006,0.0,-0.00031116100000194713,-0.000311161,0.0027829010000006,-1.9471186815667174e-15,-0.0030940620000025473
LaAgO2,mp-753260,mp-754535,-2.568305550416656,-2.5680289029166543,0.0,0.000276647499989,0.0002848437500002,0.0,-0.0002766475000015589,-0.000276647499989,0.0002848437500002,-1.2558910075094465e-14,-0.0005614912500017589
LaEuB12,mp-1222891,mp-1222902,-0.5949202028571431,-0.595980079999999,0.001059877142866,0.0,0.0,0.0010031500000007,0.0010598771428559361,0.001059877142866,-0.0010031500000007,-1.006378140544495e-14,0.002063027142856636
LaMg,mp-1094739,mp-1104,-0.100803807500003,-0.095107290000001,0.0,0.005696517500002,0.0172065599999999,0.0,-0.00569651750000201,-0.005696517500002,0.0172065599999999,-1.0408340855860843e-17,-0.02290307750000191
LaNbO4,mp-5295,mp-542724,-3.5578728433333358,-3.558192809166667,0.000319965833332,0.0,0.0,7.283749999942302e-05,0.0003199658333312705,0.000319965833332,-7.283749999942302e-05,-7.295054317568717e-16,0.0003928033333306935
LaOF,mp-7100,mp-8111,-4.256614436666667,-4.256708431666667,9.399500000029096e-05,0.0,0.0,0.0052406166666667,9.399499999940275e-05,9.399500000029096e-05,-0.0052406166666667,-8.882055247544374e-16,0.005334611666666103
LaSbPd,mp-1018745,mp-1025082,-1.271683155,-1.271320149999998,0.0,0.000363005,0.0031973116666659,0.0,-0.00036300500000208125,-0.000363005,0.0031973116666659,-2.0812344903031743e-15,-0.0035603166666679812
Li2Ca,mp-11644,mp-570466,-0.015074192777777,-0.019342178611111,0.004267985833332,0.0,0.0,0.0037255466666668,0.004267985833334001,0.004267985833332,-0.0037255466666668,2.001003529539247e-15,0.0079935325000008
Li2Sb,mp-1545896,mp-9563,-0.677205187777777,-0.670160802777775,0.0,0.007044385,0.0016833588888887,0.0,-0.00704438500000204,-0.007044385,0.0016833588888887,-2.040034807748725e-15,-0.00872774388889074
Li2ZnSi,mp-1185209,mp-571566,-0.267316452916666,-0.267694867291667,0.000378414374999,0.0,0.0,0.0039195924999995,0.0003784143750010238,0.000378414374999,-0.0039195924999995,2.023825985270067e-15,0.0042980068750005235
Li3Au,mp-11247,mp-1185200,-0.403062934999999,-0.398890662499999,0.0,0.004172272499999,0.001903505,0.0,-0.004172272500000018,-0.004172272499999,0.001903505,-1.0182826803983858e-15,-0.006075777500000018
Li3Cd,mp-867343,mp-975904,-0.175375637499999,-0.181382304999999,0.0060066675,0.0,0.0,0.0058928450000004,0.006006667500000007,0.0060066675,-0.0058928450000004,6.938893903907228e-18,0.011899512500000407
Li3Sb,mp-2074,mp-7955,-0.744135469999999,-0.7521129675,0.0079774975,0.0,0.0,0.0021469149999999,0.007977497500000985,0.0079774975,-0.0021469149999999,9.853229343548264e-16,0.010124412500000885
