denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,CHGNet,common_pool,500,500,31872,289,0.578,0.01753002547616159,0.578,0.0,0.42200000000000004,1.1174339439524446,ok
D5_full_complete,CHGNet,common_pool,1000,1000,31872,540,0.54,0.03275506490355453,0.54,0.0,0.45999999999999996,1.04396942860609,ok
D5_full_complete,CHGNet,common_pool,5000,5000,31872,2390,0.478,0.14497149096202838,0.478,0.0,0.522,0.9241062719883538,ok
D5_full_complete,CHGNet,common_pool,10000,10000,31872,4654,0.4654,0.28230013344656074,0.4654,0.0,0.5346,0.8997469853208784,ok
D5_full_complete,CHGNet,source_union,100,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,source_union,300,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,source_union,500,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,source_union,1000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,source_union,5000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,source_union,10000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,CHGNet,consensus,100,100,24614,54,0.54,0.005691999578370402,0.54,0.0,0.45999999999999996,1.4010287762200908,ok
D5_full_complete,CHGNet,consensus,300,300,24614,128,0.4266666666666667,0.01349214714872984,0.4266666666666667,0.0,0.5733333333333333,1.1069856997294545,ok
D5_full_complete,CHGNet,consensus,500,500,24614,207,0.414,0.02181933171708654,0.414,0.0,0.5860000000000001,1.0741220617687361,ok
D5_full_complete,CHGNet,consensus,1000,1000,24614,379,0.379,0.03994940444819226,0.379,0.0,0.621,0.9833146410878044,ok
D5_full_complete,CHGNet,consensus,5000,5000,24614,1635,0.327,0.17234109834510383,0.327,0.0,0.673,0.8484007589332772,ok
D5_full_complete,CHGNet,consensus,10000,10000,24614,3405,0.3405,0.35891219563613364,0.3405,0.0,0.6595,0.8834264783387795,ok
D5_full_complete,CHGNet,uncertain,100,100,36769,39,0.39,0.0032085561497326204,0.39,0.39,0.61,1.1797540106951871,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,uncertain,300,300,36769,114,0.38,0.009378856437679967,0.38,0.38,0.62,1.149503907856849,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,uncertain,500,500,36769,186,0.372,0.01530234471410942,0.372,0.372,0.628,1.1253038255861785,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,uncertain,1000,1000,36769,354,0.354,0.029123817359111476,0.354,0.354,0.646,1.0708536404771698,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,uncertain,5000,5000,36769,1616,0.3232,0.13294940353763884,0.3232,0.3232,0.6768000000000001,0.9776833237350884,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,uncertain,10000,10000,36769,3075,0.3075,0.25298231180584124,0.3075,0.3075,0.6925,0.9301906622788975,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,CHGNet,audit_view,100,100,36769,34,0.34,0.003583851586381364,0.34,0.39,0.6599999999999999,1.3177463897965638,ok
D5_full_complete,CHGNet,audit_view,300,300,36769,85,0.2833333333333333,0.00895962896595341,0.2833333333333333,0.38,0.7166666666666667,1.0981219914971363,ok
D5_full_complete,CHGNet,audit_view,500,500,36769,133,0.266,0.0140191841467271,0.266,0.372,0.734,1.0309427637820174,ok
D5_full_complete,CHGNet,audit_view,1000,1000,36769,261,0.261,0.02751133129545694,0.261,0.354,0.739,1.0115641404026563,ok
D5_full_complete,CHGNet,audit_view,5000,5000,36769,1149,0.2298,0.12111310213977021,0.2298,0.3232,0.7702,0.8906415305154421,ok
