threshold_meV_per_atom,model_name,coordinate_endpoint,support_n,positive_n,positive_rate_pi,random_expected_hits,excess_hits_over_random,enrichment,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,1657.298772169168,1130.701227830832,1.6822555153111622,5000,0.133380598492,4999,2788,1,0,1,2788.0,0.5576,2788,2788,0.5576,0.5576,2788,2788,0.5576,0.5576,0.95,12
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.48687585266030015,48.68758526603001,48.31241473396999,1.9922943286258685,100,1.810661280155,99,96,1,1,1,97.0,0.97,97,97,0.97,0.97,97,97,0.97,0.97,0.95,12
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.48687585266030015,146.06275579809005,146.93724420190995,2.005987073152507,300,0.956046740214,299,292,1,1,1,293.0,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,0.95,12
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.48687585266030015,243.43792633015008,238.56207366984992,1.979970858551894,500,0.631121110916,499,482,1,0,1,482.0,0.964,482,482,0.964,0.964,482,482,0.964,0.964,0.95,12
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.48687585266030015,486.87585266030015,442.12414733969985,1.9080839497870434,1000,0.39319832325,999,928,1,1,1,929.0,0.929,929,929,0.929,0.929,929,929,0.929,0.929,0.95,12
0,ALIGNN-FF,mp_matched_pool_coordinate,36650,17844,0.48687585266030015,2434.379263301501,1768.620736698499,1.7265181573638197,5000,0.133380598492,4999,4203,1,0,1,4203.0,0.8406,4203,4203,0.8406,0.8406,4203,4203,0.8406,0.8406,0.95,12
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,54.529331514324696,45.470668485675304,1.833875406554916,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,163.5879945429741,136.4120054570259,1.833875406554916,300,0.956046740214,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,272.6466575716235,226.3533424283765,1.8302076557418063,500,0.631121110916,499,498,1,1,1,499.0,0.998,499,499,0.998,0.998,499,499,0.998,0.998,0.95,12
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,545.293315143247,427.706684856753,1.7843607705779332,1000,0.39319832325,999,972,1,1,1,973.0,0.973,973,973,0.973,0.973,973,973,0.973,0.973,0.95,12
0,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,19985,0.545293315143247,2726.4665757162347,1753.5334242837653,1.6431523642732049,5000,0.133380598492,4999,4480,1,0,1,4480.0,0.896,4480,4480,0.896,0.896,4480,4480,0.896,0.896,0.95,12
10,ALIGNN-FF,mp_source_coordinate,36650,19197,0.5237926330150068,52.37926330150068,25.62073669849932,1.4891389279574936,100,1.810661280155,99,77,1,1,1,78.0,0.78,78,78,0.78,0.78,78,78,0.78,0.78,0.95,12
10,ALIGNN-FF,mp_source_coordinate,36650,19197,0.5237926330150068,157.13778990450203,69.86221009549797,1.444592036950218,300,0.956046740214,299,226,1,1,1,227.0,0.7566666666666667,227,227,0.7566666666666667,0.7566666666666667,227,227,0.7566666666666667,0.7566666666666667,0.95,12
10,ALIGNN-FF,mp_source_coordinate,36650,19197,0.5237926330150068,261.8963165075034,131.1036834924966,1.5005938427879357,500,0.631121110916,499,393,1,0,1,393.0,0.786,393,393,0.786,0.786,393,393,0.786,0.786,0.95,12
10,ALIGNN-FF,mp_source_coordinate,36650,19197,0.5237926330150068,523.7926330150068,263.2073669849932,1.5025029952596762,1000,0.39319832325,999,786,1,1,1,787.0,0.787,787,787,0.787,0.787,787,787,0.787,0.787,0.95,12
10,ALIGNN-FF,mp_source_coordinate,36650,19197,0.5237926330150068,2618.963165075034,1260.0368349249661,1.481120487576184,5000,0.133380598492,4999,3879,1,0,1,3879.0,0.7758,3879,3879,0.7758,0.7758,3879,3879,0.7758,0.7758,0.95,12
10,ALIGNN-FF,alexmp20_source_coordinate,36650,18157,0.4954160982264666,49.54160982264666,25.458390177353337,1.5138789447595968,100,1.810661280155,99,74,1,1,1,75.0,0.75,75,75,0.75,0.75,75,75,0.75,0.75,0.95,12
10,ALIGNN-FF,alexmp20_source_coordinate,36650,18157,0.4954160982264666,148.62482946793997,65.37517053206003,1.4398670852380167,300,0.956046740214,299,213,1,1,1,214.0,0.7133333333333334,214,214,0.7133333333333334,0.7133333333333334,214,214,0.7133333333333334,0.7133333333333334,0.95,12
10,ALIGNN-FF,alexmp20_source_coordinate,36650,18157,0.4954160982264666,247.7080491132333,115.2919508867667,1.4654348185272896,500,0.631121110916,499,363,1,0,1,363.0,0.726,363,363,0.726,0.726,363,363,0.726,0.726,0.95,12
10,ALIGNN-FF,alexmp20_source_coordinate,36650,18157,0.4954160982264666,495.4160982264666,219.5839017735334,1.4432312606708155,1000,0.39319832325,999,714,1,1,1,715.0,0.715,715,715,0.715,0.715,715,715,0.715,0.715,0.95,12
10,ALIGNN-FF,alexmp20_source_coordinate,36650,18157,0.4954160982264666,2477.080491132333,1069.919508867667,1.4319276312166107,5000,0.133380598492,4999,3547,1,0,1,3547.0,0.7094,3547,3547,0.7094,0.7094,3547,3547,0.7094,0.7094,0.95,12
10,ALIGNN-FF,alex_pbe_source_coordinate,36650,17667,0.4820463847203274,48.20463847203274,23.79536152796726,1.4936321956189507,100,1.810661280155,99,71,1,1,1,72.0,0.72,72,72,0.72,0.72,72,72,0.72,0.72,0.95,12
10,ALIGNN-FF,alex_pbe_source_coordinate,36650,17667,0.4820463847203274,144.61391541609822,66.38608458390178,1.4590573762759194,300,0.956046740214,299,210,1,1,1,211.0,0.7033333333333334,211,211,0.7033333333333334,0.7033333333333334,211,211,0.7033333333333334,0.7033333333333334,0.95,12
10,ALIGNN-FF,alex_pbe_source_coordinate,36650,17667,0.4820463847203274,241.0231923601637,121.9768076398363,1.506079130582442,500,0.631121110916,499,362,1,1,1,363.0,0.726,363,363,0.726,0.726,363,363,0.726,0.726,0.95,12
10,ALIGNN-FF,alex_pbe_source_coordinate,36650,17667,0.4820463847203274,482.0463847203274,222.9536152796726,1.4625148582102223,1000,0.39319832325,999,704,1,1,1,705.0,0.705,705,705,0.705,0.705,705,705,0.705,0.705,0.95,12
10,ALIGNN-FF,alex_pbe_source_coordinate,36650,17667,0.4820463847203274,2410.231923601637,1064.768076398363,1.4417699666044037,5000,0.133380598492,4999,3475,1,0,1,3475.0,0.695,3475,3475,0.695,0.695,3475,3475,0.695,0.695,0.95,12
10,ALIGNN-FF,mp_matched_pool_coordinate,36650,21308,0.5813915416098226,58.139154160982265,41.860845839017735,1.720011263375258,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
10,ALIGNN-FF,mp_matched_pool_coordinate,36650,21308,0.5813915416098226,174.4174624829468,123.5825375170532,1.708544521619423,300,0.956046740214,299,297,1,1,1,298.0,0.9933333333333333,298,298,0.9933333333333333,0.9933333333333333,298,298,0.9933333333333333,0.9933333333333333,0.95,12
10,ALIGNN-FF,mp_matched_pool_coordinate,36650,21308,0.5813915416098226,290.6957708049113,205.30422919508868,1.706251173268256,500,0.631121110916,499,496,1,0,1,496.0,0.992,496,496,0.992,0.992,496,496,0.992,0.992,0.95,12
10,ALIGNN-FF,mp_matched_pool_coordinate,36650,21308,0.5813915416098226,581.3915416098226,376.60845839017736,1.6477707903134973,1000,0.39319832325,999,957,1,1,1,958.0,0.958,958,958,0.958,0.958,958,958,0.958,0.958,0.95,12
10,ALIGNN-FF,mp_matched_pool_coordinate,36650,21308,0.5813915416098226,2906.957708049113,1522.042291950887,1.5235859770978037,5000,0.133380598492,4999,4429,1,0,1,4429.0,0.8858,4429,4429,0.8858,0.8858,4429,4429,0.8858,0.8858,0.95,12
10,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,23820,0.6499317871759891,64.99317871759891,35.00682128240109,1.538623005877414,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
10,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,23820,0.6499317871759891,194.97953615279673,105.02046384720327,1.538623005877414,300,0.956046740214,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
10,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,23820,0.6499317871759891,324.9658935879946,175.03410641200543,1.538623005877414,500,0.631121110916,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
10,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,23820,0.6499317871759891,649.9317871759891,325.06821282401086,1.5001574307304786,1000,0.39319832325,999,974,1,1,1,975.0,0.975,975,975,0.975,0.975,975,975,0.975,0.975,0.95,12
10,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,23820,0.6499317871759891,3249.6589358799456,1364.3410641200544,1.4198413098236775,5000,0.133380598492,4999,4614,1,0,1,4614.0,0.9228,4614,4614,0.9228,0.9228,4614,4614,0.9228,0.9228,0.95,12
25,ALIGNN-FF,mp_source_coordinate,36650,23695,0.6465211459754434,64.65211459754434,23.34788540245566,1.3611310403038615,100,1.810661280155,99,87,1,1,1,88.0,0.88,88,88,0.88,0.88,88,88,0.88,0.88,0.95,12
25,ALIGNN-FF,mp_source_coordinate,36650,23695,0.6465211459754434,193.95634379263302,53.04365620736698,1.273482450587325,300,0.956046740214,299,246,1,1,1,247.0,0.8233333333333334,247,247,0.8233333333333334,0.8233333333333334,247,247,0.8233333333333334,0.8233333333333334,0.95,12
25,ALIGNN-FF,mp_source_coordinate,36650,23695,0.6465211459754434,323.26057298772173,98.73942701227827,1.3054484068368852,500,0.631121110916,499,422,1,0,1,422.0,0.844,422,422,0.844,0.844,422,422,0.844,0.844,0.95,12
25,ALIGNN-FF,mp_source_coordinate,36650,23695,0.6465211459754434,646.5211459754435,205.47885402455654,1.3178223253851022,1000,0.39319832325,999,851,1,1,1,852.0,0.852,852,852,0.852,0.852,852,852,0.852,0.852,0.95,12
25,ALIGNN-FF,mp_source_coordinate,36650,23695,0.6465211459754434,3232.605729877217,1006.3942701227829,1.3113260181472883,5000,0.133380598492,4999,4239,1,0,1,4239.0,0.8478,4239,4239,0.8478,0.8478,4239,4239,0.8478,0.8478,0.95,12
25,ALIGNN-FF,alexmp20_source_coordinate,36650,23331,0.6365893587994543,63.65893587994543,22.34106412005457,1.350949380652351,100,1.810661280155,99,85,1,1,1,86.0,0.86,86,86,0.86,0.86,86,86,0.86,0.86,0.95,12
25,ALIGNN-FF,alexmp20_source_coordinate,36650,23331,0.6365893587994543,190.9768076398363,45.023192360163705,1.2357521466432355,300,0.956046740214,299,235,1,1,1,236.0,0.7866666666666666,236,236,0.7866666666666666,0.7866666666666666,236,236,0.7866666666666666,0.7866666666666666,0.95,12
25,ALIGNN-FF,alexmp20_source_coordinate,36650,23331,0.6365893587994543,318.29467939972716,81.70532060027284,1.2566970982812566,500,0.631121110916,499,400,1,0,1,400.0,0.8,400,400,0.8,0.8,400,400,0.8,0.8,0.95,12
25,ALIGNN-FF,alexmp20_source_coordinate,36650,23331,0.6365893587994543,636.5893587994543,172.41064120054568,1.2708349406369208,1000,0.39319832325,999,808,1,1,1,809.0,0.809,809,809,0.809,0.809,809,809,0.809,0.809,0.95,12
25,ALIGNN-FF,alexmp20_source_coordinate,36650,23331,0.6365893587994543,3182.9467939972715,874.0532060027285,1.2746050319317646,5000,0.133380598492,4999,4057,1,0,1,4057.0,0.8114,4057,4057,0.8114,0.8114,4057,4057,0.8114,0.8114,0.95,12
25,ALIGNN-FF,alex_pbe_source_coordinate,36650,23054,0.6290313778990451,62.903137789904505,22.096862210095495,1.351283942049102,100,1.810661280155,99,84,1,1,1,85.0,0.85,85,85,0.85,0.85,85,85,0.85,0.85,0.95,12
25,ALIGNN-FF,alex_pbe_source_coordinate,36650,23054,0.6290313778990451,188.70941336971353,46.29058663028647,1.245300887770741,300,0.956046740214,299,234,1,1,1,235.0,0.7833333333333333,235,235,0.7833333333333333,0.7833333333333333,235,235,0.7833333333333333,0.7833333333333333,0.95,12
25,ALIGNN-FF,alex_pbe_source_coordinate,36650,23054,0.6290313778990451,314.51568894952254,86.48431105047746,1.2749761429686821,500,0.631121110916,499,400,1,1,1,401.0,0.802,401,401,0.802,0.802,401,401,0.802,0.802,0.95,12
25,ALIGNN-FF,alex_pbe_source_coordinate,36650,23054,0.6290313778990451,629.0313778990451,179.96862210095492,1.2861043636679101,1000,0.39319832325,999,808,1,1,1,809.0,0.809,809,809,0.809,0.809,809,809,0.809,0.809,0.95,12
25,ALIGNN-FF,alex_pbe_source_coordinate,36650,23054,0.6290313778990451,3145.156889495225,867.8431105047748,1.2759299904571872,5000,0.133380598492,4999,4013,1,0,1,4013.0,0.8026,4013,4013,0.8026,0.8026,4013,4013,0.8026,0.8026,0.95,12
25,ALIGNN-FF,mp_matched_pool_coordinate,36650,25067,0.683956343792633,68.3956343792633,31.6043656207367,1.4620816212550365,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
25,ALIGNN-FF,mp_matched_pool_coordinate,36650,25067,0.683956343792633,205.1869031377899,92.8130968622101,1.4523344104466696,300,0.956046740214,299,297,1,1,1,298.0,0.9933333333333333,298,298,0.9933333333333333,0.9933333333333333,298,298,0.9933333333333333,0.9933333333333333,0.95,12
25,ALIGNN-FF,mp_matched_pool_coordinate,36650,25067,0.683956343792633,341.9781718963165,154.0218281036835,1.450384968284996,500,0.631121110916,499,496,1,0,1,496.0,0.992,496,496,0.992,0.992,496,496,0.992,0.992,0.95,12
25,ALIGNN-FF,mp_matched_pool_coordinate,36650,25067,0.683956343792633,683.956343792633,286.043656207367,1.4182191726173854,1000,0.39319832325,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
25,ALIGNN-FF,mp_matched_pool_coordinate,36650,25067,0.683956343792633,3419.781718963165,1168.218281036835,1.3416060956636213,5000,0.133380598492,4999,4588,1,0,1,4588.0,0.9176,4588,4588,0.9176,0.9176,4588,4588,0.9176,0.9176,0.95,12
25,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,27615,0.7534788540245566,75.34788540245566,24.65211459754434,1.327177258736194,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
25,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,27615,0.7534788540245566,226.04365620736698,73.95634379263302,1.327177258736194,300,0.956046740214,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
25,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,27615,0.7534788540245566,376.7394270122783,123.26057298772167,1.327177258736194,500,0.631121110916,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
25,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,27615,0.7534788540245566,753.4788540245567,231.52114597544335,1.3072695998551511,1000,0.39319832325,999,984,1,1,1,985.0,0.985,985,985,0.985,0.985,985,985,0.985,0.985,0.95,12
25,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,27615,0.7534788540245566,3767.394270122783,979.6057298772171,1.2600220894441427,5000,0.133380598492,4999,4747,1,0,1,4747.0,0.9494,4747,4747,0.9494,0.9494,4747,4747,0.9494,0.9494,0.95,12
50,ALIGNN-FF,mp_source_coordinate,36650,28804,0.7859208731241474,78.59208731241473,16.407912687585267,1.20877308707124,100,1.810661280155,99,94,1,1,1,95.0,0.95,95,95,0.95,0.95,95,95,0.95,0.95,0.95,12
50,ALIGNN-FF,mp_source_coordinate,36650,28804,0.7859208731241474,235.77626193724421,38.223738062755785,1.1621186872193676,300,0.956046740214,299,273,1,1,1,274.0,0.9133333333333333,274,274,0.9133333333333333,0.9133333333333333,274,274,0.9133333333333333,0.9133333333333333,0.95,12
50,ALIGNN-FF,mp_source_coordinate,36650,28804,0.7859208731241474,392.9604365620737,68.03956343792629,1.1731460908207194,500,0.631121110916,499,460,1,1,1,461.0,0.922,461,461,0.922,0.922,461,461,0.922,0.922,0.95,12
50,ALIGNN-FF,mp_source_coordinate,36650,28804,0.7859208731241474,785.9208731241474,129.07912687585258,1.1642393417580892,1000,0.39319832325,999,914,1,1,1,915.0,0.915,915,915,0.915,0.915,915,915,0.915,0.915,0.95,12
50,ALIGNN-FF,mp_source_coordinate,36650,28804,0.7859208731241474,3929.604365620737,604.3956343792629,1.1538057214275794,5000,0.133380598492,4999,4534,1,0,1,4534.0,0.9068,4534,4534,0.9068,0.9068,4534,4534,0.9068,0.9068,0.95,12
50,ALIGNN-FF,alexmp20_source_coordinate,36650,28885,0.788130968622101,78.8130968622101,12.186903137789898,1.1546304310195603,100,1.810661280155,99,90,1,1,1,91.0,0.91,91,91,0.91,0.91,91,91,0.91,0.91,0.95,12
50,ALIGNN-FF,alexmp20_source_coordinate,36650,28885,0.788130968622101,236.43929058663028,20.56070941336972,1.086959783047718,300,0.956046740214,299,256,1,1,1,257.0,0.8566666666666667,257,257,0.8566666666666667,0.8566666666666667,257,257,0.8566666666666667,0.8566666666666667,0.95,12
50,ALIGNN-FF,alexmp20_source_coordinate,36650,28885,0.788130968622101,394.0654843110505,41.93451568894949,1.1064150943396227,500,0.631121110916,499,435,1,1,1,436.0,0.872,436,436,0.872,0.872,436,436,0.872,0.872,0.95,12
50,ALIGNN-FF,alexmp20_source_coordinate,36650,28885,0.788130968622101,788.130968622101,85.86903137789898,1.1089527436385667,1000,0.39319832325,999,873,1,1,1,874.0,0.874,874,874,0.874,0.874,874,874,0.874,0.874,0.95,12
50,ALIGNN-FF,alexmp20_source_coordinate,36650,28885,0.788130968622101,3940.6548431105048,488.34515688949523,1.123924874502337,5000,0.133380598492,4999,4429,1,0,1,4429.0,0.8858,4429,4429,0.8858,0.8858,4429,4429,0.8858,0.8858,0.95,12
50,ALIGNN-FF,alex_pbe_source_coordinate,36650,28804,0.7859208731241474,78.59208731241473,11.407912687585267,1.145153450909596,100,1.810661280155,99,89,1,1,1,90.0,0.9,90,90,0.9,0.9,90,90,0.9,0.9,0.95,12
50,ALIGNN-FF,alex_pbe_source_coordinate,36650,28804,0.7859208731241474,235.77626193724421,19.223738062755785,1.0815338147479516,300,0.956046740214,299,254,1,1,1,255.0,0.85,255,255,0.85,0.85,255,255,0.85,0.85,0.95,12
50,ALIGNN-FF,alex_pbe_source_coordinate,36650,28804,0.7859208731241474,392.9604365620737,37.03956343792629,1.0942577419802804,500,0.631121110916,499,429,1,1,1,430.0,0.86,430,430,0.86,0.86,430,430,0.86,0.86,0.95,12
50,ALIGNN-FF,alex_pbe_source_coordinate,36650,28804,0.7859208731241474,785.9208731241474,85.07912687585258,1.108254061935842,1000,0.39319832325,999,870,1,1,1,871.0,0.871,871,871,0.871,0.871,871,871,0.871,0.871,0.95,12
50,ALIGNN-FF,alex_pbe_source_coordinate,36650,28804,0.7859208731241474,3929.604365620737,481.3956343792629,1.1225048604360506,5000,0.133380598492,4999,4411,1,0,1,4411.0,0.8822,4411,4411,0.8822,0.8822,4411,4411,0.8822,0.8822,0.95,12
50,ALIGNN-FF,mp_matched_pool_coordinate,36650,29707,0.8105593451568895,81.05593451568896,18.94406548431104,1.233715959201535,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
50,ALIGNN-FF,mp_matched_pool_coordinate,36650,29707,0.8105593451568895,243.16780354706685,56.83219645293315,1.233715959201535,300,0.956046740214,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
50,ALIGNN-FF,mp_matched_pool_coordinate,36650,29707,0.8105593451568895,405.2796725784448,94.72032742155523,1.233715959201535,500,0.631121110916,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
50,ALIGNN-FF,mp_matched_pool_coordinate,36650,29707,0.8105593451568895,810.5593451568895,175.44065484311045,1.2164439357727135,1000,0.39319832325,999,985,1,1,1,986.0,0.986,986,986,0.986,0.986,986,986,0.986,0.986,0.95,12
50,ALIGNN-FF,mp_matched_pool_coordinate,36650,29707,0.8105593451568895,4052.7967257844475,725.2032742155525,1.1789389706129867,5000,0.133380598492,4999,4778,1,0,1,4778.0,0.9556,4778,4778,0.9556,0.9556,4778,4778,0.9556,0.9556,0.95,12
50,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,31681,0.8644201909959073,86.44201909959072,13.557980900409277,1.1568447965657649,100,1.810661280155,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
50,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,31681,0.8644201909959073,259.3260572987722,40.673942701227816,1.1568447965657649,300,0.956046740214,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
50,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,31681,0.8644201909959073,432.21009549795366,67.78990450204634,1.1568447965657649,500,0.631121110916,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
50,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,31681,0.8644201909959073,864.4201909959073,128.57980900409268,1.1487468829898047,1000,0.39319832325,999,992,1,1,1,993.0,0.993,993,993,0.993,0.993,993,993,0.993,0.993,0.95,12
50,ALIGNN-FF,alex_pbe_matched_pool_coordinate,36650,31681,0.8644201909959073,4322.100954979536,549.8990450204637,1.1272295697736814,5000,0.133380598492,4999,4872,1,0,1,4872.0,0.9744,4872,4872,0.9744,0.9744,4872,4872,0.9744,0.9744,0.95,12
100,ALIGNN-FF,mp_source_coordinate,36650,35843,0.977980900409277,97.7980900409277,-0.7980900409277041,0.9918394107636079,100,1.810661280155,99,96,1,1,1,97.0,0.97,97,97,0.97,0.97,97,97,0.97,0.97,0.95,12
100,ALIGNN-FF,mp_source_coordinate,36650,35843,0.977980900409277,293.3942701227831,-3.394270122783098,0.9884310279087501,300,0.956046740214,299,289,1,1,1,290.0,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,0.95,12
100,ALIGNN-FF,mp_source_coordinate,36650,35843,0.977980900409277,488.9904502046385,-1.9904502046384778,0.9959294701894372,500,0.631121110916,499,486,1,1,1,487.0,0.974,487,487,0.974,0.974,487,487,0.974,0.974,0.95,12
100,ALIGNN-FF,mp_source_coordinate,36650,35843,0.977980900409277,977.980900409277,5.0190995907230445,1.0051321038975531,1000,0.39319832325,999,982,1,1,1,983.0,0.983,983,983,0.983,0.983,983,983,0.983,0.983,0.95,12
100,ALIGNN-FF,mp_source_coordinate,36650,35843,0.977980900409277,4889.904502046385,49.09549795361545,1.0100401752085484,5000,0.133380598492,4999,4938,1,1,1,4939.0,0.9878,4939,4939,0.9878,0.9878,4939,4939,0.9878,0.9878,0.95,12
