threshold_meV_per_atom,K,coordinate_endpoint,model_name,point_stable_hits,point_stable_yield,point_winner,point_winner_models_json,point_first_second_margin_hits,bootstrap_winner_frequency,mp_selected_models_json,point_mp_selection_regret_min_hits,point_mp_selection_regret_max_hits,bootstrap_regret_min_median_hits,bootstrap_regret_min_ci_low_95_hits,bootstrap_regret_min_ci_high_95_hits,bootstrap_regret_max_median_hits,bootstrap_regret_max_ci_low_95_hits,bootstrap_regret_max_ci_high_95_hits,positive_regret_frequency,boundary_tie_n,strictly_before_boundary_n,tie_interval_low_hits,tie_interval_high_hits,first_second_margin_ci_low_95_hits,first_second_margin_median_hits,first_second_margin_ci_high_95_hits
0,500,alexmp20_source_coordinate,M3GNet,320.0,0.64,False,"[""MACE-MP""]",1.0,0.495,"[""MACE-MP""]",0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.417,1,499,320,320,0.0,3.0,9.024999999999977
0,500,alexmp20_source_coordinate,MACE-MP,321.0,0.642,True,"[""MACE-MP""]",1.0,0.368,"[""MACE-MP""]",0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.417,1,499,321,321,0.0,3.0,9.024999999999977
0,500,mp_matched_pool_coordinate,ALIGNN-FF,482.0,0.964,False,"[""M3GNet"", ""MACE-MP""]",0.0,0.103,"[""MACE-MP""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.024999999999977,0.328,1,499,482,482,0.0,0.0,7.0
0,500,mp_matched_pool_coordinate,CHGNet,482.0,0.964,False,"[""M3GNet"", ""MACE-MP""]",0.0,0.051,"[""MACE-MP""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.024999999999977,0.328,1,499,482,482,0.0,0.0,7.0
0,500,mp_matched_pool_coordinate,M3GNet,486.0,0.972,True,"[""M3GNet"", ""MACE-MP""]",0.0,0.766,"[""MACE-MP""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.024999999999977,0.328,1,499,486,486,0.0,0.0,7.0
0,500,mp_matched_pool_coordinate,MACE-MP,486.0,0.972,True,"[""M3GNet"", ""MACE-MP""]",0.0,0.904,"[""MACE-MP""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.024999999999977,0.328,1,499,486,486,0.0,0.0,7.0
0,500,mp_source_coordinate,ALIGNN-FF,353.0,0.706,False,"[""MACE-MP""]",1.0,0.251,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,499,353,353,0.0,2.0,8.0
0,500,mp_source_coordinate,CHGNet,353.0,0.706,False,"[""MACE-MP""]",1.0,0.08,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,499,353,353,0.0,2.0,8.0
0,500,mp_source_coordinate,M3GNet,355.0,0.71,False,"[""MACE-MP""]",1.0,0.38,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,499,355,355,0.0,2.0,8.0
0,500,mp_source_coordinate,MACE-MP,356.0,0.712,True,"[""MACE-MP""]",1.0,0.433,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,499,356,356,0.0,2.0,8.0
0,1000,alex_pbe_matched_pool_coordinate,ALIGNN-FF,973.0,0.973,False,"[""CHGNet""]",1.0,0.0,"[""MACE-MP""]",4.0,4.0,3.0,0.0,7.0,3.0,0.0,7.0,0.877,1,999,973,973,0.0,1.0,3.0
0,1000,alex_pbe_matched_pool_coordinate,CHGNet,1000.0,1.0,True,"[""CHGNet""]",1.0,0.933,"[""MACE-MP""]",4.0,4.0,3.0,0.0,7.0,3.0,0.0,7.0,0.877,1,999,1000,1000,0.0,1.0,3.0
0,1000,alex_pbe_matched_pool_coordinate,M3GNet,999.0,0.999,False,"[""CHGNet""]",1.0,0.416,"[""MACE-MP""]",4.0,4.0,3.0,0.0,7.0,3.0,0.0,7.0,0.877,1,999,999,999,0.0,1.0,3.0
0,1000,alex_pbe_matched_pool_coordinate,MACE-MP,996.0,0.996,False,"[""CHGNet""]",1.0,0.031,"[""MACE-MP""]",4.0,4.0,3.0,0.0,7.0,3.0,0.0,7.0,0.877,1,999,996,996,0.0,1.0,3.0
0,1000,alex_pbe_source_coordinate,ALIGNN-FF,554.0,0.554,False,"[""M3GNet""]",7.0,0.0,"[""MACE-MP""]",7.0,7.0,0.0,0.0,17.0,1.0,0.0,17.0,0.52,1,999,554,554,0.0,7.0,21.0
0,1000,alex_pbe_source_coordinate,CHGNet,576.0,0.576,False,"[""M3GNet""]",7.0,0.0,"[""MACE-MP""]",7.0,7.0,0.0,0.0,17.0,1.0,0.0,17.0,0.52,1,999,576,576,0.0,7.0,21.0
0,1000,alex_pbe_source_coordinate,M3GNet,605.0,0.605,True,"[""M3GNet""]",7.0,0.764,"[""MACE-MP""]",7.0,7.0,0.0,0.0,17.0,1.0,0.0,17.0,0.52,1,999,605,605,0.0,7.0,21.0
0,1000,alex_pbe_source_coordinate,MACE-MP,598.0,0.598,False,"[""M3GNet""]",7.0,0.285,"[""MACE-MP""]",7.0,7.0,0.0,0.0,17.0,1.0,0.0,17.0,0.52,1,999,598,598,0.0,7.0,21.0
0,1000,alexmp20_source_coordinate,ALIGNN-FF,615.0,0.615,False,"[""M3GNet""]",10.0,0.0,"[""MACE-MP""]",10.0,10.0,2.0,0.0,17.0,3.0,0.0,18.0,0.597,1,999,615,615,0.0,8.0,23.0
0,1000,alexmp20_source_coordinate,CHGNet,645.0,0.645,False,"[""M3GNet""]",10.0,0.0,"[""MACE-MP""]",10.0,10.0,2.0,0.0,17.0,3.0,0.0,18.0,0.597,1,999,645,645,0.0,8.0,23.0
0,1000,alexmp20_source_coordinate,M3GNet,677.0,0.677,True,"[""M3GNet""]",10.0,0.857,"[""MACE-MP""]",10.0,10.0,2.0,0.0,17.0,3.0,0.0,18.0,0.597,1,999,677,677,0.0,8.0,23.0
0,1000,alexmp20_source_coordinate,MACE-MP,667.0,0.667,False,"[""M3GNet""]",10.0,0.182,"[""MACE-MP""]",10.0,10.0,2.0,0.0,17.0,3.0,0.0,18.0,0.597,1,999,667,667,0.0,8.0,23.0
0,1000,mp_matched_pool_coordinate,ALIGNN-FF,929.0,0.929,False,"[""M3GNet""]",3.0,0.0,"[""MACE-MP""]",3.0,3.0,1.0,0.0,7.0,1.0,0.0,7.0,0.539,1,999,929,929,0.0,2.0,7.0
0,1000,mp_matched_pool_coordinate,CHGNet,970.0,0.97,False,"[""M3GNet""]",3.0,0.16,"[""MACE-MP""]",3.0,3.0,1.0,0.0,7.0,1.0,0.0,7.0,0.539,1,999,970,970,0.0,2.0,7.0
0,1000,mp_matched_pool_coordinate,M3GNet,973.0,0.973,True,"[""M3GNet""]",3.0,0.723,"[""MACE-MP""]",3.0,3.0,1.0,0.0,7.0,1.0,0.0,7.0,0.539,1,999,973,973,0.0,2.0,7.0
0,1000,mp_matched_pool_coordinate,MACE-MP,970.0,0.97,False,"[""M3GNet""]",3.0,0.288,"[""MACE-MP""]",3.0,3.0,1.0,0.0,7.0,1.0,0.0,7.0,0.539,1,999,970,970,0.0,2.0,7.0
0,1000,mp_source_coordinate,ALIGNN-FF,710.0,0.71,False,"[""MACE-MP""]",5.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999,710,710,0.0,6.0,20.0
0,1000,mp_source_coordinate,CHGNet,729.0,0.729,False,"[""MACE-MP""]",5.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999,729,729,0.0,6.0,20.0
0,1000,mp_source_coordinate,M3GNet,754.0,0.754,False,"[""MACE-MP""]",5.0,0.264,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999,754,754,0.0,6.0,20.0
0,1000,mp_source_coordinate,MACE-MP,759.0,0.759,True,"[""MACE-MP""]",5.0,0.777,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999,759,759,0.0,6.0,20.0
0,5000,alex_pbe_matched_pool_coordinate,ALIGNN-FF,4480.0,0.896,False,"[""MACE-MP""]",19.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,4999,4480,4480,4.0,19.0,34.0
0,5000,alex_pbe_matched_pool_coordinate,CHGNet,4953.0,0.9906,False,"[""MACE-MP""]",19.0,0.009,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,4999,4953,4953,4.0,19.0,34.0
0,5000,alex_pbe_matched_pool_coordinate,M3GNet,4907.0,0.9814,False,"[""MACE-MP""]",19.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,4999,4907,4907,4.0,19.0,34.0
0,5000,alex_pbe_matched_pool_coordinate,MACE-MP,4972.0,0.9944,True,"[""MACE-MP""]",19.0,0.993,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,4999,4972,4972,4.0,19.0,34.0
0,5000,alex_pbe_source_coordinate,ALIGNN-FF,2788.0,0.5576,False,"[""MACE-MP""]",118.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4999,2788,2788,73.975,115.0,152.0
0,5000,alex_pbe_source_coordinate,CHGNet,3317.0,0.6634,False,"[""MACE-MP""]",118.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4999,3317,3317,73.975,115.0,152.0
0,5000,alex_pbe_source_coordinate,M3GNet,3335.0,0.667,False,"[""MACE-MP""]",118.0,0.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4999,3335,3335,73.975,115.0,152.0
