threshold_meV_per_atom,metric,model_a,model_b,coordinate_endpoint,pairwise_margin_a_minus_b,difference_in_differences_vs_mp,pairwise_margin_range_across_endpoints,pairwise_margin_changes_sign
0,expected_stable_yield,ALIGNN-FF,MACE-MP,mp_source_coordinate,-0.049000000000000044,0.0,0.029000000000000026,False
0,expected_stable_yield,CHGNet,M3GNet,alex_pbe_matched_pool_coordinate,0.0010000000000000009,0.026000000000000023,0.03300000000000003,True
0,expected_stable_yield,CHGNet,M3GNet,alex_pbe_source_coordinate,-0.029000000000000026,-0.0040000000000000036,0.03300000000000003,True
0,expected_stable_yield,CHGNet,M3GNet,alexmp20_source_coordinate,-0.03200000000000003,-0.007000000000000006,0.03300000000000003,True
0,expected_stable_yield,CHGNet,M3GNet,mp_matched_pool_coordinate,-0.0030000000000000027,0.02200000000000002,0.03300000000000003,True
0,expected_stable_yield,CHGNet,M3GNet,mp_source_coordinate,-0.025000000000000022,0.0,0.03300000000000003,True
0,expected_stable_yield,CHGNet,MACE-MP,alex_pbe_matched_pool_coordinate,0.0040000000000000036,0.03400000000000003,0.03400000000000003,True
0,expected_stable_yield,CHGNet,MACE-MP,alex_pbe_source_coordinate,-0.02200000000000002,0.008000000000000007,0.03400000000000003,True
0,expected_stable_yield,CHGNet,MACE-MP,alexmp20_source_coordinate,-0.02200000000000002,0.008000000000000007,0.03400000000000003,True
0,expected_stable_yield,CHGNet,MACE-MP,mp_matched_pool_coordinate,0.0,0.030000000000000027,0.03400000000000003,True
0,expected_stable_yield,CHGNet,MACE-MP,mp_source_coordinate,-0.030000000000000027,0.0,0.03400000000000003,True
0,expected_stable_yield,M3GNet,MACE-MP,alex_pbe_matched_pool_coordinate,0.0030000000000000027,0.008000000000000007,0.015000000000000013,True
0,expected_stable_yield,M3GNet,MACE-MP,alex_pbe_source_coordinate,0.007000000000000006,0.01200000000000001,0.015000000000000013,True
0,expected_stable_yield,M3GNet,MACE-MP,alexmp20_source_coordinate,0.010000000000000009,0.015000000000000013,0.015000000000000013,True
0,expected_stable_yield,M3GNet,MACE-MP,mp_matched_pool_coordinate,0.0030000000000000027,0.008000000000000007,0.015000000000000013,True
0,expected_stable_yield,M3GNet,MACE-MP,mp_source_coordinate,-0.0050000000000000044,0.0,0.015000000000000013,True
0,normalized_ap,ALIGNN-FF,CHGNet,alex_pbe_matched_pool_coordinate,-0.30823801318346944,-0.11004807148122853,0.14956641411236948,False
0,normalized_ap,ALIGNN-FF,CHGNet,alex_pbe_source_coordinate,-0.15867159907109996,0.03951834263114096,0.14956641411236948,False
0,normalized_ap,ALIGNN-FF,CHGNet,alexmp20_source_coordinate,-0.17693829854618293,0.021251643156057987,0.14956641411236948,False
0,normalized_ap,ALIGNN-FF,CHGNet,mp_matched_pool_coordinate,-0.2561991697352023,-0.05800922803296138,0.14956641411236948,False
0,normalized_ap,ALIGNN-FF,CHGNet,mp_source_coordinate,-0.1981899417022409,0.0,0.14956641411236948,False
0,normalized_ap,ALIGNN-FF,M3GNet,alex_pbe_matched_pool_coordinate,-0.2459079822754192,-0.07704752592352831,0.1041218360358781,False
0,normalized_ap,ALIGNN-FF,M3GNet,alex_pbe_source_coordinate,-0.1417861462395411,0.027074310112349786,0.1041218360358781,False
0,normalized_ap,ALIGNN-FF,M3GNet,alexmp20_source_coordinate,-0.1532861264776405,0.015574329874250392,0.1041218360358781,False
0,normalized_ap,ALIGNN-FF,M3GNet,mp_matched_pool_coordinate,-0.20286339995553693,-0.03400294360364603,0.1041218360358781,False
0,normalized_ap,ALIGNN-FF,M3GNet,mp_source_coordinate,-0.1688604563518909,0.0,0.1041218360358781,False
0,normalized_ap,ALIGNN-FF,MACE-MP,alex_pbe_matched_pool_coordinate,-0.36269228305599743,-0.0985417937510743,0.1367912819073902,False
0,normalized_ap,ALIGNN-FF,MACE-MP,alex_pbe_source_coordinate,-0.22590100114860723,0.0382494881563159,0.1367912819073902,False
0,normalized_ap,ALIGNN-FF,MACE-MP,alexmp20_source_coordinate,-0.24306994770617085,0.021080541598752278,0.1367912819073902,False
0,normalized_ap,ALIGNN-FF,MACE-MP,mp_matched_pool_coordinate,-0.3049005988107868,-0.04075010950586366,0.1367912819073902,False
0,normalized_ap,ALIGNN-FF,MACE-MP,mp_source_coordinate,-0.26415048930492313,0.0,0.1367912819073902,False
0,normalized_ap,CHGNet,M3GNet,alex_pbe_matched_pool_coordinate,0.06233003090805023,0.03300054555770021,0.04544457807649138,False
0,normalized_ap,CHGNet,M3GNet,alex_pbe_source_coordinate,0.016885452831558845,-0.01244403251879117,0.04544457807649138,False
0,normalized_ap,CHGNet,M3GNet,alexmp20_source_coordinate,0.02365217206854242,-0.005677313281807594,0.04544457807649138,False
0,normalized_ap,CHGNet,M3GNet,mp_matched_pool_coordinate,0.053335769779665365,0.02400628442931535,0.04544457807649138,False
0,normalized_ap,CHGNet,M3GNet,mp_source_coordinate,0.029329485350350015,0.0,0.04544457807649138,False
0,normalized_ap,CHGNet,MACE-MP,alex_pbe_matched_pool_coordinate,-0.054454269872527994,0.011506277730154224,0.01852797300192277,False
0,normalized_ap,CHGNet,MACE-MP,alex_pbe_source_coordinate,-0.06722940207750727,-0.001268854474825054,0.01852797300192277,False
0,normalized_ap,CHGNet,MACE-MP,alexmp20_source_coordinate,-0.06613164915998793,-0.00017110155730570842,0.01852797300192277,False
0,normalized_ap,CHGNet,MACE-MP,mp_matched_pool_coordinate,-0.0487014290755845,0.017259118527097717,0.01852797300192277,False
0,normalized_ap,CHGNet,MACE-MP,mp_source_coordinate,-0.06596054760268222,0.0,0.01852797300192277,False
0,normalized_ap,M3GNet,MACE-MP,alex_pbe_matched_pool_coordinate,-0.11678430078057822,-0.021494267827545988,0.032669445871512104,False
0,normalized_ap,M3GNet,MACE-MP,alex_pbe_source_coordinate,-0.08411485490906612,0.011175178043966116,0.032669445871512104,False
0,normalized_ap,M3GNet,MACE-MP,alexmp20_source_coordinate,-0.08978382122853035,0.005506211724501886,0.032669445871512104,False
0,normalized_ap,M3GNet,MACE-MP,mp_matched_pool_coordinate,-0.10203719885524987,-0.006747165902217633,0.032669445871512104,False
0,normalized_ap,M3GNet,MACE-MP,mp_source_coordinate,-0.09529003295303223,0.0,0.032669445871512104,False
10,ap,ALIGNN-FF,CHGNet,alex_pbe_matched_pool_coordinate,-0.10683165221759039,-0.006367915359004939,0.007164297685559373,False
10,ap,ALIGNN-FF,CHGNet,alex_pbe_source_coordinate,-0.10000585239336801,0.00045788446521743964,0.007164297685559373,False
10,ap,ALIGNN-FF,CHGNet,alexmp20_source_coordinate,-0.10161355227857238,-0.0011498154199869326,0.007164297685559373,False
10,ap,ALIGNN-FF,CHGNet,mp_matched_pool_coordinate,-0.10717015007892738,-0.0067064132203419335,0.007164297685559373,False
10,ap,ALIGNN-FF,CHGNet,mp_source_coordinate,-0.10046373685858545,0.0,0.007164297685559373,False
10,ap,ALIGNN-FF,M3GNet,alex_pbe_matched_pool_coordinate,-0.08681449541489039,-0.0014276924901535093,0.006099932588348955,False
10,ap,ALIGNN-FF,M3GNet,alex_pbe_source_coordinate,-0.09012409077315864,-0.004737287848421756,0.006099932588348955,False
10,ap,ALIGNN-FF,M3GNet,alexmp20_source_coordinate,-0.08802243571786927,-0.002635632793132392,0.006099932588348955,False
10,ap,ALIGNN-FF,M3GNet,mp_matched_pool_coordinate,-0.08402415818480968,0.001362644739927199,0.006099932588348955,False
10,ap,ALIGNN-FF,M3GNet,mp_source_coordinate,-0.08538680292473688,0.0,0.006099932588348955,False
10,ap,ALIGNN-FF,MACE-MP,alex_pbe_matched_pool_coordinate,-0.12852392870315987,0.007049178888349439,0.012758709292896575,False
10,ap,ALIGNN-FF,MACE-MP,alex_pbe_source_coordinate,-0.14128263799605645,-0.005709530404547136,0.012758709292896575,False
10,ap,ALIGNN-FF,MACE-MP,alexmp20_source_coordinate,-0.14031605571778305,-0.004742948126273738,0.012758709292896575,False
10,ap,ALIGNN-FF,MACE-MP,mp_matched_pool_coordinate,-0.1290006473719153,0.006572460219594012,0.012758709292896575,False
10,ap,ALIGNN-FF,MACE-MP,mp_source_coordinate,-0.1355731075915093,0.0,0.012758709292896575,False
10,ap,CHGNet,M3GNet,alex_pbe_matched_pool_coordinate,0.020017156802699998,0.004940222868851429,0.013264230273908328,False
10,ap,CHGNet,M3GNet,alex_pbe_source_coordinate,0.009881761620209373,-0.005195172313639196,0.013264230273908328,False
10,ap,CHGNet,M3GNet,alexmp20_source_coordinate,0.01359111656070311,-0.0014858173731454594,0.013264230273908328,False
10,ap,CHGNet,M3GNet,mp_matched_pool_coordinate,0.0231459918941177,0.008069057960269133,0.013264230273908328,False
10,ap,CHGNet,M3GNet,mp_source_coordinate,0.015076933933848569,0.0,0.013264230273908328,False
10,ap,CHGNet,MACE-MP,alex_pbe_matched_pool_coordinate,-0.021692276485569484,0.013417094247354378,0.019584509117118953,False
10,ap,CHGNet,MACE-MP,alex_pbe_source_coordinate,-0.04127678560268844,-0.006167414869764576,0.019584509117118953,False
10,ap,CHGNet,MACE-MP,alexmp20_source_coordinate,-0.03870250343921067,-0.0035931327062868057,0.019584509117118953,False
10,ap,CHGNet,MACE-MP,mp_matched_pool_coordinate,-0.021830497292987916,0.013278873439935945,0.019584509117118953,False
10,ap,CHGNet,MACE-MP,mp_source_coordinate,-0.03510937073292386,0.0,0.019584509117118953,False
10,ap,M3GNet,MACE-MP,alex_pbe_matched_pool_coordinate,-0.04170943328826948,0.008476871378502948,0.010584186711644294,False
10,ap,M3GNet,MACE-MP,alex_pbe_source_coordinate,-0.05115854722289781,-0.00097224255612538,0.010584186711644294,False
10,ap,M3GNet,MACE-MP,alexmp20_source_coordinate,-0.052293619999913776,-0.0021073153331413463,0.010584186711644294,False
10,ap,M3GNet,MACE-MP,mp_matched_pool_coordinate,-0.04497648918710562,0.005209815479666813,0.010584186711644294,False
10,ap,M3GNet,MACE-MP,mp_source_coordinate,-0.05018630466677243,0.0,0.010584186711644294,False
10,auroc,ALIGNN-FF,CHGNet,alex_pbe_matched_pool_coordinate,-0.1751253948652305,-0.04273487987803193,0.0485760262510726,False
10,auroc,ALIGNN-FF,CHGNet,alex_pbe_source_coordinate,-0.1265493686141579,0.005841146373040673,0.0485760262510726,False
10,auroc,ALIGNN-FF,CHGNet,alexmp20_source_coordinate,-0.13082497174966212,0.0015655432375364375,0.0485760262510726,False
10,auroc,ALIGNN-FF,CHGNet,mp_matched_pool_coordinate,-0.146871856983962,-0.01448134199676343,0.0485760262510726,False
10,auroc,ALIGNN-FF,CHGNet,mp_source_coordinate,-0.13239051498719856,0.0,0.0485760262510726,False
10,auroc,ALIGNN-FF,M3GNet,alex_pbe_matched_pool_coordinate,-0.13557399514283852,-0.0308794070468984,0.0308794070468984,False
10,auroc,ALIGNN-FF,M3GNet,alex_pbe_source_coordinate,-0.1047321430293926,-3.755493345247718e-05,0.0308794070468984,False
10,auroc,ALIGNN-FF,M3GNet,alexmp20_source_coordinate,-0.1050008618656263,-0.0003062737696861717,0.0308794070468984,False
10,auroc,ALIGNN-FF,M3GNet,mp_matched_pool_coordinate,-0.11091704898295707,-0.006222460887016945,0.0308794070468984,False
10,auroc,ALIGNN-FF,M3GNet,mp_source_coordinate,-0.10469458809594012,0.0,0.0308794070468984,False
