denominator,model_name,label_view,K,metric,value,ci_low_95,ci_high_95,ci_denominator_n,bootstrap_method,metric_status
D5_full_complete,ALIGNN-FF,alexmp20_native,300,recall@300,0.005943424616310563,0.004636697703971338,0.007250151528649787,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,300,DAF@300,0.7284459323904102,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,500,precision@500,0.268,0.22917656064694938,0.3068234393530507,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,stable_yield@500,0.268,0.22917656064694938,0.3068234393530507,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,uncertain_fraction@500,0.0,0.0,0.0,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,false_positive_burden@500,0.732,0.6931765606469493,0.7708234393530506,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,recall@500,0.010081251880830575,0.008382938182147118,0.011779565579514031,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,DAF@500,0.7413551008125189,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,precision@1000,0.323,0.2940164440828942,0.35198355591710584,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,stable_yield@1000,0.323,0.2940164440828942,0.35198355591710584,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,uncertain_fraction@1000,0.0,0.0,0.0,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,false_positive_burden@1000,0.677,0.6480164440828943,0.7059835559171058,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,recall@1000,0.024300331026181163,0.02168259964850937,0.026918062403852954,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,DAF@1000,0.8934988715016552,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,precision@5000,0.2964,0.2837417670359248,0.3090582329640752,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,stable_yield@5000,0.2964,0.2837417670359248,0.3090582329640752,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,uncertain_fraction@5000,0.0,0.0,0.0,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,false_positive_burden@5000,0.7036,0.6909417670359248,0.7162582329640752,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,recall@5000,0.11149563647306651,0.10614482532681807,0.11684644761931495,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,DAF@5000,0.8199166114956365,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,precision@10000,0.3053,0.2962735262618451,0.3143264737381549,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
