denominator,metric,label_view_a,label_view_b,common_real_model_n,real_model_rank_inversion_count,top_real_model_a,top_real_model_b,top_real_model_inversion,claim_interpretation
D5_family_complete,precision,common_pool,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,alex_pbe_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,recall,common_pool,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,recall,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alex_pbe_native,alexmp20_native,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alex_pbe_native,audit_view,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alex_pbe_native,common_pool,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alex_pbe_native,consensus,4,1,CHGNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,alex_pbe_native,mp_native,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alex_pbe_native,uncertain,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alexmp20_native,audit_view,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alexmp20_native,common_pool,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alexmp20_native,consensus,4,0,CHGNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,alexmp20_native,mp_native,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,alexmp20_native,uncertain,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,audit_view,common_pool,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,audit_view,consensus,4,0,CHGNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,audit_view,mp_native,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,audit_view,uncertain,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,common_pool,consensus,4,1,CHGNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,common_pool,mp_native,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,common_pool,uncertain,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@100,consensus,mp_native,4,1,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,consensus,uncertain,4,0,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@100,mp_native,uncertain,4,0,CHGNet,CHGNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,alex_pbe_native,alexmp20_native,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alex_pbe_native,audit_view,4,0,M3GNet,M3GNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,alex_pbe_native,common_pool,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alex_pbe_native,consensus,4,0,M3GNet,M3GNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,alex_pbe_native,mp_native,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alex_pbe_native,uncertain,4,2,M3GNet,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alexmp20_native,audit_view,4,1,MACE-MP,M3GNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,alexmp20_native,consensus,4,1,MACE-MP,M3GNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,alexmp20_native,uncertain,4,1,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,audit_view,common_pool,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,audit_view,consensus,4,0,M3GNet,M3GNet,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,audit_view,mp_native,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,audit_view,uncertain,4,2,M3GNet,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,common_pool,consensus,4,1,MACE-MP,M3GNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@1000,common_pool,uncertain,4,1,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,consensus,mp_native,4,1,M3GNet,MACE-MP,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,consensus,uncertain,4,2,M3GNet,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@1000,mp_native,uncertain,4,1,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@10000,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alex_pbe_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alexmp20_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,alexmp20_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,audit_view,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,audit_view,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,common_pool,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,common_pool,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,consensus,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@10000,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@10000,mp_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,alex_pbe_native,alexmp20_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alex_pbe_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alex_pbe_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alex_pbe_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alexmp20_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,audit_view,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,common_pool,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@300,consensus,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,consensus,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,stable_yield@300,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,alexmp20_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alex_pbe_native,uncertain,4,2,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@500,alexmp20_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,alexmp20_native,uncertain,4,2,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
D5_family_complete,stable_yield@500,audit_view,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,audit_view,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,audit_view,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,stable_yield@500,audit_view,uncertain,4,2,MACE-MP,CHGNet,True,real_model_leader_changes_under_label_views
