cluster,threshold_meV_per_atom,endpoint,K,model,stable_hits_ci_low_95,stable_hits_median,stable_hits_ci_high_95,bootstrap_replicates
chemical_system,0,mp_source_coordinate,100,CHGNet,55.0,65.0,75.0,1000
chemical_system,0,mp_source_coordinate,100,M3GNet,56.0,66.0,75.0,1000
chemical_system,0,mp_source_coordinate,100,MACE-MP,55.0,65.0,74.0,1000
chemical_system,0,mp_source_coordinate,300,ALIGNN-FF,191.975,206.0,222.0,1000
chemical_system,0,mp_source_coordinate,300,CHGNet,189.0,205.0,220.0,1000
chemical_system,0,mp_source_coordinate,300,M3GNet,195.0,210.0,226.0,1000
chemical_system,0,mp_source_coordinate,300,MACE-MP,190.0,206.0,222.0,1000
chemical_system,0,mp_source_coordinate,500,ALIGNN-FF,335.975,354.0,374.0,1000
chemical_system,0,mp_source_coordinate,500,CHGNet,333.0,352.0,372.0,1000
chemical_system,0,mp_source_coordinate,500,M3GNet,335.975,356.0,377.0,1000
chemical_system,0,mp_source_coordinate,500,MACE-MP,337.0,357.0,377.0,1000
chemical_system,0,mp_source_coordinate,1000,ALIGNN-FF,680.0,709.0,738.0,1000
chemical_system,0,mp_source_coordinate,1000,CHGNet,700.0,728.0,756.0,1000
chemical_system,0,mp_source_coordinate,1000,M3GNet,726.975,753.0,779.0,1000
chemical_system,0,mp_source_coordinate,1000,MACE-MP,732.0,758.0,784.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,497.0,500.0,500.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,965.0,975.0,984.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,CHGNet,998.0,1000.0,1000.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,M3GNet,996.0,999.0,1000.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,MACE-MP,992.0,996.0,999.0,1000
chemical_system,10,alex_pbe_source_coordinate,100,ALIGNN-FF,62.0,71.5,81.0,1000
chemical_system,10,alex_pbe_source_coordinate,100,CHGNet,62.0,72.0,81.02499999999998,1000
chemical_system,10,alex_pbe_source_coordinate,100,M3GNet,64.0,73.0,82.0,1000
chemical_system,10,alex_pbe_source_coordinate,100,MACE-MP,64.0,73.0,82.0,1000
chemical_system,10,alex_pbe_source_coordinate,300,ALIGNN-FF,195.0,212.0,226.0,1000
chemical_system,10,alex_pbe_source_coordinate,300,CHGNet,198.975,215.0,231.02499999999998,1000
chemical_system,10,alex_pbe_source_coordinate,300,M3GNet,203.975,219.0,235.0,1000
chemical_system,10,alex_pbe_source_coordinate,300,MACE-MP,197.0,213.0,230.0,1000
chemical_system,10,alex_pbe_source_coordinate,500,ALIGNN-FF,342.0,363.0,383.0,1000
chemical_system,10,alex_pbe_source_coordinate,500,CHGNet,343.0,363.0,384.0,1000
chemical_system,10,alex_pbe_source_coordinate,500,M3GNet,346.0,366.0,385.0,1000
chemical_system,10,alex_pbe_source_coordinate,500,MACE-MP,338.0,359.0,379.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,ALIGNN-FF,674.975,702.5,732.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,CHGNet,704.0,733.0,761.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,M3GNet,724.0,752.5,780.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,MACE-MP,724.0,753.0,778.0,1000
chemical_system,10,alexmp20_source_coordinate,100,ALIGNN-FF,64.0,75.0,84.0,1000
chemical_system,10,alexmp20_source_coordinate,100,CHGNet,63.0,73.0,83.0,1000
chemical_system,10,alexmp20_source_coordinate,100,M3GNet,64.975,74.0,83.0,1000
chemical_system,10,alexmp20_source_coordinate,100,MACE-MP,64.975,74.0,83.0,1000
chemical_system,10,alexmp20_source_coordinate,300,ALIGNN-FF,198.0,214.0,230.0,1000
chemical_system,10,alexmp20_source_coordinate,300,CHGNet,199.0,215.0,231.0,1000
chemical_system,10,alexmp20_source_coordinate,300,M3GNet,204.975,220.0,235.0,1000
chemical_system,10,alexmp20_source_coordinate,300,MACE-MP,201.975,216.0,232.0,1000
chemical_system,10,alexmp20_source_coordinate,500,ALIGNN-FF,343.0,363.0,383.0,1000
chemical_system,10,alexmp20_source_coordinate,500,CHGNet,341.0,362.0,382.0,1000
chemical_system,10,alexmp20_source_coordinate,500,M3GNet,344.0,365.0,385.0,1000
chemical_system,10,alexmp20_source_coordinate,500,MACE-MP,341.975,362.0,381.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,ALIGNN-FF,684.0,713.0,741.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,CHGNet,703.0,733.0,760.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,M3GNet,731.0,759.0,786.0,1000
chemical_system,10,alexmp20_source_coordinate,1000,MACE-MP,728.0,756.0,781.025,1000
chemical_system,10,mp_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,10,mp_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,10,mp_matched_pool_coordinate,300,ALIGNN-FF,295.0,299.0,300.0,1000
chemical_system,10,mp_matched_pool_coordinate,300,CHGNet,293.975,298.0,300.0,1000
chemical_system,10,mp_matched_pool_coordinate,300,M3GNet,294.0,298.0,300.0,1000
chemical_system,10,mp_matched_pool_coordinate,300,MACE-MP,295.0,298.0,300.0,1000
chemical_system,10,mp_matched_pool_coordinate,500,ALIGNN-FF,490.0,496.0,500.0,1000
chemical_system,10,mp_matched_pool_coordinate,500,CHGNet,492.0,497.0,499.025,1000
chemical_system,10,mp_matched_pool_coordinate,500,M3GNet,493.0,497.0,500.0,1000
chemical_system,10,mp_matched_pool_coordinate,500,MACE-MP,493.0,497.0,500.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,ALIGNN-FF,945.975,959.0,971.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,CHGNet,985.0,991.0,997.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,M3GNet,985.0,992.0,997.0,1000
chemical_system,10,mp_matched_pool_coordinate,1000,MACE-MP,982.0,989.0,995.0,1000
chemical_system,10,mp_source_coordinate,100,ALIGNN-FF,68.0,77.0,85.0,1000
chemical_system,10,mp_source_coordinate,100,CHGNet,68.0,77.0,85.0,1000
chemical_system,10,mp_source_coordinate,100,M3GNet,69.0,78.0,86.0,1000
chemical_system,10,mp_source_coordinate,100,MACE-MP,67.0,77.0,85.0,1000
chemical_system,10,mp_source_coordinate,300,ALIGNN-FF,215.0,229.0,243.0,1000
chemical_system,10,mp_source_coordinate,300,CHGNet,214.0,228.0,242.0,1000
chemical_system,10,mp_source_coordinate,300,M3GNet,217.0,231.0,245.0,1000
chemical_system,10,mp_source_coordinate,300,MACE-MP,214.0,228.0,242.0,1000
chemical_system,10,mp_source_coordinate,500,ALIGNN-FF,377.0,395.0,412.0,1000
chemical_system,10,mp_source_coordinate,500,CHGNet,376.0,393.0,411.0,1000
chemical_system,10,mp_source_coordinate,500,M3GNet,378.0,395.0,413.0,1000
chemical_system,10,mp_source_coordinate,500,MACE-MP,378.0,394.5,412.025,1000
chemical_system,10,mp_source_coordinate,1000,ALIGNN-FF,761.0,786.0,812.0,1000
chemical_system,10,mp_source_coordinate,1000,CHGNet,777.975,803.0,826.0,1000
chemical_system,10,mp_source_coordinate,1000,M3GNet,794.975,819.0,842.025,1000
chemical_system,10,mp_source_coordinate,1000,MACE-MP,801.0,825.0,848.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,500.0,500.0,500.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,977.0,985.0,992.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,CHGNet,1000.0,1000.0,1000.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,M3GNet,996.0,999.0,1000.0,1000
chemical_system,25,alex_pbe_matched_pool_coordinate,1000,MACE-MP,995.0,998.0,1000.0,1000
chemical_system,25,alex_pbe_source_coordinate,100,ALIGNN-FF,75.0,85.0,92.0,1000
chemical_system,25,alex_pbe_source_coordinate,100,CHGNet,76.0,85.0,92.0,1000
chemical_system,25,alex_pbe_source_coordinate,100,M3GNet,77.0,85.0,92.0,1000
chemical_system,25,alex_pbe_source_coordinate,100,MACE-MP,77.0,86.0,93.0,1000
chemical_system,25,alex_pbe_source_coordinate,300,ALIGNN-FF,221.0,235.0,248.02499999999998,1000
chemical_system,25,alex_pbe_source_coordinate,300,CHGNet,223.0,237.0,252.0,1000
chemical_system,25,alex_pbe_source_coordinate,300,M3GNet,227.0,241.0,254.0,1000
chemical_system,25,alex_pbe_source_coordinate,300,MACE-MP,222.975,236.0,251.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,ALIGNN-FF,384.0,402.0,420.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,CHGNet,387.0,405.0,423.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,M3GNet,396.0,414.0,432.0,1000
chemical_system,25,alex_pbe_source_coordinate,500,MACE-MP,389.975,407.0,424.0,1000
chemical_system,25,alex_pbe_source_coordinate,1000,ALIGNN-FF,782.0,809.0,833.0,1000
chemical_system,25,alex_pbe_source_coordinate,1000,CHGNet,807.0,832.0,854.025,1000
chemical_system,25,alex_pbe_source_coordinate,1000,M3GNet,821.0,845.0,867.0,1000
chemical_system,25,alex_pbe_source_coordinate,1000,MACE-MP,821.0,845.0,867.0,1000
chemical_system,25,alexmp20_source_coordinate,100,ALIGNN-FF,76.0,86.0,93.0,1000
chemical_system,25,alexmp20_source_coordinate,100,CHGNet,75.0,84.0,91.0,1000
chemical_system,25,alexmp20_source_coordinate,100,M3GNet,76.0,84.0,91.0,1000
chemical_system,25,alexmp20_source_coordinate,100,MACE-MP,76.0,85.0,92.0,1000
chemical_system,25,alexmp20_source_coordinate,300,ALIGNN-FF,223.0,236.0,250.0,1000
chemical_system,25,alexmp20_source_coordinate,300,CHGNet,225.0,239.0,254.0,1000
chemical_system,25,alexmp20_source_coordinate,300,M3GNet,228.975,242.0,255.02499999999998,1000
chemical_system,25,alexmp20_source_coordinate,300,MACE-MP,226.0,240.0,255.0,1000
chemical_system,25,alexmp20_source_coordinate,500,ALIGNN-FF,381.0,401.0,418.0,1000
chemical_system,25,alexmp20_source_coordinate,500,CHGNet,383.975,403.0,420.0,1000
chemical_system,25,alexmp20_source_coordinate,500,M3GNet,391.0,409.0,426.0,1000
chemical_system,25,alexmp20_source_coordinate,500,MACE-MP,388.0,408.0,423.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,ALIGNN-FF,781.0,809.0,834.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,CHGNet,802.0,828.0,851.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,M3GNet,819.975,844.0,867.0,1000
chemical_system,25,alexmp20_source_coordinate,1000,MACE-MP,819.0,844.0,865.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,25,mp_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,25,mp_matched_pool_coordinate,300,ALIGNN-FF,295.0,299.0,300.0,1000
chemical_system,25,mp_matched_pool_coordinate,300,CHGNet,293.975,298.0,300.0,1000
chemical_system,25,mp_matched_pool_coordinate,300,M3GNet,294.0,298.0,300.0,1000
chemical_system,25,mp_matched_pool_coordinate,300,MACE-MP,295.0,298.0,300.0,1000
chemical_system,25,mp_matched_pool_coordinate,500,ALIGNN-FF,491.0,497.0,500.0,1000
chemical_system,25,mp_matched_pool_coordinate,500,CHGNet,492.0,497.0,499.025,1000
chemical_system,25,mp_matched_pool_coordinate,500,M3GNet,493.0,497.0,500.0,1000
chemical_system,25,mp_matched_pool_coordinate,500,MACE-MP,493.0,497.0,500.0,1000
chemical_system,25,mp_matched_pool_coordinate,1000,ALIGNN-FF,960.0,971.0,980.0,1000
chemical_system,25,mp_matched_pool_coordinate,1000,CHGNet,987.0,993.0,998.0,1000
chemical_system,25,mp_matched_pool_coordinate,1000,M3GNet,987.0,993.0,998.0,1000
chemical_system,25,mp_matched_pool_coordinate,1000,MACE-MP,985.0,991.0,997.0,1000
chemical_system,25,mp_source_coordinate,100,ALIGNN-FF,79.975,87.0,93.0,1000
chemical_system,25,mp_source_coordinate,100,CHGNet,79.0,86.0,93.0,1000
chemical_system,25,mp_source_coordinate,100,M3GNet,79.0,87.0,93.0,1000
chemical_system,25,mp_source_coordinate,100,MACE-MP,79.0,87.0,93.0,1000
chemical_system,25,mp_source_coordinate,300,ALIGNN-FF,235.975,249.0,261.0,1000
chemical_system,25,mp_source_coordinate,300,CHGNet,236.0,248.0,261.0,1000
chemical_system,25,mp_source_coordinate,300,M3GNet,239.0,251.0,263.0,1000
chemical_system,25,mp_source_coordinate,300,MACE-MP,235.0,247.0,260.0,1000
chemical_system,25,mp_source_coordinate,500,ALIGNN-FF,408.0,423.0,439.0,1000
chemical_system,25,mp_source_coordinate,500,CHGNet,406.0,422.0,438.0,1000
chemical_system,25,mp_source_coordinate,500,M3GNet,412.975,428.0,443.0,1000
chemical_system,25,mp_source_coordinate,500,MACE-MP,410.0,425.0,440.0,1000
chemical_system,25,mp_source_coordinate,1000,ALIGNN-FF,829.0,852.0,874.0,1000
chemical_system,25,mp_source_coordinate,1000,CHGNet,846.0,867.0,888.0,1000
chemical_system,25,mp_source_coordinate,1000,M3GNet,855.0,877.0,896.0,1000
chemical_system,25,mp_source_coordinate,1000,MACE-MP,858.0,879.0,899.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,500.0,500.0,500.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,987.0,993.0,998.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,CHGNet,1000.0,1000.0,1000.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,M3GNet,1000.0,1000.0,1000.0,1000
chemical_system,50,alex_pbe_matched_pool_coordinate,1000,MACE-MP,995.0,998.0,1000.0,1000
chemical_system,50,alex_pbe_source_coordinate,100,ALIGNN-FF,82.0,90.0,96.0,1000
chemical_system,50,alex_pbe_source_coordinate,100,CHGNet,83.0,90.0,95.0,1000
chemical_system,50,alex_pbe_source_coordinate,100,M3GNet,84.0,90.0,96.0,1000
chemical_system,50,alex_pbe_source_coordinate,100,MACE-MP,83.0,91.0,96.0,1000
chemical_system,50,alex_pbe_source_coordinate,300,ALIGNN-FF,243.975,256.0,267.0,1000
chemical_system,50,alex_pbe_source_coordinate,300,CHGNet,245.0,257.0,269.0,1000
chemical_system,50,alex_pbe_source_coordinate,300,M3GNet,249.0,261.0,272.0,1000
chemical_system,50,alex_pbe_source_coordinate,300,MACE-MP,245.0,257.0,270.0,1000
chemical_system,50,alex_pbe_source_coordinate,500,ALIGNN-FF,415.0,431.0,446.0,1000
chemical_system,50,alex_pbe_source_coordinate,500,CHGNet,421.0,437.0,451.0,1000
chemical_system,50,alex_pbe_source_coordinate,500,M3GNet,426.0,442.0,457.0,1000
chemical_system,50,alex_pbe_source_coordinate,500,MACE-MP,422.975,437.0,452.025,1000
chemical_system,50,alex_pbe_source_coordinate,1000,ALIGNN-FF,848.0,871.0,892.0,1000
chemical_system,50,alex_pbe_source_coordinate,1000,CHGNet,875.0,895.0,913.0,1000
chemical_system,50,alex_pbe_source_coordinate,1000,M3GNet,884.0,902.0,921.0,1000
chemical_system,50,alex_pbe_source_coordinate,1000,MACE-MP,886.0,905.0,923.0,1000
chemical_system,50,alexmp20_source_coordinate,100,ALIGNN-FF,83.0,91.0,97.0,1000
chemical_system,50,alexmp20_source_coordinate,100,CHGNet,83.0,90.0,96.0,1000
chemical_system,50,alexmp20_source_coordinate,100,M3GNet,84.0,90.0,96.0,1000
chemical_system,50,alexmp20_source_coordinate,100,MACE-MP,83.0,91.0,97.0,1000
chemical_system,50,alexmp20_source_coordinate,300,ALIGNN-FF,245.0,258.0,269.0,1000
chemical_system,50,alexmp20_source_coordinate,300,CHGNet,247.0,260.0,271.0,1000
chemical_system,50,alexmp20_source_coordinate,300,M3GNet,252.0,263.0,274.0,1000
chemical_system,50,alexmp20_source_coordinate,300,MACE-MP,248.0,261.0,273.0,1000
chemical_system,50,alexmp20_source_coordinate,500,ALIGNN-FF,420.0,436.0,451.0,1000
chemical_system,50,alexmp20_source_coordinate,500,CHGNet,422.0,438.0,453.0,1000
chemical_system,50,alexmp20_source_coordinate,500,M3GNet,422.0,438.0,453.0,1000
chemical_system,50,alexmp20_source_coordinate,500,MACE-MP,421.975,438.0,452.0,1000
chemical_system,50,alexmp20_source_coordinate,1000,ALIGNN-FF,850.975,874.0,895.0,1000
chemical_system,50,alexmp20_source_coordinate,1000,CHGNet,874.0,894.0,912.0,1000
chemical_system,50,alexmp20_source_coordinate,1000,M3GNet,885.0,905.0,923.0,1000
chemical_system,50,alexmp20_source_coordinate,1000,MACE-MP,885.0,904.0,922.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,50,mp_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
chemical_system,50,mp_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
chemical_system,50,mp_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
chemical_system,50,mp_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
chemical_system,50,mp_matched_pool_coordinate,500,ALIGNN-FF,500.0,500.0,500.0,1000
