cluster,threshold_meV_per_atom,endpoint,K,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
chemical_system,0,mp_source_coordinate,1000,CHGNet,0.0,0.0,1000
chemical_system,0,mp_source_coordinate,1000,M3GNet,0.2535,253.5,1000
chemical_system,0,mp_source_coordinate,1000,MACE-MP,0.7465,746.5,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,CHGNet,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,M3GNet,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,300,MACE-MP,0.25,250.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,0.185,185.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,CHGNet,0.27166666666666667,271.6666666666667,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,M3GNet,0.27166666666666667,271.6666666666667,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,500,MACE-MP,0.27166666666666667,271.6666666666667,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,CHGNet,0.7421666666666666,742.1666666666666,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,M3GNet,0.24616666666666664,246.16666666666666,1000
chemical_system,10,alex_pbe_matched_pool_coordinate,1000,MACE-MP,0.011666666666666665,11.666666666666666,1000
chemical_system,10,alex_pbe_source_coordinate,100,ALIGNN-FF,0.18358333333333335,183.58333333333334,1000
chemical_system,10,alex_pbe_source_coordinate,100,CHGNet,0.10675,106.75,1000
chemical_system,10,alex_pbe_source_coordinate,100,M3GNet,0.37958333333333333,379.5833333333333,1000
chemical_system,10,alex_pbe_source_coordinate,100,MACE-MP,0.33008333333333334,330.0833333333333,1000
chemical_system,10,alex_pbe_source_coordinate,300,ALIGNN-FF,0.0115,11.5,1000
chemical_system,10,alex_pbe_source_coordinate,300,CHGNet,0.08166666666666667,81.66666666666667,1000
chemical_system,10,alex_pbe_source_coordinate,300,M3GNet,0.8456666666666667,845.6666666666666,1000
chemical_system,10,alex_pbe_source_coordinate,300,MACE-MP,0.06116666666666666,61.166666666666664,1000
chemical_system,10,alex_pbe_source_coordinate,500,ALIGNN-FF,0.21733333333333335,217.33333333333334,1000
chemical_system,10,alex_pbe_source_coordinate,500,CHGNet,0.15966666666666665,159.66666666666666,1000
chemical_system,10,alex_pbe_source_coordinate,500,M3GNet,0.6091666666666666,609.1666666666666,1000
chemical_system,10,alex_pbe_source_coordinate,500,MACE-MP,0.013833333333333335,13.833333333333334,1000
chemical_system,10,alex_pbe_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,CHGNet,0.0,0.0,1000
chemical_system,10,alex_pbe_source_coordinate,1000,M3GNet,0.5125,512.5,1000
chemical_system,10,alex_pbe_source_coordinate,1000,MACE-MP,0.4875,487.5,1000
chemical_system,10,alexmp20_source_coordinate,100,ALIGNN-FF,0.417,417.0,1000
chemical_system,10,alexmp20_source_coordinate,100,CHGNet,0.11383333333333333,113.83333333333333,1000
chemical_system,10,alexmp20_source_coordinate,100,M3GNet,0.2785,278.5,1000
chemical_system,10,alexmp20_source_coordinate,100,MACE-MP,0.19066666666666665,190.66666666666666,1000
