row_id,formula,chemical_system,source_native_mp_ehull,source_native_alex_pbe_ehull,source_native_mp_label,source_native_alex_pbe_label,discordant_zero_mev,mp_ehull_mev,alexandria_ehull_mev
SAS36K-00081,Co2B4Mo,B-Co-Mo,0.012413880000002,0.024840662,False,False,False,12.413880000002,24.840662
SAS36K-00082,Sm6GaCo2,Co-Ga-Sm,0.0,0.0022473736,True,False,True,0.0,2.2473736000000004
SAS36K-00083,Sm2InHg,Hg-In-Sm,0.0,0.00958594,True,False,True,0.0,9.585939999999999
SAS36K-00084,VCoB3,B-Co-V,0.0,0.000373045,True,False,True,0.0,0.373045
SAS36K-00085,Sm3In,In-Sm,0.011247223749999,0.010054113,False,False,False,11.247223749999,10.054113
SAS36K-00086,Sm2AlGe6,Al-Ge-Sm,0.01337301111111,0.013810648,False,False,False,13.37301111111,13.810648
SAS36K-00087,SmGe2Pt,Ge-Pt-Sm,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00088,SmGd3,Gd-Sm,0.002222463750001,0.010033889,False,False,False,2.2224637500010003,10.033889
SAS36K-00089,YbCo3B2,B-Co-Yb,0.0,0.04401041,True,False,True,0.0,44.01041
SAS36K-00090,Tb2Co3Ge5,Co-Ge-Tb,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00091,Sm3Gd,Gd-Sm,0.635473080000004,0.023337254,False,False,False,635.4730800000041,23.337254
SAS36K-00092,LaPrIn2,In-La-Pr,0.012041219583331,0.003262665,False,False,False,12.041219583331001,3.262665
SAS36K-00093,Gd2AgRh,Ag-Gd-Rh,0.013761679999994,0.027897917,False,False,False,13.761679999994,27.897917
SAS36K-00094,P2S7,P-S,0.001651957777777,0.001967999,False,False,False,1.651957777777,1.9679989999999998
SAS36K-00095,Hf3Pb,Hf-Pb,0.031697170000001,0.027834,False,False,False,31.697170000001,27.834
SAS36K-00096,Eu(MgBi)2,Bi-Eu-Mg,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00097,GdB12,B-Gd,0.017602166538461,0.010616184,False,False,False,17.602166538461,10.616184
SAS36K-00098,EuInNi5,Eu-In-Ni,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00099,CeSm3,Ce-Sm,0.077930782500001,0.080861785,False,False,False,77.930782500001,80.86178500000001
SAS36K-00100,CeYTl2,Ce-Tl-Y,0.0,0.01451615,True,False,True,0.0,14.51615
SAS36K-00101,Nd7Co3,Co-Nd,0.064786025249999,0.022014285,False,False,False,64.786025249999,22.014285
SAS36K-00102,CdSnSb2,Cd-Sb-Sn,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00103,Ce(FeB)4,B-Ce-Fe,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00104,CeLu3,Ce-Lu,0.024845188749999,0.05551257,False,False,False,24.845188749999,55.51257
SAS36K-00105,Ce(YS2)3,Ce-S-Y,0.0,0.004318691,True,False,True,0.0,4.318691
SAS36K-00106,CeY3,Ce-Y,0.075232209999999,0.07556168,False,False,False,75.232209999999,75.56168000000001
SAS36K-00107,Er2Co3Ge5,Co-Er-Ge,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00108,AgSO4,Ag-O-S,0.011683758124999,0.0013758742,False,False,False,11.683758124998999,1.3758742000000002
SAS36K-00109,Ce2MnN3,Ce-Mn-N,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00110,KNdS2,K-Nd-S,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00111,KYS2,K-S-Y,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00112,KSmSe2,K-Se-Sm,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00113,Ce(P3Ru)4,Ce-P-Ru,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00114,DySb,Dy-Sb,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00115,GeSe2,Ge-Se,0.012493755416668,0.01655599,False,False,False,12.493755416668,16.55599
SAS36K-00116,Hf3(NiGe)4,Ge-Hf-Ni,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00117,KLuS2,K-Lu-S,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00118,KNaH2,H-K-Na,0.05538761,0.055084836,False,False,False,55.387609999999995,55.084835999999996
SAS36K-00119,InAs,As-In,0.007695065,0.0074421973,False,False,False,7.6950650000000005,7.4421973
SAS36K-00120,HfPd3,Hf-Pd,0.014758419999946,0.01832716,False,False,False,14.758419999946,18.32716
SAS36K-00121,InSb,In-Sb,0.00578149,0.009183803,False,False,False,5.78149,9.183803000000001
SAS36K-00122,HoTlTe2,Ho-Te-Tl,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00123,InPd3,In-Pd,0.00557642875,0.00345608,False,False,False,5.57642875,3.45608
SAS36K-00124,HoTlS2,Ho-S-Tl,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00125,HoAu,Au-Ho,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00126,HfPt,Hf-Pt,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00127,HfPd,Hf-Pd,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00128,HfAl3,Al-Hf,0.026835965,0.017786155,False,False,False,26.835964999999998,17.786155
SAS36K-00129,HfCd,Cd-Hf,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00130,Ge,Ge,0.016676869999999,0.014089735,False,False,False,16.676869999999,14.089735000000001
SAS36K-00131,HfIr,Hf-Ir,0.0,0.046616547,True,False,True,0.0,46.616547000000004
SAS36K-00132,TbTiGe,Ge-Tb-Ti,0.022427913333334,0.019714285,False,False,False,22.427913333334,19.714285
SAS36K-00133,GaCo2Ni,Co-Ga-Ni,0.094408476346153,0.109949954,False,False,False,94.408476346153,109.949954
SAS36K-00134,FeCo3,Co-Fe,0.056625132499999,0.056686014,False,False,False,56.625132499999005,56.686014
SAS36K-00135,Fe3Ni,Fe-Ni,0.059104549999999,0.06673045,False,False,False,59.104549999999,66.73044999999999
SAS36K-00136,FeNi3,Fe-Ni,0.0170325225,0.020182885,False,False,False,17.032522500000002,20.182885000000002
SAS36K-00137,Fe3Ni,Fe-Ni,0.0763760375,0.07540993,False,False,False,76.3760375,75.40993
SAS36K-00138,FeB,B-Fe,0.0,0.0066577424,True,False,True,0.0,6.6577424
SAS36K-00139,EuTlS2,Eu-S-Tl,0.025886427962962,0.026519727,False,False,False,25.886427962962,26.519727
SAS36K-00140,ErTlTe2,Er-Te-Tl,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00141,DyTlTe2,Dy-Te-Tl,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00142,NaEuS2,Eu-Na-S,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00143,DyAu,Au-Dy,0.0,0.0,True,True,False,0.0,0.0
