ranking,ranking_score,ranking_direction,K,label_view,topk_n,evaluation_n,retained_fraction,stable_n,stable_fraction,bootstrap_ci_low,bootstrap_ci_high,bootstrap_n,bootstrap_seed,evidence_scope
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,100,official_Alexandria_PBE,100,100,1.0,82,0.82,0.74,0.89,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,100,consensus_all_three_stable,100,100,1.0,79,0.79,0.71,0.8602499999999986,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,100,conflict_excluded_consensus,100,79,0.79,79,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,500,MP,500,500,1.0,464,0.928,0.904,0.95,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,500,MatterGen_alex_mp20,500,500,1.0,500,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,500,official_Alexandria_PBE,500,500,1.0,426,0.852,0.822,0.882,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,500,consensus_all_three_stable,500,500,1.0,406,0.812,0.778,0.846,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,500,conflict_excluded_consensus,500,406,0.812,406,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,1000,MP,1000,1000,1.0,926,0.926,0.91,0.942,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,1000,MatterGen_alex_mp20,1000,1000,1.0,1000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,1000,official_Alexandria_PBE,1000,1000,1.0,855,0.855,0.833,0.8760249999999998,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,1000,consensus_all_three_stable,1000,1000,1.0,809,0.809,0.785,0.834,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,1000,conflict_excluded_consensus,1000,809,0.809,809,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,5000,MP,5000,5000,1.0,4499,0.8998,0.8914,0.9076,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,5000,MatterGen_alex_mp20,5000,5000,1.0,5000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,5000,official_Alexandria_PBE,5000,5000,1.0,4000,0.8,0.7886,0.8108,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,5000,consensus_all_three_stable,5000,5000,1.0,3727,0.7454,0.733795,0.7572,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,5000,conflict_excluded_consensus,5000,3727,0.7454,3727,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,100,MP,100,100,1.0,94,0.94,0.89,0.98,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,100,MatterGen_alex_mp20,100,100,1.0,98,0.98,0.95,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,100,official_Alexandria_PBE,100,100,1.0,100,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,100,consensus_all_three_stable,100,100,1.0,94,0.94,0.89,0.98,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,100,conflict_excluded_consensus,100,94,0.94,94,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,500,MP,500,500,1.0,467,0.934,0.912,0.954,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,500,MatterGen_alex_mp20,500,500,1.0,478,0.956,0.938,0.974,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,500,official_Alexandria_PBE,500,500,1.0,500,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,500,consensus_all_three_stable,500,500,1.0,456,0.912,0.886,0.938,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,500,conflict_excluded_consensus,500,456,0.912,456,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,1000,MP,1000,1000,1.0,915,0.915,0.897,0.932,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,1000,MatterGen_alex_mp20,1000,1000,1.0,934,0.934,0.919,0.949,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,1000,official_Alexandria_PBE,1000,1000,1.0,1000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,1000,consensus_all_three_stable,1000,1000,1.0,883,0.883,0.863,0.903,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,1000,conflict_excluded_consensus,1000,883,0.883,883,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,5000,MP,5000,5000,1.0,4354,0.8708,0.8616,0.8798,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,5000,MatterGen_alex_mp20,5000,5000,1.0,4393,0.8786,0.8694,0.8874,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,5000,official_Alexandria_PBE,5000,5000,1.0,5000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,5000,consensus_all_three_stable,5000,5000,1.0,4094,0.8188,0.808,0.8294,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
official_Alexandria_PBE_source_native_ehull_rank,official_alexandria_e_above_hull,ascending_lower_ehull_first,5000,conflict_excluded_consensus,5000,4094,0.8188,4094,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
