cutoff_mev_atom,source_pair,stratum_type,stratum,n,chemical_system_n,conflict_n,conflict_fraction,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_unit,n_bootstrap,bootstrap_seed,evidence_scope
1,MP--alex-mp-20,element_count,quaternary_or_higher,7315,5264,572,0.07819548872180451,0.07149426309723494,0.08540459425057975,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_family,transition_metal_present,27596,14434,3011,0.10911001594433976,0.10458776937780428,0.1138397572685638,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_family,lanthanide_present,13384,7762,1769,0.13217274357441722,0.12598010666966733,0.13845712422846695,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_family,oxygen_present,9308,4393,687,0.07380747743876236,0.06699230785532219,0.0810813813146628,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_family,halogen_present,4954,2810,764,0.1542188130803391,0.13436490997447534,0.17649681281094526,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,overall,all,36802,19361,5189,0.140997771860225,0.13660898697740617,0.1454824320404594,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_count,unary,120,61,30,0.25,0.16296296296296298,0.34513274336283184,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_count,binary,7259,1975,1122,0.15456674473067916,0.14308516918059044,0.1664262000660702,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_count,ternary,22108,12061,3329,0.15057897593631264,0.1446342659381457,0.1566540570559584,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,708,0.09678742310321257,0.0890190032242497,0.10513821227415697,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,3909,0.14165096390781273,0.1361512812211263,0.1471178494273381,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,2139,0.15981769276748356,0.1533488293863759,0.16647983455690143,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,868,0.09325311559948432,0.08510075938322241,0.10135439079195745,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--official_Alexandria_PBE,element_family,halogen_present,4954,2810,736,0.1485668146951958,0.12971275190834178,0.16813172707156987,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,overall,all,36802,19361,3456,0.0939079397858812,0.09036669271623105,0.09750357379653786,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_count,unary,120,61,24,0.2,0.12307692307692308,0.28703703703703703,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_count,binary,7259,1975,608,0.08375809340129495,0.07628956672463569,0.09144848380312674,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_count,ternary,22108,12061,2182,0.09869730414329654,0.09412386161939724,0.1033057898088241,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,642,0.08776486671223513,0.07991371199179918,0.09574355962279613,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,2539,0.09200608783881722,0.08793423877464648,0.09613342713678995,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1431,0.10691870890615661,0.10135606681486471,0.1124509955432098,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,814,0.08745165449076063,0.07963381894342325,0.09564242756114134,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,alex-mp-20--official_Alexandria_PBE,element_family,halogen_present,4954,2810,524,0.10577311263625354,0.0921851820230506,0.12064582127374184,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,overall,all,36802,19361,4133,0.1123036791478724,0.10835560571534189,0.11632091276821578,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_count,unary,120,61,26,0.21666666666666667,0.13793103448275862,0.30770833333333314,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_count,binary,7259,1975,870,0.11985121917619507,0.11042397530720534,0.12995158578725086,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_count,ternary,22108,12061,2647,0.11973041432965442,0.11441032070126529,0.1247083355939279,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_count,quaternary_or_higher,7315,5264,590,0.08065618591934381,0.07347531953463164,0.08786216996104458,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_family,transition_metal_present,27596,14434,2958,0.10718944774605015,0.10249367891665163,0.11205292136092186,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_family,lanthanide_present,13384,7762,1742,0.13015540944411239,0.12385784148741956,0.1363604005361995,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_family,oxygen_present,9308,4393,708,0.07606360120326601,0.06914476450951929,0.08324129730190886,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
5,MP--alex-mp-20,element_family,halogen_present,4954,2810,740,0.14937424303593055,0.13053546597838755,0.17054497297536522,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
10,MP--official_Alexandria_PBE,overall,all,36802,19361,4886,0.132764523667192,0.1282975707340208,0.13713299473704846,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
