model_name,coordinate_endpoint,endpoint_label,K,support_n,positive_n,expected_stable_hits,stable_yield,recall,boundary_tie_n,ranking_estimand,tie_policy
CHGNet,official__mp_source_coordinate,MP native,5000,36650,15001,3969.0,0.7938,0.2645823611759216,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__mp_source_coordinate,MP native,10000,36650,15001,7646.0,0.7646,0.5096993533764416,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,100,36650,13266,69.0,0.69,0.005201266395296246,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,300,36650,13266,187.0,0.6233333333333333,0.014096185737976783,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,500,36650,13266,314.0,0.628,0.0236695311322177,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,1000,36650,13266,645.0,0.645,0.04862053369516056,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,5000,36650,13266,3541.0,0.7082,0.2669229609528117,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alexmp20_source_coordinate,alex-mp-20 native,10000,36650,13266,6810.0,0.681,0.5133423790140208,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,100,36650,12148,45.0,0.45,0.0037043134672374053,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,300,36650,12148,152.0,0.5066666666666667,0.012512347711557459,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,500,36650,12148,277.0,0.554,0.022802107342772472,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,1000,36650,12148,576.0,0.576,0.04741521238063879,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,5000,36650,12148,3317.0,0.6634,0.2730490615739216,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,10000,36650,12148,6332.0,0.6332,0.5212380638788278,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,100,36650,15001,66.0,0.66,0.004399706686220918,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,300,36650,15001,212.0,0.7066666666666667,0.01413239117392174,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,500,36650,15001,355.0,0.71,0.023665088994067062,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,1000,36650,15001,754.0,0.754,0.05026331577894807,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,5000,36650,15001,3948.0,0.7896,0.2631824545030331,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__mp_source_coordinate,MP native,10000,36650,15001,7478.0,0.7478,0.4985000999933338,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,100,36650,13266,71.0,0.71,0.0053520277400874415,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,300,36650,13266,196.0,0.6533333333333333,0.014774611789537163,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,500,36650,13266,320.0,0.64,0.024121815166591287,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,1000,36650,13266,677.0,0.677,0.051032715211819686,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,5000,36650,13266,3522.0,0.7044,0.26549072817729535,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alexmp20_source_coordinate,alex-mp-20 native,10000,36650,13266,6669.0,0.6669,0.5027137042062415,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,100,36650,12148,48.0,0.48,0.003951267698386566,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,300,36650,12148,162.0,0.54,0.01333552848205466,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,500,36650,12148,283.0,0.566,0.023296015805070795,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,1000,36650,12148,605.0,0.605,0.04980243661508067,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,5000,36650,12148,3335.0,0.667,0.2745307869608166,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
M3GNet,official__alex_pbe_source_coordinate,Alexandria-PBE native,10000,36650,12148,6256.0,0.6256,0.5149818900230491,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,100,36650,15001,66.0,0.66,0.004399706686220918,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,300,36650,15001,205.0,0.6833333333333333,0.013665755616292246,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,500,36650,15001,356.0,0.712,0.02373175121658556,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,1000,36650,15001,759.0,0.759,0.05059662689154056,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,5000,36650,15001,4054.0,0.8108,0.270248650089994,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__mp_source_coordinate,MP native,10000,36650,15001,8001.0,0.8001,0.5333644423705086,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,100,36650,13266,71.0,0.71,0.0053520277400874415,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,300,36650,13266,188.0,0.6266666666666667,0.01417156641037238,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,500,36650,13266,321.0,0.642,0.024197195838986885,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,1000,36650,13266,667.0,0.667,0.05027890848786371,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,5000,36650,13266,3670.0,0.734,0.27664706769184383,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alexmp20_source_coordinate,alex-mp-20 native,10000,36650,13266,7185.0,0.7185,0.54161013116237,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,100,36650,12148,46.0,0.46,0.0037866315442871253,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,300,36650,12148,153.0,0.51,0.012594665788607178,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,500,36650,12148,282.0,0.564,0.023213697728021072,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,1000,36650,12148,598.0,0.598,0.04922621007573263,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,5000,36650,12148,3453.0,0.6906,0.2842443200526836,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
MACE-MP,official__alex_pbe_source_coordinate,Alexandria-PBE native,10000,36650,12148,6765.0,0.6765,0.5568817912413566,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
