label_view,metric,model_name,point_estimate_winner,winner_probability,bootstrap_replicates,cluster
alexmp20_native,stable_yield_at_1000,CHGNet,False,0.0,1000,chemical_system
alexmp20_native,stable_yield_at_1000,M3GNet,False,0.0,1000,chemical_system
alexmp20_native,stable_yield_at_1000,MACE-MP,True,1.0,1000,chemical_system
alex_pbe_native,f1_fixed_threshold,ALIGNN-FF,False,0.0,1000,chemical_system
alex_pbe_native,f1_fixed_threshold,CHGNet,False,0.0,1000,chemical_system
alex_pbe_native,f1_fixed_threshold,M3GNet,False,0.0,1000,chemical_system
alex_pbe_native,f1_fixed_threshold,MACE-MP,True,1.0,1000,chemical_system
alex_pbe_native,auroc,ALIGNN-FF,False,0.0,1000,chemical_system
alex_pbe_native,auroc,CHGNet,False,0.0,1000,chemical_system
alex_pbe_native,auroc,M3GNet,False,0.0,1000,chemical_system
alex_pbe_native,auroc,MACE-MP,True,1.0,1000,chemical_system
alex_pbe_native,auprc,ALIGNN-FF,False,0.0,1000,chemical_system
alex_pbe_native,auprc,CHGNet,False,0.0,1000,chemical_system
alex_pbe_native,auprc,M3GNet,False,0.0,1000,chemical_system
alex_pbe_native,auprc,MACE-MP,True,1.0,1000,chemical_system
alex_pbe_native,ap_lift,ALIGNN-FF,False,0.0,1000,chemical_system
alex_pbe_native,ap_lift,CHGNet,False,0.0,1000,chemical_system
alex_pbe_native,ap_lift,M3GNet,False,0.0,1000,chemical_system
alex_pbe_native,ap_lift,MACE-MP,True,1.0,1000,chemical_system
alex_pbe_native,stable_yield_at_1000,ALIGNN-FF,False,0.0,1000,chemical_system
alex_pbe_native,stable_yield_at_1000,CHGNet,False,0.0,1000,chemical_system
alex_pbe_native,stable_yield_at_1000,M3GNet,False,0.0,1000,chemical_system
alex_pbe_native,stable_yield_at_1000,MACE-MP,True,1.0,1000,chemical_system
common_pool,f1_fixed_threshold,ALIGNN-FF,False,0.0,1000,chemical_system
common_pool,f1_fixed_threshold,CHGNet,False,0.0,1000,chemical_system
common_pool,f1_fixed_threshold,M3GNet,False,0.0,1000,chemical_system
common_pool,f1_fixed_threshold,MACE-MP,True,1.0,1000,chemical_system
common_pool,auroc,ALIGNN-FF,False,0.0,1000,chemical_system
common_pool,auroc,CHGNet,False,0.0,1000,chemical_system
common_pool,auroc,M3GNet,False,0.0,1000,chemical_system
common_pool,auroc,MACE-MP,True,1.0,1000,chemical_system
common_pool,auprc,ALIGNN-FF,False,0.0,1000,chemical_system
common_pool,auprc,CHGNet,False,0.0,1000,chemical_system
common_pool,auprc,M3GNet,False,0.0,1000,chemical_system
common_pool,auprc,MACE-MP,True,1.0,1000,chemical_system
common_pool,ap_lift,ALIGNN-FF,False,0.0,1000,chemical_system
common_pool,ap_lift,CHGNet,False,0.0,1000,chemical_system
common_pool,ap_lift,M3GNet,False,0.0,1000,chemical_system
common_pool,ap_lift,MACE-MP,True,1.0,1000,chemical_system
common_pool,stable_yield_at_1000,ALIGNN-FF,False,0.0,1000,chemical_system
common_pool,stable_yield_at_1000,CHGNet,False,0.0,1000,chemical_system
common_pool,stable_yield_at_1000,M3GNet,False,0.0,1000,chemical_system
common_pool,stable_yield_at_1000,MACE-MP,True,1.0,1000,chemical_system
audit_view,f1_fixed_threshold,ALIGNN-FF,False,0.0,1000,chemical_system
audit_view,f1_fixed_threshold,CHGNet,False,0.0,1000,chemical_system
audit_view,f1_fixed_threshold,M3GNet,False,0.0,1000,chemical_system
audit_view,f1_fixed_threshold,MACE-MP,True,1.0,1000,chemical_system
audit_view,auroc,ALIGNN-FF,False,0.0,1000,chemical_system
audit_view,auroc,CHGNet,False,0.0,1000,chemical_system
audit_view,auroc,M3GNet,False,0.0,1000,chemical_system
audit_view,auroc,MACE-MP,True,1.0,1000,chemical_system
audit_view,auprc,ALIGNN-FF,False,0.0,1000,chemical_system
audit_view,auprc,CHGNet,False,0.0,1000,chemical_system
audit_view,auprc,M3GNet,False,0.0,1000,chemical_system
audit_view,auprc,MACE-MP,True,1.0,1000,chemical_system
audit_view,ap_lift,ALIGNN-FF,False,0.0,1000,chemical_system
audit_view,ap_lift,CHGNet,False,0.0,1000,chemical_system
audit_view,ap_lift,M3GNet,False,0.0,1000,chemical_system
audit_view,ap_lift,MACE-MP,True,1.0,1000,chemical_system
audit_view,stable_yield_at_1000,ALIGNN-FF,False,0.0,1000,chemical_system
audit_view,stable_yield_at_1000,CHGNet,False,0.0,1000,chemical_system
audit_view,stable_yield_at_1000,M3GNet,False,0.0,1000,chemical_system
audit_view,stable_yield_at_1000,MACE-MP,True,1.0,1000,chemical_system
