reduced_formula,official_alexandria_formula_prefilter_candidates
Al2PbS4,1
Al2PbSe4,3
Al2Pd,7
Al2PdRu,4
Al2Pt,25
Al2Ru,20
Al2RuPt,12
Al2RuRh,16
Al2S3,15
Al2Se3,14
Al2Si2H4O9,11
Al2Si4Mo3,1
Al2Si4O11,1
Al2SiAg7,1
Al2SiO5,9
Al2Te3,12
Al2Te5,2
Al2VNi9,1
Al2Zn,22
Al2Zn2S5,7
Al2ZnO4,5
Al2ZnS4,14
Al2ZnSe4,6
Al2ZnTe4,3
Al3(BRu2)2,1
Al3Ag,32
Al3BC,3
Al3BC3,2
Al3Bi(BO3)4,1
Al3Co3Si4,1
Al3Cr,20
Al3CrO6,2
Al3Cu,22
Al3Cu2,6
Al3FeSi2,3
Al3Ga,11
Al3Ga3Ni10,1
Al3GaN4,3
Al3Ge,5
Al3GePd4,1
Al3GeW2,1
Al3Ir,22
Al3Mo,21
Al3NO3,2
Al3Ni,24
Al3Ni2,7
Al3Ni2Pt,4
Al3Ni5,8
Al3NiMo12,1
Al3Os2,4
Al3Pd2,4
Al3Pd5,3
Al3Pt2,5
Al3Pt5,4
Al3Ru2,5
Al3SiMo12,1
Al3SiPd4,1
Al3V,8
Al3Zn,23
Al3ZnCr8,1
Al3ZnNi12,1
Al4C3,7
Al4CO4,1
Al4CrNi15,1
Al4Cu15,2
Al4GaSb5,1
Al4Ge2W3,1
Al4InAgS8,1
Al4InAgSe8,1
Al4InAgTe8,1
Al4InCuS8,1
Al4Mo,7
Al4Ni12C,1
Al4Ni15,2
Al4Ni15Ge,1
Al4Ni15Sb,1
Al4Ni15Sn,1
Al4Ni3Pt,1
Al4Si2Mo3,1
Al4SiC4,2
Al4SiPd,1
Al4VNi15,1
Al4W,6
Al5AgS8,1
Al5C3N,2
Al5CuS8,1
Al5CuSe8,2
Al5CuW2,1
Al5Mo,11
Al5S8,1
Al5Se8,1
Al5W,10
Al6C3N2,2
Al6CoCu3,2
Al6Fe,1
Al6GeW,1
Al6Re,1
Al6Ru,1
Al8BC5,1
Al8Cr4Si3,1
Al8Mo3,1
AlAg,66
AlAg(PSe3)2,1
AlAg3,36
AlAg3F6,4
AlAg4,13
AlAgO2,8
AlAgS2,10
AlAgSe2,22
AlAgSnSe4,4
AlAgTe2,23
AlAs,41
AlAsO4,10
AlAsPt5,1
AlAu,42
AlAu2,25
AlAu3,25
AlAu4,10
AlAuO2,6
AlB2,3
AlBMo,5
AlBO3,5
AlBW,2
AlBi,19
AlBiBr6,3
AlBiO3,11
AlBr3,28
AlCdCl4,4
AlCdInS4,4
AlCdSbTe,1
AlCl3,35
AlCo,33
AlCo3C,2
AlCoF5,1
AlCoNi6,3
AlCr2,22
AlCr2C,5
AlCr3B4,1
AlCr3SiMo3,1
AlCr4AgS8,1
AlCr4CuS8,1
AlCr4CuSe8,1
AlCr4GaC2,1
AlCr6Si,1
AlCrCo2,15
AlCrF5,2
AlCrFe2,19
AlCrFeO4,1
AlCrGe,5
AlCrRu2,17
AlCu,40
AlCu(PSe3)2,1
AlCu3,22
AlCu4,11
AlCuAu2,16
AlCuBr4,4
AlCuCl4,6
AlCuF5,1
AlCuGeSe4,4
AlCuNi6,5
AlCuO2,7
AlCuO3,8
AlCuPd2,6
AlCuPt2,18
AlCuRh2,18
AlCuS2,8
AlCuSe2,21
AlCuSnS4,4
AlCuSnSe4,4
AlCuTe2,20
AlF3,16
AlFe,32
AlFe2Ge,5
AlFe2Mo,17
AlFe2Si,15
AlFe2W,13
AlFe3,18
AlFe3C,2
AlFe3H,29
AlFe4,12
AlFeCo2,15
AlFeF5,2
AlFeIr2,18
AlFeO3,9
AlFeRh2,13
AlGa(CuS2)2,3
AlGa(CuSe2)2,3
AlGa(PO4)2,1
AlGa2Bi(BO3)4,1
AlGa3,9
AlGa3N4,4
AlGaAs2,5
AlGaCo2,4
AlGaIr2,5
AlGaN2,7
AlGaNi2,7
AlGaNi6,4
AlGaP2,5
AlGaRu2,6
AlGaSb2,5
AlGe3Mo2,2
AlGeMo,8
AlGeRu2,5
AlH2PbO2F3,1
AlH3,45
AlH6N2F3,1
AlHO2,19
AlHSO5,1
AlHg3(OF3)2,2
AlI3,10
AlICl6,1
AlIn(AgS2)2,3
AlIn(AgSe2)2,3
AlIn(CuS2)2,3
AlIn(CuSe2)2,4
AlIn2N3,1
AlInGaSb3,1
AlInN2,9
AlInO3,8
AlInSb2,20
AlIr,35
AlMo3,17
AlN,27
AlNi,35
AlNi2,24
AlNi3,19
AlNi4As3,1
AlNi4Ge,3
AlNi6Ge,3
AlNi6Pd,1
AlNiF5,2
AlNiGe,3
AlOs,35
AlP,37
AlPNCl5,1
AlPO4,31
AlPPd4,4
AlPPt5,1
AlPS4,7
AlPd,17
AlPd2,6
AlPd3,9
AlPd5I2,1
AlPt,37
AlPt2,21
AlPt3,20
AlRe,32
AlRe2,19
AlReGe,3
AlReSi,11
AlRh,56
AlRh3,20
AlRhO3,3
AlRu,30
AlSCl7,1
AlSb,44
AlSbI6,2
AlSbO3,8
AlSbO4,7
AlSeBr7,1
AlSeCl7,2
AlSi3W2,1
AlSiCN,1
AlSiMo,11
AlSiMo6,1
AlSiNi2,36
AlSiNi6,6
AlSiP3,3
AlSiPt6,1
AlSiRu2,21
AlSiTe3,3
AlSnF5,2
AlTeI7,1
AlTl(MoO4)2,2
AlTl(SO4)2,4
AlTl(SeO4)2,4
AlTl2Cu3Se4,1
AlTl2F5,3
AlTlF4,3
AlTlO2,23
AlTlO3,6
AlTlSe2,22
AlV,17
AlV2,11
AlV2C,6
AlV2O4,6
AlV3,12
AlV4C3,1
AlV6Ga,3
AlV6Ge,2
AlV6Sb,2
AlV6Sn,2
AlVCo2,4
AlVCrC,2
AlVF5,1
AlVFe2,5
AlVFeCo,1
AlVNi2,5
AlVO3,10
AlVOs2,4
AlVRu2,4
AlWO4,3
AlZnCrS4,1
AlZnCu2,15
AlZnGaS4,3
AlZnIr2,18
AlZnRh2,15
As,26
As(BrF2)3,1
As(IF2)3,1
As(IF3)2,3
As2Ir,27
As2O3,31
As2Os,20
As2PbO6,2
As2Pd,6
As2PdO6,2
As2Pt,18
As2Rh,23
As2Ru,20
As2S3,9
As2SO6,2
As2Se3,12
As2W,24
As3(HO2)5,1
As3Ir,21
As3Pd4Pb,1
As3Rh,18
As3W2,5
As4Pd5Pb,1
As4S5,1
As7Rh12,1
AsAuO4,3
AsBr3,28
AsCl3,26
AsCl5,8
AsClF8,1
AsF3,11
AsF5,3
AsHPbO4,1
AsI3,8
AsIrS,19
AsIrSe,9
AsN(OF3)2,2
AsOsS,5
AsOsSe,12
AsP,41
AsPOs,11
AsPPt,7
AsPRh4,2
AsPRu,9
AsPbF7,1
AsPd2,9
AsPd3,9
AsPd3Pb2,1
AsPd5,2
AsPdS,5
AsPdSe,3
AsPtS,4
AsRh,38
AsRh2,17
AsRhO4,4
AsRhS,4
AsRhSe,8
AsRu,33
AsRuS,6
AsRuSe,12
AsS,23
Au,23
Au2O3,3
Au2S,8
AuBr,39
AuBrF6,1
AuCl,42
AuCl2,25
AuCl3,35
AuI,78
AuSe,45
B,56
B12S,2
B13C2,2
B2AsP,3
B2Mo,7
B2Mo2Ir,3
B2Mo2Os,5
B2Mo2Ru,4
B2Mo3,2
B2O3,47
B2Os,4
B2OsW2,4
B2Pd5,1
B2Ru,4
B2S2O9,1
B2W,7
B3Ir2,3
B3Mo,1
B3Os2,1
B3Rh7,1
B3Ru2,2
B3Ru7,1
B4C,49
B4MoIr,1
B4MoRu2,2
B4OsW,1
B4Rh5,2
B5H9,2
B5Ir3W2,1
B6As,1
B6O,1
B6P,1
BAs,14
BAsO4,3
BBr3,23
BCl(OF2)2,2
BCl3,19
BH(PbO2)2,2
BH3,38
BH3NF4,1
BH3OF4,1
BH5NCl,1
BH6CN3F4,1
BH6N,9
BH8N,1
BI3,14
BIr,19
BIrPd,5
BMo,13
BMo2,3
BMo2C,5
BMoW,3
BN,61
BOs,17
BP,25
BPO4,3
BPS4,3
BPd2,5
BPd3,7
BPd6,8
BPt2,11
BRh,19
BRh2,9
BSbO3,5
BSbPbS4,1
BW,14
BW2,4
Ba,25
Ba(AgGe)2,6
Ba(AgO)2,1
Ba(AgS)2,3
Ba(AgSn)2,6
Ba(AgTe)2,6
Ba(AlGa)2,6
Ba(AlGe)2,8
Ba(AlSe2)2,3
Ba(AlSi)2,7
Ba(AlTe2)2,5
Ba(As3Ru)4,1
Ba(AsO3)2,2
Ba(AsPd)2,7
Ba(AsRh)2,6
Ba(AsRu)2,2
Ba(AuO2)2,1
Ba(B2Pt3)2,1
Ba(BIr)2,3
Ba(BRh)2,3
Ba(BS2)2,3
Ba(BSe3)2,1
Ba(BeN)2,1
Ba(BiPd)2,6
Ba(BrO3)2,2
Ba(Cd2Pt)2,2
Ba(CdAs)2,6
Ba(CdGe)2,5
Ba(CdP)2,5
Ba(CdSb)2,7
Ba(CeS2)2,2
Ba(ClO3)2,2
Ba(CoAs)2,6
Ba(CoGe)2,3
Ba(CoN)2,2
Ba(CrAs)2,3
Ba(Cu2As)2,2
Ba(Cu2As)4,1
Ba(Cu2P)4,1
Ba(Cu3As)2,1
Ba(CuAs)2,6
Ba(CuO)2,1
Ba(CuO)4,1
Ba(CuP2)2,2
Ba(CuS)2,5
Ba(CuSb)2,5
Ba(CuSe)2,5
Ba(CuTe)2,4
Ba(FeAs)2,6
Ba(FeN)2,4
Ba(FeO2)2,5
Ba(FeP)2,4
Ba(FeS2)2,3
Ba(FeSb3)4,1
Ba(GaAs)2,6
Ba(GaH)2,1
Ba(GaP)2,4
Ba(GaPt)2,7
Ba(GaSe2)2,2
Ba(GaTe2)2,2
Ba(Ge3Pt)4,1
Ba(GeAs)2,7
Ba(GeAu)2,6
Ba(GeP)2,6
Ba(GeRh)2,6
Ba(GeRu)2,4
Ba(IO3)2,3
Ba(InAu)2,6
Ba(InPt)2,5
Ba(InTe2)2,3
Ba(LaI4)2,1
Ba(LaS2)2,3
Ba(LaSe2)2,3
Ba(MgAs)2,6
Ba(MgBi)2,5
Ba(MgGe)2,4
Ba(MgIn)2,5
Ba(MgP)2,6
Ba(MgPb)2,5
Ba(MgSb)2,6
Ba(MgSi)2,4
Ba(MgSn)2,6
Ba(MnAs)2,3
Ba(MnGe)2,2
Ba(MnP)2,2
Ba(Mo3S4)2,1
Ba(MoSe)3,1
Ba(NdS2)2,3
Ba(NdSe2)2,3
Ba(Ni2B)6,1
Ba(NiAs)2,6
Ba(NiN)2,1
Ba(NiP)2,6
Ba(NiP2)2,1
Ba(P2Au)2,2
Ba(P2Pd)2,1
Ba(PIr)2,6
Ba(POs)2,3
Ba(PPd)2,6
Ba(PRh)2,4
Ba(PRu)2,3
Ba(PdO2)2,1
Ba(PdS2)2,1
Ba(PrS2)2,3
Ba(PrSe2)2,3
Ba(RhPb2)3,1
Ba(Sb3Os)4,1
Ba(Sb3Ru)4,1
Ba(SbAu)2,5
Ba(SbO3)2,2
Ba(SbPd)2,7
Ba(SbRu)2,5
Ba(Si3N4)2,1
Ba(SiIr)2,5
Ba(SiNi)2,6
Ba(SiRh)2,7
Ba(Sn2Ru)3,1
Ba(TeMo)6,1
Ba(TeO3)2,2
Ba(TlHg)2,8
Ba(ZnAs)2,7
Ba(ZnGe)2,5
Ba(ZnP)2,3
Ba(ZnSb)2,8
Ba(ZnSi)2,4
Ba(ZnSn)2,5
Ba10BrN5Cl4,2
Ba10Ge7O3,1
Ba10IBr4N5,2
Ba2(AlAg)5,2
Ba2(CaAl3)3,1
Ba2AgBi,4
Ba2AgIO6,1
Ba2AgSb,9
Ba2AlGa3,5
Ba2AlIn3,1
Ba2As,21
Ba2As6O11,3
Ba2AsAu,11
Ba2B2O5,6
Ba2Bi,4
Ba2Bi2O5,3
Ba2Bi2Se3O2,1
Ba2Bi3,3
Ba2BiAu,5
Ba2BiIrO6,1
Ba2BiSbO6,5
Ba2BrN,7
Ba2Ca(BO3)2,2
Ba2Ca2Cu3HgO8,1
Ba2Ca3Cu4HgO10,1
Ba2CaBiO6,2
Ba2CaCu2HgO6,1
Ba2CaCu2MoO8,1
Ba2CaEr3(NiO5)2,1
Ba2CaI6,12
Ba2CaIrO6,2
Ba2CaMoO6,2
Ba2CaNbO6,1
Ba2CaOsO6,1
Ba2CaReO6,1
Ba2CaSeO6,1
Ba2CaTeO6,1
Ba2CaWO6,2
Ba2Cd,17
Ba2Cd(BO3)2,1
Ba2Cd2As3,3
Ba2Cd2Sb3,2
Ba2Cd3Bi4,1
Ba2CdAs2,4
Ba2CdHg,12
Ba2CdIn,10
Ba2CdMoO6,2
Ba2CdOsO6,2
Ba2CdP3O11,1
Ba2CdPb,15
Ba2CdReO6,1
Ba2CdSn,6
Ba2Ce2O5,4
Ba2CeBiO6,5
Ba2CeCrO6,1
Ba2CeHfO6,3
Ba2CeNbO6,4
Ba2CePbO6,2
Ba2CePtO6,1
Ba2CeSnO6,3
Ba2CeTaO6,3
Ba2CeWO6,2
Ba2CeZrO6,6
Ba2CoF6,5
Ba2CoN2,3
Ba2CoNiS4,1
Ba2CrBiO6,1
Ba2CrF6,5
Ba2CrMoO6,1
Ba2CrSnO6,1
Ba2Cu(PO4)2,1
Ba2Cu(SBr)2,2
Ba2Cu(SCl)2,2
Ba2Cu3(BrO2)2,1
Ba2Cu3(ClO2)2,1
Ba2Cu3BrClO4,1
Ba2Cu3P4,1
Ba2CuAg3(SnS4)2,1
Ba2CuBrO2,1
Ba2CuClO2,1
Ba2CuF6,6
Ba2CuH6,4
Ba2CuHgO4,1
Ba2CuN2,2
Ba2CuO3,2
Ba2CuOsO6,3
Ba2CuTeO6,2
Ba2CuWO6,2
Ba2Dy(CuO2)4,1
Ba2DyBiO6,2
Ba2DyCu3O7,1
Ba2DyGaSe5,2
Ba2DyGaTe5,1
Ba2DyInSe5,1
Ba2DyInTe5,1
Ba2DyMoO6,4
Ba2DyNbO6,2
Ba2DySbO6,1
Ba2DyTaO6,1
Ba2DyWO6,2
Ba2Er(CuO2)4,1
Ba2ErCu3O7,1
Ba2ErCuNi2O7,2
Ba2ErGaSe5,2
Ba2ErGaTe5,1
Ba2ErInSe5,1
Ba2ErInTe5,1
Ba2ErMoO6,4
Ba2ErNbO6,1
Ba2ErReO6,1
Ba2ErRuO6,1
Ba2ErSbO6,2
Ba2ErTaO6,1
Ba2ErZn2CuO7,1
Ba2Eu(CuO2)4,1
Ba2Eu2Ti2Cu2O11,1
Ba2Eu3Si7,1
Ba2EuBiO6,3
Ba2EuCu3O7,1
Ba2EuMoO6,1
Ba2EuNbO6,2
Ba2EuReO6,1
Ba2EuRuO6,1
Ba2EuSbO6,2
Ba2EuTaO6,2
Ba2Fe2O5,4
Ba2Fe2S2OF2,1
Ba2Fe4AsP3,1
Ba2FeBrO3,1
Ba2FeMoO6,2
Ba2FeReO6,3
Ba2FeWO6,4
Ba2Ga7Ag,2
Ba2GaGeN,1
Ba2Gd(CuO2)4,1
Ba2GdBiO6,3
Ba2GdCu3O7,1
Ba2GdGaSe5,2
Ba2GdGaTe5,1
Ba2GdMoO6,2
Ba2GdNbO6,1
Ba2GdReO6,1
Ba2GdRuO6,2
Ba2GdSbO6,2
Ba2GdTaO6,2
Ba2GdWO6,2
Ba2Ge,3
Ba2Ge3,2
Ba2GeAs2,4
Ba2GeP2,2
Ba2GeSe4,2
Ba2H3I,4
Ba2H6Os,2
Ba2H6Pt,3
Ba2H6Ru,3
Ba2HfO4,2
Ba2HfS4,3
Ba2Hg,18
Ba2HgPb,10
Ba2Ho(CuO2)3,1
Ba2Ho(CuO2)4,1
Ba2HoCu3O7,1
Ba2HoMoO6,4
Ba2HoNbO6,1
Ba2HoReO6,1
Ba2HoRuO6,1
Ba2HoSbO6,1
Ba2HoTaO6,1
Ba2I2O,4
Ba2In,16
Ba2In2O5,9
Ba2In3Au,3
Ba2InBiO6,3
Ba2InBiS5,1
Ba2InBiSe5,1
Ba2InBrO3,1
Ba2InClO3,1
Ba2InCuO4,1
Ba2InGaO5,2
Ba2InHg,10
Ba2InO3F,4
Ba2InOsO6,1
Ba2InReO6,1
Ba2InSbO6,1
Ba2InSbSe5,1
Ba2IrO4,2
Ba2La(CuO2)3,1
Ba2La(FeO3)3,1
Ba2La2MgTi3O12,2
Ba2La2Mn4O11,1
Ba2La2Ni(WO6)2,1
Ba2La2Ti2Cu2O11,1
Ba2La2TlCu2O9,1
Ba2La4CuPtO10,1
Ba2LaAg5S6,1
Ba2LaBiO6,3
Ba2LaCu3O7,3
Ba2LaCu3O8,1
Ba2LaI7,4
Ba2LaIrO6,2
Ba2LaMn2O7,1
Ba2LaNbO6,3
Ba2LaReO6,1
Ba2LaRuO6,2
Ba2LaSbO6,2
Ba2LaTa(CuO4)2,1
Ba2LaTaO6,3
Ba2LaTlCu2O7,1
Ba2LaWO6,3
Ba2Li(NiO3)2,4
Ba2Li3NbN4,1
Ba2Li3TaN4,2
Ba2LiFe2N3,1
Ba2LiIO6,1
Ba2LiLaCu3O7,8
Ba2LiMn2O6,3
Ba2LiOsO6,3
Ba2LiReN4,3
Ba2LiReO6,2
Ba2LiTeO6,1
Ba2Lu(CuO2)3,1
Ba2LuBiO6,3
Ba2LuCu3O7,1
Ba2LuIrO6,1
Ba2LuMoO6,1
Ba2LuNbO6,1
Ba2LuReO6,1
Ba2LuRuO6,1
Ba2LuSbO6,2
Ba2LuTaO6,1
Ba2Mg(BO3)2,1
Ba2Mg17,2
Ba2Mg3Si4,1
Ba2MgH6,4
Ba2MgIn,13
Ba2MgMoO6,1
Ba2MgOsO6,2
Ba2MgReO6,2
Ba2MgTl,11
Ba2MgWO6,2
Ba2Mn2As2O,1
Ba2Mn2Bi2O,1
Ba2Mn2O5,2
Ba2Mn2Sb2O,2
Ba2Mn3(AsO)2,1
Ba2Mn3(SbO)2,1
Ba2MnMoO6,4
Ba2MnNbO6,8
Ba2MnO4,3
Ba2MnReO6,3
Ba2MnSnO6,1
Ba2MnWO6,2
Ba2MoO3F4,1
Ba2N,5
Ba2NCl,5
Ba2Na(FeAs)6,1
Ba2Na(SnAs)6,1
Ba2Na2O3,2
Ba2NaIO6,1
Ba2NaIn,7
Ba2NaLaTi4O12,1
Ba2NaO,6
Ba2NaOsO6,2
Ba2NaReO6,1
Ba2Nb5O9,1
Ba2NbBiO6,4
Ba2NbCu2Pb2ClO8,1
Ba2NbFeO6,7
Ba2NbInO6,2
Ba2NbRhO6,1
Ba2NbVO6,2
Ba2Nd(CuO2)3,1
Ba2Nd2Fe4O11,4
Ba2Nd2Ti2Cu2O11,1
Ba2NdAlO5,2
Ba2NdBiO6,3
Ba2NdCu2HgO7,1
Ba2NdCu3O7,1
Ba2NdDyTi2Cu2O11,1
Ba2NdGaS5,2
Ba2NdInTe5,1
Ba2NdIrO6,1
Ba2NdMoO6,2
Ba2NdNb(CuO4)2,3
Ba2NdNbO6,3
Ba2NdReO6,1
Ba2NdRuO6,2
Ba2NdSbO6,3
Ba2NdTaO6,1
Ba2NdTlCu2O7,1
Ba2NdWO6,4
Ba2Ni3N2,1
Ba2Ni5Ge4,1
Ba2NiF6,3
Ba2NiMoO6,1
Ba2NiN2,2
Ba2NiTeO6,3
Ba2NiWO6,3
Ba2OsO4,3
Ba2P7Br,1
Ba2P7Cl,1
Ba2P7I,1
Ba2PCl,12
Ba2Pb,14
Ba2PbO4,1
Ba2Pd,14
Ba2Pd(OF)2,1
Ba2PdF6,3
Ba2PdO3,2
Ba2Pr(CuO2)3,2
Ba2Pr(CuO2)4,1
Ba2PrBiO6,4
Ba2PrCu3O7,1
Ba2PrCu3O8,1
Ba2PrF7,3
Ba2PrGaS5,2
Ba2PrIrO6,1
Ba2PrNbO6,3
Ba2PrPbO6,2
Ba2PrPtO6,1
Ba2PrRuO6,2
Ba2PrSbO6,2
Ba2PrSnO6,2
Ba2PrTaO6,2
Ba2PrWO6,4
Ba2PtAu,12
Ba2ReNiO6,1
Ba2RuN2,3
Ba2RuO4,2
Ba2S3,2
Ba2Sb,23
Ba2SbAu,8
Ba2Sc2O5,5
Ba2ScCuO4,2
Ba2ScIrO6,2
Ba2ScNbO6,4
Ba2ScO3F,2
Ba2ScOsO6,2
Ba2ScReO6,3
Ba2ScTaO6,4
Ba2ScTi2BiO9,1
Ba2Si,13
Ba2Si3Ni,3
Ba2SiSe4,2
Ba2SiTe4,1
Ba2Sm(CuO2)3,1
Ba2Sm(CuO2)4,1
Ba2Sm2Fe4O11,3
Ba2Sm2Ti2Cu2O11,1
Ba2SmBiO6,4
Ba2SmCu3O7,1
Ba2SmFeO6,1
Ba2SmGaSe5,2
Ba2SmGaTe5,2
Ba2SmInSe5,1
Ba2SmMnO6,1
Ba2SmMoO6,3
Ba2SmNbO6,3
Ba2SmOsO6,1
Ba2SmReO6,1
Ba2SmSbO6,1
Ba2SmTaO6,2
Ba2SmVO6,1
Ba2SmWO6,5
Ba2Sn,4
Ba2SnHg,5
Ba2SnO4,2
Ba2Sr(PO4)2,1
Ba2SrFeO6,1
Ba2SrI6,13
Ba2SrIrO6,2
Ba2SrN2,2
Ba2SrSeO6,1
Ba2SrTeO6,2
Ba2SrTi3O9,4
Ba2SrWO6,5
Ba2SrY2Cu2PtO10,1
Ba2TaBiO6,3
Ba2TaCu2Pb2ClO8,1
Ba2TaFeO6,4
Ba2TaInO6,2
Ba2TaMnO6,7
Ba2TaTlO6,1
Ba2Tb2Ti2Cu2O11,1
Ba2TbBiO6,2
Ba2TbCeO6,3
Ba2TbHfO6,2
Ba2TbIrO6,1
Ba2TbMoO6,3
Ba2TbNbO6,2
Ba2TbSbO6,1
Ba2TbSnO6,1
Ba2TbTaO6,1
Ba2TbWO6,2
Ba2TbZrO6,2
Ba2TeO,4
Ba2Ti2O5,2
Ba2TiOF6,1
Ba2TiVS6,2
Ba2Tl2Cu2HgO8,1
Ba2Tl2CuO6,2
Ba2TlCd,9
Ba2TlCu3O7,1
Ba2TlCuHgO5,1
Ba2TlCuO5,2
Ba2TlHg,10
Ba2TlSbO6,2
Ba2TlZn,9
Ba2Tm(CuO2)4,1
Ba2TmCu3O7,1
Ba2TmMoO6,4
Ba2TmNbO6,2
Ba2TmReO6,1
Ba2TmRuO6,1
Ba2TmTaO6,2
Ba2V2CuF12,1
Ba2V2O5,2
Ba2VCu2F12,1
Ba2VMoO6,1
Ba2WO3F4,1
Ba2Y(CuO2)3,3
Ba2Y(CuO2)4,3
Ba2Y2Mn4O11,1
Ba2YAg3O8,1
Ba2YAg5S6,1
Ba2YBiO6,3
Ba2YBr7,6
