source_file,snapshot,retrieval_date,records_total,records_with_data,records_with_denominator_formula,records_with_e_above_hull,records_with_formula,records_with_structure,usable_formula_prefilter_candidates,field_path,field_units,scope
alexandria_00028.json.bz2,2025.07.02,2026-07-05,100000,100000,3311,100000,100000,100000,3311,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00029.json.bz2,2025.07.02,2026-07-05,100000,100000,3261,100000,100000,100000,3261,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00030.json.bz2,2025.07.02,2026-07-05,100000,100000,3187,100000,100000,100000,3187,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00031.json.bz2,2025.07.02,2026-07-05,100000,100000,3114,100000,100000,100000,3114,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00032.json.bz2,2025.07.02,2026-07-05,100000,100000,3213,100000,100000,100000,3213,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00033.json.bz2,2025.07.02,2026-07-05,100000,100000,3212,100000,100000,100000,3212,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00034.json.bz2,2025.07.02,2026-07-05,100000,100000,3191,100000,100000,100000,3191,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00035.json.bz2,2025.07.02,2026-07-05,100000,100000,3249,100000,100000,100000,3249,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00036.json.bz2,2025.07.02,2026-07-05,100000,100000,3256,100000,100000,100000,3256,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00037.json.bz2,2025.07.02,2026-07-05,100000,100000,3227,100000,100000,100000,3227,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00038.json.bz2,2025.07.02,2026-07-05,100000,100000,3169,100000,100000,100000,3169,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00039.json.bz2,2025.07.02,2026-07-05,100000,100000,3281,100000,100000,100000,3281,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00040.json.bz2,2025.07.02,2026-07-05,100000,100000,3192,100000,100000,100000,3192,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00041.json.bz2,2025.07.02,2026-07-05,100000,100000,3251,100000,100000,100000,3251,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00042.json.bz2,2025.07.02,2026-07-05,100000,100000,3222,100000,100000,100000,3222,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00043.json.bz2,2025.07.02,2026-07-05,100000,100000,3208,100000,100000,100000,3208,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00044.json.bz2,2025.07.02,2026-07-05,100000,100000,3293,100000,100000,100000,3293,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00045.json.bz2,2025.07.02,2026-07-05,100000,100000,3158,100000,100000,100000,3158,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00046.json.bz2,2025.07.02,2026-07-05,100000,100000,3137,100000,100000,100000,3137,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00047.json.bz2,2025.07.02,2026-07-05,100000,100000,3249,100000,100000,100000,3249,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00048.json.bz2,2025.07.02,2026-07-05,100000,100000,3264,100000,100000,100000,3264,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00049.json.bz2,2025.07.02,2026-07-05,100000,100000,3188,100000,100000,100000,3188,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00050.json.bz2,2025.07.02,2026-07-05,100000,100000,3214,100000,100000,100000,3214,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00051.json.bz2,2025.07.02,2026-07-05,100000,100000,3184,100000,100000,100000,3184,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00052.json.bz2,2025.07.02,2026-07-05,100000,100000,3170,100000,100000,100000,3170,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00053.json.bz2,2025.07.02,2026-07-05,100000,100000,3153,100000,100000,100000,3153,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00054.json.bz2,2025.07.02,2026-07-05,100000,100000,3386,100000,100000,100000,3386,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00055.json.bz2,2025.07.02,2026-07-05,100000,100000,3255,100000,100000,100000,3255,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00056.json.bz2,2025.07.02,2026-07-05,100000,100000,3231,100000,100000,100000,3231,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00057.json.bz2,2025.07.02,2026-07-05,77914,77914,2485,77914,77914,77914,2485,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
